prompt_language,engagement_code,n,share
ar,1,20706,0.7544818539571491
ar,2,4484,0.16338726133216733
ar,3,204,0.007433318758198513
ar,4,1417,0.05163241509983967
ar,5,633,0.023065150852645388
en,1,21521,0.7840358483004846
en,2,4407,0.1605522969871398
en,3,110,0.004007431964734598
en,4,1072,0.039054246056322635
en,5,339,0.012350176691318444
hi,1,19481,0.7107519427925134
hi,2,4003,0.1460469188952534
hi,3,180,0.00656718596081579
hi,4,1865,0.06804334342734139
hi,5,1880,0.06859060892407604
ru,1,20725,0.7553668403980027
ru,2,3989,0.1453876152640595
ru,3,228,0.008309946422713854
ru,4,1089,0.03969092830848854
ru,5,1406,0.05124466960673543
zh,1,21617,0.7875906292126644
zh,2,3857,0.14052537617954602
zh,3,199,0.007250337013152621
zh,4,1104,0.040222975188545194
zh,5,670,0.02441068240609174
ALL,1,104050,0.7584593180062106
ALL,2,20740,0.15118160745265552
ALL,3,921,0.0067135130406892835
ALL,4,6547,0.047723528639948685
ALL,5,4928,0.035922032860495966
