spec,issue_sd,singular,max_se,max_abs_b,optimizer,warnings
primary,1.1671560907882248,FALSE,0.2849510815411953,3.956667776818607,bobyqa,none
plus_topic_domain,0.9466999416495943,FALSE,3.8259471081323194e-4,3.637836938065054,bobyqa,"Model failed to converge with max|grad| = 0.2066 (tol = 0.002, component 1); Model is nearly unidentifiable: very large eigenvalue
 - Rescale variables?"
regular_prompts_only,1.3654792990976155,FALSE,0.7961704165084176,4.0989029695347305,bobyqa,none
boundary_prompts_only,1.2957165772883286,FALSE,0.41534359514457153,4.202165345679944,bobyqa,none
exclude_backtranslated,1.2471999549577206,FALSE,0.32971868427768364,4.020990559576889,bobyqa,none
drop_qwen3-max,1.13208963976211,FALSE,0.3272400394736683,4.272600238136378,bobyqa,none
drop_deepseek-chat-v3.1,1.1886638943457495,FALSE,0.3081546373062708,3.7399856238193547,bobyqa,none
drop_falcon3-10b,1.1403292442244712,FALSE,0.2867711355780151,4.001482706128125,bobyqa,none
drop_jais-8b,1.1923066058891274,FALSE,0.2871019130850963,3.9414859082170572,bobyqa,none
drop_allam-7b,1.3838467558163274,FALSE,0.3027505320176524,4.21892229279911,bobyqa,none
drop_gpt-4o,1.141690822084209,FALSE,0.2847122498652328,3.973464206775983,bobyqa,none
drop_grok-4.3,1.1547977511984973,FALSE,0.2855561623612489,3.9336258056630617,bobyqa,none
drop_claude-opus-4.5,1.1472396232489817,FALSE,0.2858256877243319,3.963922183834359,bobyqa,none
drop_gpt-5.1,1.1356535598425352,FALSE,0.28638191814615876,3.8741211673092177,bobyqa,none
