model,juris,n,events,n_issues,regular,boundary,shift,conf_low,conf_high,estimable,note,spec,sample,scale,contrast
allam-7b,MENA,2496,426,624,0.15704747277546602,0.1475915206202519,-0.009455952155214121,-0.03736655979950397,0.01751045517817968,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
claude-opus-4.5,US,2496,100,624,0.04812037208640652,0.020326115949677155,-0.027794256136729423,-0.04091747732413013,-0.013909714429328483,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
deepseek-chat-v3.1,CN,2496,124,624,0.059953510606044175,0.022872561496615484,-0.03708094910942777,-0.05405941924296656,-0.019346643275718403,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
falcon3-10b,MENA,2496,156,624,0.06578554311650472,0.0235446786711012,-0.04224086444540352,-0.06321982302215685,-0.02641309898049056,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
gpt-4o,US,2495,55,624,0.039142726160866316,2.026186756966607e-4,-0.03894010748516967,-0.058030792033114356,-0.01981779357995797,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
gpt-5.1,US,2496,104,624,0.010286552112594181,0.05669791419594789,0.04641136208335378,0.022965214029469064,0.07004454557710618,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
grok-4.3,US,2496,51,624,0.014381763307607107,0.019866383586653057,0.0054846202790459556,-0.003121021949565361,0.015696800376136594,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
jais-8b,MENA,2496,59,624,0.0032051277744746393,0.04407051336621545,0.04086538559174081,0.029653304395244294,0.05286409952996313,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
mistral-large-2512,EU,2496,0,624,0,0,0,NA,NA,FALSE,0 observed refusals; contrast not estimable,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
qwen3-max,CN,2496,184,624,0.05496121929012423,0.05883649260949664,0.003875273319372263,-0.010164531402110493,0.01969123537748524,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
sarvam-30b,India,2490,152,624,0.013594667063250902,0.08196368076558587,0.06836901370233503,0.024295840433324754,0.11349031106663157,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
