jurisdiction,dimension,field,estimate,conf_low,conf_high,n,n_issues,scale,sample,contrast,estimable
CN,Economic,economic_left_right,0.0059271803556308214,-0.011905268921878803,0.02274834231933577,1181,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
MENA,Economic,economic_left_right,0.005885815185403178,-0.00895241940602718,0.021266552272316972,1699,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
India,Economic,economic_left_right,0.006791171477079796,-0.010169923167678627,0.02192428301989083,589,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
US,Economic,economic_left_right,0.0324435318275154,0.016440439438412058,0.04789242643827171,2435,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
EU,Economic,economic_left_right,0.0016025641025641025,-0.017628205128205128,0.020833333333333332,624,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
CN,Social,social_left_right,-0.07874682472480948,-0.11760715120107045,-0.043159566139148654,1181,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
MENA,Social,social_left_right,-0.050029429075927015,-0.07751613926201102,-0.0225737419927817,1699,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
India,Social,social_left_right,-0.07130730050933787,-0.10500211864406779,-0.03631521668889269,589,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
US,Social,social_left_right,-0.02217659137577002,-0.05248279159987607,0.005702799981302291,2435,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
EU,Social,social_left_right,-0.11858974358974358,-0.16346153846153846,-0.07367788461538465,624,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
CN,Authority,authoritarian_libertarian,-0.11600338696020322,-0.16948839190155324,-0.06612513553517033,1181,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
MENA,Authority,authoritarian_libertarian,-0.08416715715126545,-0.11619760923772232,-0.053091109390508165,1699,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
India,Authority,authoritarian_libertarian,-0.09168081494057725,-0.13436277360685206,-0.05208697912154554,589,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
US,Authority,authoritarian_libertarian,-0.020123203285420943,-0.062150214284983685,0.019216423664645477,2435,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
EU,Authority,authoritarian_libertarian,-0.13782051282051283,-0.1859375,-0.09130608974358978,624,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
CN,Populism,populist_elitist,-0.1380186282811177,-0.1686153526746736,-0.1094399508873193,1181,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
MENA,Populism,populist_elitist,-0.1053560918187169,-0.12875067487312386,-0.08415662594386136,1699,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
India,Populism,populist_elitist,-0.12054329371816638,-0.1533448589495568,-0.08967472389902593,589,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
US,Populism,populist_elitist,-0.06858316221765914,-0.09144230356551192,-0.045378627936323045,2435,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
EU,Populism,populist_elitist,-0.16185897435897437,-0.19715544871794868,-0.1266025641025641,624,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
