jurisdiction,dimension,field,n,n_issues,n_models,mean,median,conf_low,conf_high,neutral_share,nonneutral_share,neg_share,pos_share,scale,sample,uncertainty,weighting,estimable
CN,Economic,economic_left_right,1181,156,2,0.0059271803556308214,0,-0.010933787694721251,0.023018885644333104,0.9229466553767993,0.07705334462320068,0.03386960203217612,0.04318374259102455,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
MENA,Economic,economic_left_right,1699,156,3,0.005885815185403178,0,-0.007654532552638995,0.021562295618051012,0.9293702177751618,0.07062978222483814,0.031783402001177165,0.03884638022366098,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
India,Economic,economic_left_right,589,156,1,0.006791171477079796,0,-0.010000836120401337,0.022345540742340003,0.9320882852292021,0.06791171477079797,0.028862478777589132,0.03904923599320883,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
US,Economic,economic_left_right,2435,156,4,0.0324435318275154,0,0.016913494788523335,0.050861883533964855,0.9195071868583162,0.08049281314168377,0.024640657084188913,0.05585215605749486,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
EU,Economic,economic_left_right,624,156,1,0.0016025641025641025,0,-0.017628205128205128,0.020833333333333332,0.9198717948717948,0.08012820512820513,0.03685897435897436,0.04326923076923077,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
CN,Social,social_left_right,1181,156,2,-0.07874682472480948,0,-0.11830652722683015,-0.043500661404189865,0.7722269263336156,0.2277730736663844,0.14309906858594412,0.0846740050804403,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
MENA,Social,social_left_right,1699,156,3,-0.050029429075927015,0,-0.0746469180583548,-0.022790706169382793,0.8163625662154208,0.18363743378457917,0.11183048852266039,0.07180694526191878,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
India,Social,social_left_right,589,156,1,-0.07130730050933787,0,-0.1056327757988746,-0.03696665053455938,0.8404074702886248,0.15959252971137522,0.11035653650254669,0.04923599320882852,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
US,Social,social_left_right,2435,156,4,-0.02217659137577002,0,-0.05126003862269106,0.007453056305948401,0.7946611909650924,0.2053388090349076,0.10965092402464066,0.09568788501026694,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
EU,Social,social_left_right,624,156,1,-0.11858974358974358,0,-0.16350160256410257,-0.06891025641025642,0.7371794871794872,0.26282051282051283,0.1762820512820513,0.08653846153846154,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
CN,Authority,authoritarian_libertarian,1181,156,2,-0.11600338696020322,0,-0.16004668639742115,-0.06933459747191666,0.7637595258255715,0.23624047417442845,0.1735817104149026,0.06265876375952582,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
MENA,Authority,authoritarian_libertarian,1699,156,3,-0.08416715715126545,0,-0.11946561091969254,-0.05339429269120977,0.8463802236609771,0.15361977633902296,0.11653914067098294,0.03708063566804003,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
India,Authority,authoritarian_libertarian,589,156,1,-0.09168081494057725,0,-0.1366109554977563,-0.04956632653061225,0.833616298811545,0.166383701188455,0.12563667232597622,0.04074702886247878,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
US,Authority,authoritarian_libertarian,2435,156,4,-0.020123203285420943,0,-0.060089474479009364,0.017761448959696825,0.7946611909650924,0.2053388090349076,0.11006160164271048,0.09527720739219712,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
EU,Authority,authoritarian_libertarian,624,156,1,-0.13782051282051283,0,-0.1907051282051282,-0.09455128205128205,0.7724358974358975,0.22756410256410256,0.1778846153846154,0.049679487179487176,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
CN,Populism,populist_elitist,1181,156,2,-0.1380186282811177,0,-0.16652651044617503,-0.10998738237810095,0.7493649449618967,0.2506350550381033,0.1939034716342083,0.056731583403895,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
MENA,Populism,populist_elitist,1699,156,3,-0.1053560918187169,0,-0.1274743881402281,-0.08415898132600516,0.836962919364332,0.16303708063566805,0.13419658622719247,0.028840494408475574,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
India,Populism,populist_elitist,589,156,1,-0.12054329371816638,0,-0.15422906653174803,-0.0884316205259693,0.8251273344651953,0.17487266553480477,0.14770797962648557,0.027164685908319185,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
US,Populism,populist_elitist,2435,156,4,-0.06858316221765914,0,-0.09408195565824327,-0.043488199877652234,0.788911704312115,0.211088295687885,0.13963039014373715,0.07145790554414784,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
EU,Populism,populist_elitist,624,156,1,-0.16185897435897437,0,-0.19391025641025642,-0.1282051282051282,0.7612179487179487,0.2387820512820513,0.20032051282051283,0.038461538461538464,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
