juris,model,model_mean,n,juris_mean_equal_model,between_model_sd,n_models,dimension,field,sample
CN,deepseek-chat-v3.1,0.0033500837520938024,597,0.00595586379385512,0.0036851294756199853,2,Economic,economic_left_right,"slant subsample, engaged, English"
CN,qwen3-max,0.008561643835616438,584,0.00595586379385512,0.0036851294756199853,2,Economic,economic_left_right,"slant subsample, engaged, English"
MENA,allam-7b,0.005859375,512,0.005898183877660571,9.676771071945588e-4,3,Economic,economic_left_right,"slant subsample, engaged, English"
MENA,falcon3-10b,0.0068846815834767644,581,0.005898183877660571,9.676771071945588e-4,3,Economic,economic_left_right,"slant subsample, engaged, English"
MENA,jais-8b,0.0049504950495049506,606,0.005898183877660571,9.676771071945588e-4,3,Economic,economic_left_right,"slant subsample, engaged, English"
India,sarvam-30b,0.006791171477079796,589,0.006791171477079796,NA,1,Economic,economic_left_right,"slant subsample, engaged, English"
US,claude-opus-4.5,0.02145214521452145,606,0.03237108470205309,0.02975428726131768,4,Economic,economic_left_right,"slant subsample, engaged, English"
US,gpt-4o,0.014705882352941176,612,0.03237108470205309,0.02975428726131768,4,Economic,economic_left_right,"slant subsample, engaged, English"
US,gpt-5.1,0.01652892561983471,605,0.03237108470205309,0.02975428726131768,4,Economic,economic_left_right,"slant subsample, engaged, English"
US,grok-4.3,0.07679738562091504,612,0.03237108470205309,0.02975428726131768,4,Economic,economic_left_right,"slant subsample, engaged, English"
EU,mistral-large-2512,0.0016025641025641025,624,0.0016025641025641025,NA,1,Economic,economic_left_right,"slant subsample, engaged, English"
CN,deepseek-chat-v3.1,-0.06197654941373534,597,-0.07893348018631972,0.023980721474810514,2,Social,social_left_right,"slant subsample, engaged, English"
CN,qwen3-max,-0.0958904109589041,584,-0.07893348018631972,0.023980721474810514,2,Social,social_left_right,"slant subsample, engaged, English"
MENA,allam-7b,-0.025390625,512,-0.048848561235749224,0.020663644694934855,3,Social,social_left_right,"slant subsample, engaged, English"
MENA,falcon3-10b,-0.05679862306368331,581,-0.048848561235749224,0.020663644694934855,3,Social,social_left_right,"slant subsample, engaged, English"
MENA,jais-8b,-0.06435643564356436,606,-0.048848561235749224,0.020663644694934855,3,Social,social_left_right,"slant subsample, engaged, English"
India,sarvam-30b,-0.07130730050933787,589,-0.07130730050933787,NA,1,Social,social_left_right,"slant subsample, engaged, English"
US,claude-opus-4.5,-0.034653465346534656,606,-0.02242261659321012,0.06930204823505931,4,Social,social_left_right,"slant subsample, engaged, English"
US,gpt-4o,-0.027777777777777776,612,-0.02242261659321012,0.06930204823505931,4,Social,social_left_right,"slant subsample, engaged, English"
US,gpt-5.1,-0.09752066115702479,605,-0.02242261659321012,0.06930204823505931,4,Social,social_left_right,"slant subsample, engaged, English"
US,grok-4.3,0.07026143790849673,612,-0.02242261659321012,0.06930204823505931,4,Social,social_left_right,"slant subsample, engaged, English"
EU,mistral-large-2512,-0.11858974358974358,624,-0.11858974358974358,NA,1,Social,social_left_right,"slant subsample, engaged, English"
CN,deepseek-chat-v3.1,-0.12562814070351758,597,-0.1158962621325807,0.013762954662387021,2,Authority,authoritarian_libertarian,"slant subsample, engaged, English"
CN,qwen3-max,-0.10616438356164383,584,-0.1158962621325807,0.013762954662387021,2,Authority,authoritarian_libertarian,"slant subsample, engaged, English"
MENA,allam-7b,-0.095703125,512,-0.08457661903507477,0.012813032099314569,3,Authority,authoritarian_libertarian,"slant subsample, engaged, English"
MENA,falcon3-10b,-0.07056798623063683,581,-0.08457661903507477,0.012813032099314569,3,Authority,authoritarian_libertarian,"slant subsample, engaged, English"
