jurisdiction,foundation,field,estimate,conf_low,conf_high,n,n_issues,scale,sample,contrast,estimable
CN,Care / harm,care_harm,0.5325994919559696,0.4746771675414058,0.5890026020930497,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Care / harm,care_harm,0.5191288993525603,0.46124125991101,0.569750708941362,1699,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Care / harm,care_harm,0.5042444821731749,0.44010399584364923,0.5651833393449401,589,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Care / harm,care_harm,0.4381930184804928,0.3862926364850084,0.49570791423775706,2435,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Care / harm,care_harm,0.5961538461538461,0.5352163461538462,0.6506410256410257,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
CN,Fairness / cheating,fairness_cheating,0.6342082980524979,0.5878234826277143,0.6851574652293071,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Fairness / cheating,fairness_cheating,0.5821071218363744,0.5333753218758702,0.6270119826633807,1699,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Fairness / cheating,fairness_cheating,0.5823429541595926,0.5321916155478675,0.6315041990189448,589,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Fairness / cheating,fairness_cheating,0.5917864476386037,0.5484052396723148,0.6368884633033746,2435,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Fairness / cheating,fairness_cheating,0.7051282051282052,0.6618189102564103,0.7468349358974359,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
CN,Liberty / oppression,liberty_oppression,0.49195596951735815,0.4403846153846153,0.5406538139145013,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Liberty / oppression,liberty_oppression,0.4290759270158917,0.3810299474410488,0.4712149451882312,1699,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Liberty / oppression,liberty_oppression,0.5144312393887945,0.4617964065794535,0.5616770134228188,589,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Liberty / oppression,liberty_oppression,0.44763860369609854,0.40213263552921164,0.49656706369537323,2435,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Liberty / oppression,liberty_oppression,0.6121794871794872,0.5656650641025641,0.6602564102564102,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
CN,Authority / subversion,authority_subversion,0.1642675698560542,0.12749774727577537,0.2011888382162518,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Authority / subversion,authority_subversion,0.11124190700412007,0.0866994991260706,0.1408308866705813,1699,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Authority / subversion,authority_subversion,0.1460101867572156,0.10792457379472845,0.1886612823173758,589,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Authority / subversion,authority_subversion,0.14004106776180697,0.10922106996396695,0.1714649813443889,2435,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Authority / subversion,authority_subversion,0.16826923076923078,0.1312900641025641,0.21153846153846154,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
CN,Loyalty / betrayal,loyalty_betrayal,0.12870448772226925,0.09579540198806026,0.16239610203496704,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Loyalty / betrayal,loyalty_betrayal,0.06768687463213655,0.049490175781243186,0.08853407603711623,1699,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Loyalty / betrayal,loyalty_betrayal,0.0899830220713073,0.06532118019144136,0.11664585574323343,589,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Loyalty / betrayal,loyalty_betrayal,0.07186858316221766,0.04980039185920774,0.09573254206247896,2435,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Loyalty / betrayal,loyalty_betrayal,0.08974358974358974,0.0641025641025641,0.11698717948717949,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
CN,Sanctity / degradation,sanctity_degradation,0.03217612193056731,0.01932196837068161,0.044694660064335534,1181,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
MENA,Sanctity / degradation,sanctity_degradation,0.03708063566804003,0.02554689774975148,0.04977311794390841,1699,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
India,Sanctity / degradation,sanctity_degradation,0.030560271646859084,0.01663755542862504,0.04796608753758768,589,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
US,Sanctity / degradation,sanctity_degradation,0.028336755646817247,0.01683006092283673,0.04190682161832869,2435,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
EU,Sanctity / degradation,sanctity_degradation,0.02403846153846154,0.01282051282051282,0.03685897435897436,624,156,share invoking,"slant subsample, engaged, English",share of engaged responses invoking the foundation,TRUE
