juris,equal_model,n_models,foundation,field
CN,0.5325801381335904,2,Care / harm,care_harm
MENA,0.5210160612392996,3,Care / harm,care_harm
India,0.5042444821731749,1,Care / harm,care_harm
US,0.43836537397055214,4,Care / harm,care_harm
EU,0.5961538461538461,1,Care / harm,care_harm
CN,0.634387691884078,2,Fairness / cheating,fairness_cheating
MENA,0.5837883224908119,3,Fairness / cheating,fairness_cheating
India,0.5823429541595926,1,Fairness / cheating,fairness_cheating
US,0.5920011519868564,4,Fairness / cheating,fairness_cheating
EU,0.7051282051282052,1,Fairness / cheating,fairness_cheating
CN,0.4920621945343154,2,Liberty / oppression,liberty_oppression
MENA,0.4276079151589858,3,Liberty / oppression,liberty_oppression
India,0.5144312393887945,1,Liberty / oppression,liberty_oppression
US,0.44780129082426956,4,Liberty / oppression,liberty_oppression
EU,0.6121794871794872,1,Liberty / oppression,liberty_oppression
CN,0.1641383286294486,2,Authority / subversion,authority_subversion
MENA,0.11114305613543282,3,Authority / subversion,authority_subversion
India,0.1460101867572156,1,Authority / subversion,authority_subversion
US,0.1400037864749042,4,Authority / subversion,authority_subversion
EU,0.16826923076923078,1,Authority / subversion,authority_subversion
CN,0.12862686721277622,2,Loyalty / betrayal,loyalty_betrayal
MENA,0.06817783791341699,3,Loyalty / betrayal,loyalty_betrayal
India,0.0899830220713073,1,Loyalty / betrayal,loyalty_betrayal
US,0.07182631364740752,4,Loyalty / betrayal,loyalty_betrayal
EU,0.08974358974358974,1,Loyalty / betrayal,loyalty_betrayal
CN,0.03210544732796402,2,Sanctity / degradation,sanctity_degradation
MENA,0.03806807336015443,3,Sanctity / degradation,sanctity_degradation
India,0.030560271646859084,1,Sanctity / degradation,sanctity_degradation
US,0.028285482291544664,4,Sanctity / degradation,sanctity_degradation
EU,0.02403846153846154,1,Sanctity / degradation,sanctity_degradation
