model,estimate,conf_low,conf_high,n,events,jurisdiction,estimable,spec,scale,contrast,sample,estimand_type,uncertainty
qwen3-max,0.19007520278387308,0.14776002355592208,0.23730403572416797,2080,167,CN,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
deepseek-chat-v3.1,0.1611340802744915,0.12466067136237477,0.2034075758481612,2080,115,CN,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
allam-7b,0.022683967121341384,-0.019383777655070156,0.06719183682303133,2080,373,MENA,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
jais-8b,3.0508573559012085e-4,-0.012875081925422645,0.015601048750416105,2080,49,MENA,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
falcon3-10b,-0.0013319353885917322,-0.0232806608396439,0.025626173993806227,2080,135,MENA,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
sarvam-30b,0.031143871261717134,0.0035983977111008624,0.06615632841958875,2076,139,India,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
gpt-4o,0.011237823849059608,-0.0032172641247171225,0.03363731647308585,2079,48,US,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
grok-4.3,-7.947117424206544e-4,-0.012991331164508717,0.017431129056271095,2080,43,US,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
claude-opus-4.5,-0.016635174027308238,-0.03391026237495141,0.004990002612176153,2080,91,US,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
gpt-5.1,-0.023982993092725603,-0.03924451371457457,-0.0028773325590008593,2080,92,US,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
