estimand_family,quantity,jurisdiction,stratum,stratum_value,home_status,weighting,n,n_issues,n_models,refusals_strict,refusals_any,rate_strict,rate_any,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,estimable,note,replicate_failure_rate,n_home,n_away,outcome,estimand_label,causal_interpretation,general_handling,uncertainty,bootstrap_unit
A_descriptive,cell_rate,CN,overall,rebalanced,away,response,16637,416,2,835,957,0.05018933701989541,0.057522389853940016,0.05018933701989541,NA,NA,5.018933701989541,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,overall,rebalanced,general,response,4160,104,2,120,131,0.028846153846153848,0.031490384615384615,0.028846153846153848,NA,NA,2.8846153846153846,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,CN,overall,rebalanced,home,response,4160,104,2,696,725,0.1673076923076923,0.17427884615384615,0.1673076923076923,NA,NA,16.73076923076923,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,EU,overall,rebalanced,away,response,8319,416,1,0,0,0,0,0,NA,NA,0,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,EU,overall,rebalanced,general,response,2080,104,1,0,0,0,0,0,NA,NA,0,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,EU,overall,rebalanced,home,response,2080,104,1,0,0,0,0,0,NA,NA,0,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,India,overall,rebalanced,away,response,8251,416,1,304,318,0.03684401890679918,0.03854078293540177,0.03684401890679918,NA,NA,3.6844018906799176,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,India,overall,rebalanced,general,response,2073,104,1,62,64,0.029908345393150026,0.03087313072841293,0.029908345393150026,NA,NA,2.9908345393150024,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,India,overall,rebalanced,home,response,2077,104,1,79,80,0.03803562831006259,0.038517091959557055,0.03803562831006259,NA,NA,3.803562831006259,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,MENA,overall,rebalanced,away,response,24955,416,3,5321,5490,0.2132238028451212,0.21999599278701662,0.2132238028451212,NA,NA,21.32238028451212,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
