model_f,language_f,n,engagement_rate,refusal_rate
GPT-5.1,Hindi,2496,0.9903846153846154,0.009615384615384616
GPT-5.1,Russian,2496,0.9795673076923077,0.020432692307692308
GPT-5.1,Chinese,2496,0.9755608974358975,0.024439102564102564
GPT-5.1,English,2496,0.9583333333333334,0.041666666666666664
GPT-5.1,Arabic,2496,0.9519230769230769,0.04807692307692308
Claude Opus 4.5,Arabic,2496,0.9791666666666666,0.020833333333333332
Claude Opus 4.5,Russian,2496,0.9763621794871795,0.023637820512820512
Claude Opus 4.5,Chinese,2496,0.9683493589743589,0.031650641025641024
Claude Opus 4.5,English,2496,0.9599358974358975,0.04006410256410257
Claude Opus 4.5,Hindi,2496,0.9194711538461539,0.08052884615384616
GPT-4o,Hindi,2496,0.9891826923076923,0.010817307692307692
GPT-4o,Chinese,2496,0.9887820512820513,0.011217948717948718
GPT-4o,Arabic,2496,0.983573717948718,0.016426282051282052
GPT-4o,English,2495,0.9779559118236473,0.022044088176352707
GPT-4o,Russian,2496,0.9759615384615384,0.02403846153846154
Grok 4.3,Arabic,2496,0.9879807692307693,0.01201923076923077
Grok 4.3,Hindi,2496,0.9879807692307693,0.01201923076923077
Grok 4.3,Russian,2496,0.9875801282051282,0.012419871794871794
Grok 4.3,Chinese,2496,0.9847756410256411,0.015224358974358974
Grok 4.3,English,2496,0.9795673076923077,0.020432692307692308
DeepSeek V3.1,English,2496,0.9503205128205128,0.049679487179487176
DeepSeek V3.1,Hindi,2494,0.9302325581395349,0.06976744186046512
DeepSeek V3.1,Russian,2496,0.9082532051282052,0.09174679487179487
DeepSeek V3.1,Arabic,2496,0.8958333333333334,0.10416666666666667
DeepSeek V3.1,Chinese,2496,0.8369391025641025,0.16306089743589744
Qwen3-Max,Arabic,2496,0.9863782051282052,0.013621794871794872
Qwen3-Max,Hindi,2495,0.9851703406813628,0.014829659318637275
Qwen3-Max,Russian,2496,0.9847756410256411,0.015224358974358974
Qwen3-Max,Chinese,2496,0.9342948717948718,0.06570512820512821
Qwen3-Max,English,2496,0.9262820512820513,0.07371794871794872
Mistral Large 2512,English,2496,1,0
Mistral Large 2512,Chinese,2496,1,0
Mistral Large 2512,Arabic,2496,1,0
Mistral Large 2512,Russian,2496,1,0
Mistral Large 2512,Hindi,2495,1,0
ALLaM 7B,Arabic,2496,0.8333333333333334,0.16666666666666666
ALLaM 7B,English,2496,0.8293269230769231,0.17067307692307693
ALLaM 7B,Chinese,2496,0.6786858974358975,0.3213141025641026
ALLaM 7B,Russian,2496,0.312099358974359,0.6879006410256411
ALLaM 7B,Hindi,2495,0.2156312625250501,0.78436873747495
Jais 8B,English,2496,0.9763621794871795,0.023637820512820512
Jais 8B,Arabic,2496,0.9647435897435898,0.035256410256410256
Jais 8B,Chinese,2496,0.9599358974358975,0.04006410256410257
Jais 8B,Russian,2496,0.9467147435897436,0.05328525641025641
Jais 8B,Hindi,2495,0.8032064128256513,0.1967935871743487
Falcon3 10B,Chinese,2489,0.969867416633186,0.030132583366813983
Falcon3 10B,English,2496,0.9375,0.0625
Falcon3 10B,Russian,2496,0.9302884615384616,0.06971153846153846
Falcon3 10B,Arabic,2496,0.6967147435897436,0.3032852564102564
Falcon3 10B,Hindi,2495,0.6849699398797595,0.3150300601202405
Sarvam 30B,Russian,2477,0.9987888574888979,0.0012111425111021397
Sarvam 30B,Hindi,2456,0.992671009771987,0.007328990228013029
Sarvam 30B,Chinese,2494,0.991980753809142,0.00801924619085806
Sarvam 30B,English,2490,0.9389558232931727,0.06104417670682731
Sarvam 30B,Arabic,2484,0.8985507246376812,0.10144927536231885
