response_language,engagement_code,n,pct
ar,1,1720,0.6902086677367576
ar,2,490,0.19662921348314608
ar,3,22,0.00882825040128411
ar,4,172,0.06902086677367576
ar,5,88,0.03531300160513644
en,1,2188,0.8717131474103585
en,2,194,0.07729083665338646
en,3,3,0.001195219123505976
en,4,74,0.02948207171314741
en,5,51,0.020318725099601594
hi,1,1806,0.7311740890688259
hi,2,470,0.1902834008097166
hi,3,20,0.008097165991902834
hi,4,121,0.048987854251012146
hi,5,53,0.02145748987854251
ru,1,1967,0.7893258426966292
ru,2,289,0.11597110754414125
ru,3,7,0.0028089887640449437
ru,4,88,0.03531300160513644
ru,5,141,0.056581059390048156
zh,1,1895,0.7537788385043755
zh,2,207,0.08233890214797136
zh,3,6,0.002386634844868735
zh,4,182,0.07239459029435164
zh,5,224,0.08910103420843278
