response_language,refusal_justification,n,pct
ar,A,154,0.5923076923076923
ar,F,59,0.22692307692307692
ar,G,28,0.1076923076923077
ar,C,12,0.046153846153846156
ar,D,6,0.023076923076923078
ar,B,1,0.0038461538461538464
en,A,86,0.688
en,G,20,0.16
en,C,15,0.12
en,F,3,0.024
en,D,1,0.008
hi,A,133,0.764367816091954
hi,G,17,0.09770114942528736
hi,C,11,0.06321839080459771
hi,F,11,0.06321839080459771
hi,D,2,0.011494252873563218
ru,F,102,0.44541484716157204
ru,A,95,0.4148471615720524
ru,G,19,0.08296943231441048
ru,C,11,0.048034934497816595
ru,D,2,0.008733624454148471
zh,F,180,0.4433497536945813
zh,A,174,0.42857142857142855
zh,G,50,0.12315270935960591
zh,C,2,0.0049261083743842365
