jurisdiction,model,prompt_language,n,n_issues,genuine_refusal_n,genuine_refusal_rate,capability_failure_n,capability_failure_rate
CN,deepseek-chat-v3.1,ar,2496,624,209,0.08373397435897435,15,0.006009615384615385
CN,deepseek-chat-v3.1,en,2496,624,83,0.03325320512820513,21,0.008413461538461538
CN,deepseek-chat-v3.1,hi,2494,624,123,0.049318364073777064,1873,0.7510024057738572
CN,deepseek-chat-v3.1,ru,2496,624,193,0.07732371794871795,26,0.010416666666666666
CN,deepseek-chat-v3.1,zh,2496,624,334,0.13381410256410256,18,0.007211538461538462
CN,glm-4.7-flash,ar,2496,624,11,0.004407051282051282,18,0.007211538461538462
CN,glm-4.7-flash,en,2496,624,31,0.012419871794871794,7,0.0028044871794871795
CN,glm-4.7-flash,hi,2496,624,4,0.0016025641025641025,1198,0.47996794871794873
CN,glm-4.7-flash,ru,2496,624,25,0.010016025641025642,17,0.006810897435897436
CN,glm-4.7-flash,zh,2496,624,61,0.024439102564102564,9,0.003605769230769231
CN,hunyuan-a13b,ar,2496,624,49,0.019631410256410256,74,0.029647435897435896
CN,hunyuan-a13b,en,2496,624,147,0.05889423076923077,482,0.19310897435897437
CN,hunyuan-a13b,hi,2496,624,19,0.007612179487179487,1238,0.49599358974358976
CN,hunyuan-a13b,ru,2496,624,51,0.020432692307692308,324,0.12980769230769232
CN,hunyuan-a13b,zh,2496,624,273,0.109375,111,0.04447115384615385
CN,qwen3-max,ar,2496,624,32,0.01282051282051282,35,0.014022435897435898
CN,qwen3-max,en,2496,624,104,0.041666666666666664,203,0.08133012820512821
CN,qwen3-max,hi,2495,624,21,0.008416833667334669,1943,0.7787575150300601
CN,qwen3-max,ru,2496,624,34,0.013621794871794872,20,0.008012820512820512
CN,qwen3-max,zh,2496,624,105,0.042067307692307696,225,0.09014423076923077
EU,ministral-14b,ar,2496,624,2,8.012820512820513e-4,14,0.005608974358974359
EU,ministral-14b,en,2496,624,1,0.00040064102564102563,1,0.00040064102564102563
EU,ministral-14b,hi,2496,624,2,8.012820512820513e-4,898,0.359775641025641
EU,ministral-14b,ru,2496,624,2,8.012820512820513e-4,0,0
EU,ministral-14b,zh,2496,624,0,0,1,0.00040064102564102563
EU,mistral-large-2512,ar,2496,624,0,0,3,0.001201923076923077
EU,mistral-large-2512,en,2496,624,2,8.012820512820513e-4,1,0.00040064102564102563
EU,mistral-large-2512,hi,2495,624,1,4.008016032064128e-4,1871,0.7498997995991984
EU,mistral-large-2512,ru,2496,624,0,0,1,0.00040064102564102563
EU,mistral-large-2512,zh,2496,624,0,0,0,0
India,sarvam-30b,ar,2484,624,10,0.004025764895330112,2121,0.8538647342995169
India,sarvam-30b,en,2490,624,154,0.061847389558232935,6,0.0024096385542168677
India,sarvam-30b,hi,2456,624,28,0.011400651465798045,1931,0.7862377850162866
India,sarvam-30b,ru,2477,624,9,0.0036334275333064193,2281,0.9208720226079935
India,sarvam-30b,zh,2494,624,15,0.006014434643143544,1833,0.7349639133921412
MENA,allam-7b,ar,2496,624,126,0.05048076923076923,1411,0.5653044871794872
MENA,allam-7b,en,2496,624,172,0.06891025641025642,1011,0.4050480769230769
MENA,allam-7b,hi,2495,624,1,4.008016032064128e-4,2472,0.9907815631262525
MENA,allam-7b,ru,2496,624,4,0.0016025641025641025,2478,0.9927884615384616
MENA,allam-7b,zh,2496,624,8,0.003205128205128205,2379,0.953125
MENA,falcon3-10b,ar,2496,624,7,0.0028044871794871795,2062,0.8261217948717948
MENA,falcon3-10b,en,2496,624,66,0.026442307692307692,7,0.0028044871794871795
MENA,falcon3-10b,hi,2495,624,6,0.002404809619238477,2282,0.914629258517034
MENA,falcon3-10b,ru,2496,624,68,0.027243589743589744,556,0.22275641025641027
MENA,falcon3-10b,zh,2489,623,11,0.0044194455604660505,164,0.06588991562876657
MENA,jais-8b,ar,2496,624,70,0.028044871794871796,62,0.024839743589743588
MENA,jais-8b,en,2496,624,66,0.026442307692307692,71,0.02844551282051282
MENA,jais-8b,hi,2495,624,16,0.006412825651302605,2403,0.96312625250501
MENA,jais-8b,ru,2496,624,16,0.00641025641025641,2348,0.9407051282051282
MENA,jais-8b,zh,2496,624,52,0.020833333333333332,1244,0.4983974358974359
US,claude-opus-4.5,ar,2496,624,121,0.048477564102564104,3,0.001201923076923077
US,claude-opus-4.5,en,2496,624,106,0.04246794871794872,1,0.00040064102564102563
US,claude-opus-4.5,hi,2496,624,259,0.10376602564102565,1734,0.6947115384615384
US,claude-opus-4.5,ru,2496,624,114,0.04567307692307692,7,0.0028044871794871795
US,claude-opus-4.5,zh,2496,624,126,0.05048076923076923,3,0.001201923076923077
US,gemini-2.5-flash-lite,ar,2496,624,18,0.007211538461538462,2,8.012820512820513e-4
US,gemini-2.5-flash-lite,en,2496,624,18,0.007211538461538462,4,0.0016025641025641025
US,gemini-2.5-flash-lite,hi,2495,624,9,0.0036072144288577155,1007,0.4036072144288577
US,gemini-2.5-flash-lite,ru,2496,624,18,0.007211538461538462,1,0.00040064102564102563
US,gemini-2.5-flash-lite,zh,2496,624,6,0.002403846153846154,6,0.002403846153846154
US,gpt-4o,ar,2496,624,13,0.005208333333333333,3,0.001201923076923077
US,gpt-4o,en,2495,624,9,0.0036072144288577155,4,0.0016032064128256513
US,gpt-4o,hi,2496,624,3,0.001201923076923077,1962,0.7860576923076923
US,gpt-4o,ru,2496,624,19,0.007612179487179487,0,0
US,gpt-4o,zh,2496,624,12,0.004807692307692308,0,0
US,gpt-5.1,ar,2496,624,136,0.05448717948717949,5,0.002003205128205128
US,gpt-5.1,en,2496,624,109,0.04366987179487179,1,0.00040064102564102563
US,gpt-5.1,hi,2496,624,45,0.018028846153846152,1800,0.7211538461538461
US,gpt-5.1,ru,2496,624,79,0.031650641025641024,2,8.012820512820513e-4
US,gpt-5.1,zh,2496,624,89,0.03565705128205128,2,8.012820512820513e-4
US,grok-4.3,ar,2496,624,44,0.017628205128205128,92,0.03685897435897436
US,grok-4.3,en,2496,624,37,0.014823717948717948,1,0.00040064102564102563
US,grok-4.3,hi,2496,624,34,0.013621794871794872,1936,0.7756410256410257
US,grok-4.3,ru,2496,624,35,0.014022435897435898,200,0.08012820512820513
US,grok-4.3,zh,2496,624,55,0.022035256410256412,184,0.07371794871794872
US,llama-4-scout,ar,2496,624,156,0.0625,14,0.005608974358974359
US,llama-4-scout,en,2496,624,48,0.019230769230769232,4,0.0016025641025641025
US,llama-4-scout,hi,2496,624,69,0.027644230769230768,1084,0.4342948717948718
US,llama-4-scout,ru,2496,624,81,0.03245192307692308,37,0.014823717948717948
US,llama-4-scout,zh,2496,624,17,0.006810897435897436,10,0.004006410256410256
US,nova-lite,ar,2496,624,46,0.01842948717948718,109,0.04366987179487179
US,nova-lite,en,2496,624,18,0.007211538461538462,37,0.014823717948717948
US,nova-lite,hi,2496,624,5,0.002003205128205128,1132,0.453525641025641
US,nova-lite,ru,2496,624,10,0.004006410256410256,45,0.018028846153846152
US,nova-lite,zh,2496,624,11,0.004407051282051282,44,0.017628205128205128
