model,jurisdiction,outcome,estimate,conf_low,conf_high,std_error,estimable,standardized_home_risk,standardized_away_risk,n,events,n_issues,estimate_pp,conf_low_pp,conf_high_pp,estimand,formula
deepseek-chat-v3.1,CN,genuine_refusal,0.0827246618540962,0.025301691001796488,0.1401476327063959,0.02929743410831618,TRUE,0.10176385597159976,0.019039194117503058,2080,74,520,8.27246618540962,2.530169100179649,14.014763270639591,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
deepseek-chat-v3.1,CN,capability_failure,0.03995708471374701,-0.010907746490567978,0.09082191591806199,0.025951444491997443,TRUE,0.042867778816517356,0.002910694102769496,2080,21,520,3.995708471374701,-1.0907746490567978,9.082191591806199,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
glm-4.7-flash,CN,genuine_refusal,-8.723016248543658e-4,-0.014991306877494441,0.013246703627785711,0.007203574108489835,TRUE,0.01190764970825056,0.0127799513331051,2080,26,520,-0.08723016248543658,-1.4991306877494441,1.324670362778571,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
glm-4.7-flash,CN,capability_failure,0.038429881841674465,-0.022587071819367373,0.0994468355027163,0.031131098806654,TRUE,0.040417240504525095,0.0019873586628505655,2080,7,520,3.8429881841674467,-2.2587071819367375,9.94468355027163,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
hunyuan-a13b,CN,genuine_refusal,0.14907538504419607,0.06843235902469408,0.22971841106369806,0.04114440103035816,TRUE,0.18732078437044766,0.03824539932625152,2080,132,520,14.907538504419607,6.843235902469408,22.971841106369805,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
hunyuan-a13b,CN,capability_failure,-0.09890892886054224,-0.14852649616186622,-0.04929136155921827,0.025315085357818356,TRUE,0.12367707278530364,0.2225860016458464,2080,423,520,-9.890892886054225,-14.852649616186623,-4.929136155921827,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
qwen3-max,CN,genuine_refusal,0.0781176117087514,0.023572868707862626,0.13266235470964016,0.027828950510657535,TRUE,0.10913255024578077,0.03101493853702972,2080,90,520,7.8117611708751395,2.357286870786263,13.266235470964016,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
qwen3-max,CN,capability_failure,0.19310766716591232,0.07570078199926626,0.31051455233255837,0.05990147202379901,TRUE,0.22917795510667013,0.03607028794076149,2080,192,520,19.310766716591232,7.570078199926626,31.051455233255837,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
allam-7b,MENA,genuine_refusal,0.035385854816382095,0.002802537790964142,0.06796917184180004,0.016624141339498955,TRUE,0.10167277229392525,0.06628691747754441,2080,155,520,3.5385854816382096,0.28025377909641425,6.796917184180004,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
allam-7b,MENA,capability_failure,-0.0453262740139561,-0.10780332752591476,0.017150779498002568,0.03187604771018299,TRUE,0.37829451478292747,0.4236207887968805,2080,862,520,-4.53262740139561,-10.780332752591477,1.7150779498002569,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
falcon3-10b,MENA,genuine_refusal,0.0066582582811893784,-0.0112198414488957,0.024536358011274455,0.00912147945412504,TRUE,0.030468850015763035,0.02381059173457417,2080,53,520,0.6658258281189379,-1.12198414488957,2.4536358011274455,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
falcon3-10b,MENA,capability_failure,-0.003591757376073445,-0.006176803719866886,-0.0010067110322800042,0.0013189011958129801,TRUE,1.193989439987105e-10,0.0035917574954723868,2080,7,520,-0.3591757376073445,-0.6176803719866887,-0.10067110322800042,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
jais-8b,MENA,genuine_refusal,0.014347611588663187,-0.003894299682890099,0.03258952286021648,0.009307097587527187,TRUE,0.0363439564742199,0.02199634488555672,2080,54,520,1.4347611588663187,-0.3894299682890099,3.2589522860216475,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
jais-8b,MENA,capability_failure,-0.028067434457313585,-0.040398449974910294,-0.015736418939716872,0.006291334447753425,TRUE,0.007021670565847146,0.035089105023161135,2080,61,520,-2.8067434457313585,-4.03984499749103,-1.5736418939716872,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
sarvam-30b,India,genuine_refusal,-0.02601139422053734,-0.054398154824887746,0.0023753663838130684,0.014483041124668574,TRUE,0.04856220323089199,0.07457359745142882,2076,139,520,-2.601139422053734,-5.4398154824887746,0.23753663838130684,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
sarvam-30b,India,capability_failure,0.0013012788578214707,-0.005339932662428238,0.007942490378071178,0.003388373224617198,TRUE,0.003527809489023365,0.002226530631201961,2076,5,520,0.13012788578214707,-0.5339932662428237,0.7942490378071179,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
claude-opus-4.5,US,genuine_refusal,-0.019708760581138105,-0.04360223537351152,0.004184714211235313,0.012190548363455825,TRUE,0.029082037636124394,0.04879079821726151,2080,96,520,-1.9708760581138105,-4.360223537351152,0.4184714211235313,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
claude-opus-4.5,US,capability_failure,-4.34426601375477e-4,-0.0012011781721564434,3.323249694054893e-4,3.911997810106971e-4,TRUE,4.634264964897642e-5,4.807692510244547e-4,2080,1,520,-0.043442660137547696,-0.12011781721564434,0.03323249694054893,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
gemini-2.5-flash-lite,US,genuine_refusal,-0.0022870253549261404,-0.01352093260976671,0.00894688189991443,0.005731585334102332,TRUE,0.005138512547173406,0.007425537902099606,2080,15,520,-0.22870253549261405,-1.3520932609766712,0.894688189991443,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
gemini-2.5-flash-lite,US,capability_failure,0.0027005874277539225,-0.011924917909848797,0.01732609276535664,0.007461992519185061,TRUE,0.0038035728466991013,0.0011029854189451788,2080,3,520,0.27005874277539227,-1.1924917909848798,1.732609276535664,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
gpt-4o,US,genuine_refusal,-0.004532235656573299,-0.007635893551425099,-0.0014285777617214996,0.0015834989259447957,TRUE,2.771461807741744e-10,0.004532235933719473,2079,8,520,-0.4532235656573299,-0.7635893551425099,-0.14285777617214995,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
gpt-4o,US,capability_failure,-7.302992969101743e-4,-0.004005039512798645,0.0025444409189782965,0.0016707858244328932,TRUE,0.001432933683452251,0.002163232980362449,2079,4,520,-0.07302992969101743,-0.4005039512798645,0.2544440918978296,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
gpt-5.1,US,genuine_refusal,-0.021611478915570997,-0.04398586184673717,7.629040155951762e-4,0.011415501495492945,TRUE,0.028480297438430308,0.05009177635400162,2080,98,520,-2.1611478915571,-4.398586184673717,0.07629040155951762,model-specific standardized home-minus-away predictive risk difference,outcome ~ home + tier + domain + route
