language,outcome,model,jurisdiction,estimate,conf_low,conf_high,n_blocks,n_issues,estimate_pp,conf_low_pp,conf_high_pp,evidence_status
zh,genuine_refusal,deepseek-chat-v3.1,CN,0.10056089743589744,0.08493589743589744,0.11719751602564102,2496,624,10.056089743589745,8.4935897435897445,11.719751602564102,exploratory model heterogeneity
zh,genuine_refusal,glm-4.7-flash,CN,0.01201923076923077,0.005208333333333333,0.019040464743589735,2496,624,1.201923076923077,0.5208333333333333,1.9040464743589736,exploratory model heterogeneity
zh,genuine_refusal,hunyuan-a13b,CN,0.05048076923076923,0.037049278846153846,0.06513421474358973,2496,624,5.048076923076923,3.7049278846153846,6.513421474358973,exploratory model heterogeneity
zh,genuine_refusal,qwen3-max,CN,0.00040064102564102563,-0.006620592948717948,0.008413461538461538,2496,624,0.04006410256410256,-0.6620592948717948,0.8413461538461539,exploratory model heterogeneity
zh,genuine_refusal,allam-7b,MENA,-0.06570512820512821,-0.07612179487179487,-0.05608974358974359,2496,624,-6.570512820512821,-7.612179487179486,-5.6089743589743595,exploratory model heterogeneity
zh,genuine_refusal,falcon3-10b,MENA,-0.021695460024106068,-0.029323452911686927,-0.015257827778395799,2489,623,-2.169546002410607,-2.932345291168693,-1.5257827778395798,exploratory model heterogeneity
zh,genuine_refusal,jais-8b,MENA,-0.005608974358974359,-0.014022435897435898,0.002403846153846154,2496,624,-0.5608974358974359,-1.4022435897435899,0.2403846153846154,exploratory model heterogeneity
zh,genuine_refusal,sarvam-30b,India,-0.055868167202572344,-0.0667739340305712,-0.04663269903821415,2488,624,-5.586816720257234,-6.6773934030571205,-4.663269903821415,exploratory model heterogeneity
zh,genuine_refusal,claude-opus-4.5,US,0.008012820512820512,-0.0018129006410256404,0.017628205128205128,2496,624,0.8012820512820512,-0.18129006410256404,1.7628205128205128,exploratory model heterogeneity
zh,genuine_refusal,gemini-2.5-flash-lite,US,-0.004807692307692308,-0.00822315705128205,-0.0017928685897435988,2496,624,-0.4807692307692308,-0.822315705128205,-0.17928685897435986,exploratory model heterogeneity
zh,genuine_refusal,gpt-4o,US,0.0012024048096192384,-0.0016038816501836404,0.004008016032064128,2495,624,0.12024048096192384,-0.16038816501836403,0.4008016032064128,exploratory model heterogeneity
zh,genuine_refusal,gpt-5.1,US,-0.008012820512820512,-0.014633413461538462,-0.002003205128205128,2496,624,-0.8012820512820512,-1.4633413461538463,-0.2003205128205128,exploratory model heterogeneity
zh,genuine_refusal,grok-4.3,US,0.007211538461538462,0.001201923076923077,0.014232772435897427,2496,624,0.7211538461538461,0.1201923076923077,1.4232772435897427,exploratory model heterogeneity
zh,genuine_refusal,llama-4-scout,US,-0.012419871794871794,-0.01842948717948718,-0.006009615384615385,2496,624,-1.2419871794871795,-1.842948717948718,-0.6009615384615385,exploratory model heterogeneity
zh,genuine_refusal,nova-lite,US,-0.0028044871794871795,-0.006810897435897436,8.012820512820513e-4,2496,624,-0.28044871794871795,-0.6810897435897436,0.08012820512820512,exploratory model heterogeneity
zh,genuine_refusal,ministral-14b,EU,-0.00040064102564102563,-0.001201923076923077,0,2496,624,-0.04006410256410256,-0.1201923076923077,0,exploratory model heterogeneity
zh,genuine_refusal,mistral-large-2512,EU,-8.012820512820513e-4,-0.002003205128205128,0,2496,624,-0.08012820512820512,-0.2003205128205128,0,exploratory model heterogeneity
zh,capability_failure,deepseek-chat-v3.1,CN,-0.001201923076923077,-0.005819310897435898,0.003605769230769231,2496,624,-0.1201923076923077,-0.5819310897435898,0.3605769230769231,exploratory model heterogeneity
zh,capability_failure,glm-4.7-flash,CN,8.012820512820513e-4,-0.002403846153846154,0.004006410256410256,2496,624,0.08012820512820512,-0.2403846153846154,0.4006410256410256,exploratory model heterogeneity
zh,capability_failure,hunyuan-a13b,CN,-0.1486378205128205,-0.16546474358974358,-0.13058894230769233,2496,624,-14.863782051282051,-16.546474358974358,-13.058894230769234,exploratory model heterogeneity
zh,capability_failure,qwen3-max,CN,0.008814102564102564,-0.006009615384615385,0.025050080128205116,2496,624,0.8814102564102564,-0.6009615384615385,2.5050080128205114,exploratory model heterogeneity
zh,capability_failure,allam-7b,MENA,0.5480769230769231,0.5268429487179487,0.5705328525641026,2496,624,54.807692307692314,52.68429487179487,57.053285256410255,exploratory model heterogeneity
zh,capability_failure,falcon3-10b,MENA,0.06307754118119727,0.054237569248053306,0.07334210318088305,2489,623,6.3077541181197265,5.423756924805331,7.334210318088305,exploratory model heterogeneity
zh,capability_failure,jais-8b,MENA,0.4699519230769231,0.4495192307692308,0.4911858974358974,2496,624,46.99519230769231,44.95192307692308,49.118589743589745,exploratory model heterogeneity
zh,capability_failure,sarvam-30b,India,0.7331189710610932,0.7179266017668754,0.7475826905095839,2488,624,73.31189710610933,71.79266017668753,74.75826905095839,exploratory model heterogeneity
zh,capability_failure,claude-opus-4.5,US,8.012820512820513e-4,-0.001201923076923077,0.003605769230769231,2496,624,0.08012820512820512,-0.1201923076923077,0.3605769230769231,exploratory model heterogeneity
zh,capability_failure,gemini-2.5-flash-lite,US,8.012820512820513e-4,-0.001201923076923077,0.003205128205128205,2496,624,0.08012820512820512,-0.1201923076923077,0.3205128205128205,exploratory model heterogeneity
zh,capability_failure,gpt-4o,US,-0.0016032064128256513,-0.0032058026309028315,-0.00040064102564102563,2495,624,-0.16032064128256512,-0.32058026309028315,-0.04006410256410256,exploratory model heterogeneity
zh,capability_failure,gpt-5.1,US,0.00040064102564102563,-8.012820512820513e-4,0.002003205128205128,2496,624,0.04006410256410256,-0.08012820512820512,0.2003205128205128,exploratory model heterogeneity
zh,capability_failure,grok-4.3,US,0.0733173076923077,0.06169871794871795,0.08653846153846154,2496,624,7.331730769230769,6.169871794871796,8.653846153846153,exploratory model heterogeneity
zh,capability_failure,llama-4-scout,US,0.002403846153846154,-2.1033653846153788e-4,0.005208333333333333,2496,624,0.2403846153846154,-0.02103365384615379,0.5208333333333333,exploratory model heterogeneity
zh,capability_failure,nova-lite,US,0.0028044871794871795,-0.002403846153846154,0.008814102564102564,2496,624,0.28044871794871795,-0.2403846153846154,0.8814102564102564,exploratory model heterogeneity
zh,capability_failure,ministral-14b,EU,0,-0.001201923076923077,0.001201923076923077,2496,624,0,-0.1201923076923077,0.1201923076923077,exploratory model heterogeneity
zh,capability_failure,mistral-large-2512,EU,-0.00040064102564102563,-0.001201923076923077,0,2496,624,-0.04006410256410256,-0.1201923076923077,0,exploratory model heterogeneity
ar,genuine_refusal,deepseek-chat-v3.1,CN,0.05048076923076923,0.036057692307692304,0.063110977564102555,2496,624,5.048076923076923,3.6057692307692304,6.3110977564102555,exploratory model heterogeneity
ar,genuine_refusal,glm-4.7-flash,CN,-0.008012820512820512,-0.013221153846153846,-0.002994791666666676,2496,624,-0.8012820512820512,-1.3221153846153846,-0.2994791666666676,exploratory model heterogeneity
ar,genuine_refusal,hunyuan-a13b,CN,-0.03926282051282051,-0.050881410256410256,-0.02663261217948719,2496,624,-3.926282051282051,-5.0881410256410255,-2.663261217948719,exploratory model heterogeneity
ar,genuine_refusal,qwen3-max,CN,-0.028846153846153848,-0.03685897435897436,-0.022035256410256412,2496,624,-2.8846153846153846,-3.685897435897436,-2.203525641025641,exploratory model heterogeneity
ar,genuine_refusal,allam-7b,MENA,-0.01842948717948718,-0.030849358974358976,-0.006810897435897436,2496,624,-1.842948717948718,-3.084935897435898,-0.6810897435897436,exploratory model heterogeneity
ar,genuine_refusal,falcon3-10b,MENA,-0.023637820512820512,-0.031650641025641024,-0.016426282051282052,2496,624,-2.363782051282051,-3.165064102564102,-1.6426282051282053,exploratory model heterogeneity
ar,genuine_refusal,jais-8b,MENA,0.0016025641025641025,-0.005608974358974359,0.008814102564102564,2496,624,0.16025641025641024,-0.5608974358974359,0.8814102564102564,exploratory model heterogeneity
ar,genuine_refusal,sarvam-30b,India,-0.05811138014527845,-0.06941366147271874,-0.04741080810127177,2478,624,-5.811138014527845,-6.941366147271874,-4.741080810127177,exploratory model heterogeneity
ar,genuine_refusal,claude-opus-4.5,US,0.006009615384615385,-0.004216746794871794,0.014823717948717948,2496,624,0.6009615384615385,-0.4216746794871794,1.4823717948717947,exploratory model heterogeneity
ar,genuine_refusal,gemini-2.5-flash-lite,US,0,-0.003605769230769231,0.003605769230769231,2496,624,0,-0.3605769230769231,0.3605769230769231,exploratory model heterogeneity
ar,genuine_refusal,gpt-4o,US,0.0016032064128256513,-0.0012024048096192384,0.004812560976668915,2495,624,0.16032064128256512,-0.12024048096192384,0.4812560976668915,exploratory model heterogeneity
ar,genuine_refusal,gpt-5.1,US,0.010817307692307692,0.0028044871794871795,0.019230769230769232,2496,624,1.0817307692307692,0.28044871794871795,1.9230769230769231,exploratory model heterogeneity
ar,genuine_refusal,grok-4.3,US,0.0028044871794871795,-0.003205128205128205,0.008413461538461538,2496,624,0.28044871794871795,-0.3205128205128205,0.8413461538461539,exploratory model heterogeneity
ar,genuine_refusal,llama-4-scout,US,0.04326923076923077,0.03365384615384615,0.05448717948717949,2496,624,4.326923076923077,3.3653846153846154,5.448717948717949,exploratory model heterogeneity
ar,genuine_refusal,nova-lite,US,0.011217948717948718,0.005608974358974359,0.016426282051282052,2496,624,1.1217948717948718,0.5608974358974359,1.6426282051282053,exploratory model heterogeneity
ar,genuine_refusal,ministral-14b,EU,0.00040064102564102563,-8.012820512820513e-4,0.0016025641025641025,2496,624,0.04006410256410256,-0.08012820512820512,0.16025641025641024,exploratory model heterogeneity
ar,genuine_refusal,mistral-large-2512,EU,-8.012820512820513e-4,-0.002003205128205128,0,2496,624,-0.08012820512820512,-0.2003205128205128,0,exploratory model heterogeneity
ar,capability_failure,deepseek-chat-v3.1,CN,-0.002403846153846154,-0.006810897435897436,0.001812900641025632,2496,624,-0.2403846153846154,-0.6810897435897436,0.1812900641025632,exploratory model heterogeneity
