prompt_language,foundation,field,estimate,conf_low,conf_high,n,n_issues,n_models,scale,sample,contrast,estimable
en,Care / harm,care_harm,0.4973958333333333,0.4407959358407858,0.5517043557383009,6528,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Care / harm,care_harm,0.4276947285601888,0.37151978017639925,0.4830726549647826,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Care / harm,care_harm,0.44328531213777117,0.39105254522826505,0.4982815974518432,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
en,Fairness / cheating,fairness_cheating,0.6069240196078431,0.5614571427596873,0.647440496394485,6528,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Fairness / cheating,fairness_cheating,0.5697875688434304,0.5268212286728745,0.6095301471373071,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Fairness / cheating,fairness_cheating,0.5959595959595959,0.5548478018716811,0.6361388594975966,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
en,Liberty / oppression,liberty_oppression,0.4725796568627451,0.4280627178611094,0.5143269098011353,6528,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Liberty / oppression,liberty_oppression,0.43147128245476,0.3873112462686296,0.47781894473707703,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Liberty / oppression,liberty_oppression,0.4194403046862063,0.37863174939366634,0.46575744156509,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
en,Authority / subversion,authority_subversion,0.1401654411764706,0.11220408817598729,0.17197014131882934,6528,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Authority / subversion,authority_subversion,0.10967741935483871,0.08345144976566315,0.1344342697772891,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Authority / subversion,authority_subversion,0.11409173704255672,0.0900061671954396,0.1430533882758446,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
en,Loyalty / betrayal,loyalty_betrayal,0.08440563725490197,0.0642941743163046,0.10571997274169675,6528,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Loyalty / betrayal,loyalty_betrayal,0.06970889063729346,0.05209723098758417,0.09031011730630407,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Loyalty / betrayal,loyalty_betrayal,0.07550919026328863,0.0548898198656217,0.09530818166231637,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
en,Sanctity / degradation,sanctity_degradation,0.031096813725490197,0.0213077608687547,0.043634971951957764,6528,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Sanctity / degradation,sanctity_degradation,0.026593233674272226,0.017085063995839745,0.03786424243647305,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Sanctity / degradation,sanctity_degradation,0.02848153667825799,0.018939618088513247,0.040139992801046666,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
