model_f,n,genuine_refusal_n,genuine_refusal_rate,capability_failure_n,capability_failure_rate,original_nonengagement_n,original_nonengagement_rate
DeepSeek V3.1,12478,942,0.0754928674467062,1953,0.15651546722231127,1194,0.09568841160442379
Claude Opus 4.5,12480,726,0.058173076923076925,1748,0.14006410256410257,491,0.03934294871794872
GPT-5.1,12480,458,0.03669871794871795,1810,0.1450320512820513,360,0.028846153846153848
ALLaM 7B,12479,311,0.02492186873948233,9751,0.7813927398028688,5318,0.42615594198253065
Qwen3-Max,12479,296,0.023719849346902796,2426,0.19440660309319657,457,0.036621524160589794
Jais 8B,12479,220,0.01762961775783316,6128,0.49106498918182545,871,0.06979725939578492
Sarvam 30B,12401,216,0.01741795016530925,8172,0.6589791145875332,445,0.03588420288686396
Grok 4.3,12480,205,0.016426282051282052,2413,0.19334935897435898,180,0.014423076923076924
Falcon3 10B,12472,158,0.012668377164849262,5071,0.406590763309814,1948,0.15618986529826812
GPT-4o,12479,56,0.004487539065630259,1969,0.1577850789326068,211,0.01690840612228544
Mistral Large 2512,12479,3,2.4040387851590673e-4,1876,0.15033255869861367,0,0
