model_f,dimension_f,n,mean,sd,se
GPT-5.1,Economic L-R,764,-0.014397905759162303,0.2823827260649662,0.010216248477692797
GPT-5.1,Social L-R,764,-0.14136125654450263,0.4893799863362462,0.017705146522563
GPT-5.1,Libertarian-Authoritarian,764,-0.13743455497382198,0.42307210055073824,0.015306211408311806
GPT-5.1,Elitist-Populist,764,-0.12827225130890052,0.37870808770125064,0.013701177753974012
Claude Opus 4.5,Economic L-R,761,0.001314060446780552,0.2690105797654219,0.009751625898041787
Claude Opus 4.5,Social L-R,761,-0.06044678055190539,0.44900393869830957,0.016276380061896766
Claude Opus 4.5,Libertarian-Authoritarian,761,-0.07884362680683311,0.40273633530935266,0.014599180749358528
Claude Opus 4.5,Elitist-Populist,761,-0.08672798948751642,0.3369287615900579,0.012213658065722962
GPT-4o,Economic L-R,790,0,0.28480754180356177,0.010132997598908131
GPT-4o,Social L-R,790,-0.02911392405063291,0.4700543071216834,0.016723781734353203
GPT-4o,Libertarian-Authoritarian,790,-0.08607594936708861,0.42145687849977664,0.014994762817155654
GPT-4o,Elitist-Populist,790,-0.07468354430379746,0.3156132921352741,0.011229017009655002
Grok 4.3,Economic L-R,793,0.0201765447667087,0.33649480927850883,0.011949281039718629
Grok 4.3,Social L-R,793,-0.04287515762925599,0.5646826281246992,0.020052468078710133
Grok 4.3,Libertarian-Authoritarian,793,-0.07440100882723834,0.5007700389581744,0.017782865490889005
Grok 4.3,Elitist-Populist,793,-0.06431273644388398,0.45743030937074197,0.016243826567417817
DeepSeek V3.1,Economic L-R,748,-0.009358288770053475,0.29483390368339857,0.01078019517307119
DeepSeek V3.1,Social L-R,748,-0.10427807486631016,0.496124620200387,0.01814011268415445
DeepSeek V3.1,Libertarian-Authoritarian,748,-0.12566844919786097,0.43010407161159037,0.015726162353717835
DeepSeek V3.1,Elitist-Populist,748,-0.1163101604278075,0.39555938064743024,0.014463083358613635
Qwen3-Max,Economic L-R,793,-0.015132408575031526,0.2748241198289792,0.00975929064513959
Qwen3-Max,Social L-R,793,-0.11601513240857503,0.5497090688507688,0.019520741398251926
Qwen3-Max,Libertarian-Authoritarian,793,-0.1223203026481715,0.4397183020474184,0.015614854745422272
Qwen3-Max,Elitist-Populist,793,-0.13366960907944514,0.4231779442766308,0.015027489418972173
Mistral Large 2512,Economic L-R,800,-0.01375,0.2892499254956665,0.010226529188784472
Mistral Large 2512,Social L-R,800,-0.1325,0.5502929018689146,0.01945579212751664
Mistral Large 2512,Libertarian-Authoritarian,800,-0.15,0.43038533830078385,0.01521641956178753
Mistral Large 2512,Elitist-Populist,800,-0.14125,0.3987445096549588,0.014097747336896305
