model_f,language_f,dimension_f,n,mean,sd,se
GPT-5.1,English,Economic L-R,152,-0.03289473684210526,0.291553572324246,0.023648117419094873
GPT-5.1,English,Social L-R,152,-0.1513157894736842,0.4850052013246414,0.03933911650734746
GPT-5.1,English,Libertarian-Authoritarian,152,-0.13815789473684212,0.43137454884846177,0.03498909617691951
GPT-5.1,English,Elitist-Populist,152,-0.18421052631578946,0.38893729608487504,0.0315469804508223
GPT-5.1,Chinese,Economic L-R,154,-0.012987012987012988,0.2553227609292509,0.02057449439951525
GPT-5.1,Chinese,Social L-R,154,-0.15584415584415584,0.4868180013141784,0.03922891247599027
GPT-5.1,Chinese,Libertarian-Authoritarian,154,-0.13636363636363635,0.41331090733251113,0.03330554204107034
GPT-5.1,Chinese,Elitist-Populist,154,-0.16233766233766234,0.38722709927820675,0.031203648889131477
GPT-5.1,Japanese,Economic L-R,153,-0.006535947712418301,0.2923753001425926,0.023637142055089717
GPT-5.1,Japanese,Social L-R,153,-0.13725490196078433,0.5007733956671919,0.04048512950656976
GPT-5.1,Japanese,Libertarian-Authoritarian,153,-0.1437908496732026,0.4355622599401167,0.03521312165227131
GPT-5.1,Japanese,Elitist-Populist,153,-0.1111111111111111,0.38993176791040046,0.03152411501722377
GPT-5.1,Indonesian,Economic L-R,154,-0.006493506493506494,0.29141873488594744,0.023483190871832066
GPT-5.1,Indonesian,Social L-R,154,-0.14935064935064934,0.5457197386059537,0.04397534972906053
GPT-5.1,Indonesian,Libertarian-Authoritarian,154,-0.13636363636363635,0.458302948271701,0.03693110401978726
GPT-5.1,Indonesian,Elitist-Populist,154,-0.09740259740259741,0.39223643195820174,0.03160731241992975
GPT-5.1,Arabic,Economic L-R,151,-0.013245033112582781,0.28253035157040907,0.0229919939360557
GPT-5.1,Arabic,Social L-R,151,-0.11258278145695365,0.4249399386205993,0.03458112177203686
GPT-5.1,Arabic,Libertarian-Authoritarian,151,-0.13245033112582782,0.37727967855410594,0.03070258481362243
GPT-5.1,Arabic,Elitist-Populist,151,-0.08609271523178808,0.32537972383034564,0.026479026397128246
Claude Opus 4.5,English,Economic L-R,149,-0.020134228187919462,0.24576957615571277,0.020134228187919517
Claude Opus 4.5,English,Social L-R,149,-0.04697986577181208,0.4401408016391456,0.03605773942256273
Claude Opus 4.5,English,Libertarian-Authoritarian,149,-0.09395973154362416,0.40839636746926283,0.0334571340454844
Claude Opus 4.5,English,Elitist-Populist,149,-0.09395973154362416,0.31499210370185826,0.025805158606400612
