model_f,foundation_f,n,activation_rate,se
GPT-5.1,Care/Harm,764,0.5052356020942411,0.01808837339080035
GPT-5.1,Fairness/Cheating,764,0.6191099476439793,0.017568594822792338
GPT-5.1,Loyalty/Betrayal,764,0.09031413612565459,0.010369955907599827
GPT-5.1,Authority/Subversion,764,0.12958115183246077,0.012150338635437411
GPT-5.1,Sanctity/Degradation,764,0.08769633507853403,0.010233253967827741
GPT-5.1,Liberty/Oppression,764,0.568062827225131,0.01792098171972141
Claude Opus 4.5,Care/Harm,761,0.44809461235216813,0.01802705773066171
Claude Opus 4.5,Fairness/Cheating,761,0.5676741130091982,0.01795820137488123
Claude Opus 4.5,Loyalty/Betrayal,761,0.08409986859395534,0.0100607276115676
Claude Opus 4.5,Authority/Subversion,761,0.09461235216819965,0.010609596664045201
Claude Opus 4.5,Sanctity/Degradation,761,0.0538764783180026,0.008184293425373078
Claude Opus 4.5,Liberty/Oppression,761,0.46517739816031545,0.018080975198467995
GPT-4o,Care/Harm,790,0.4215189873417722,0.017568698094173815
GPT-4o,Fairness/Cheating,790,0.5,0.0177892016741205
GPT-4o,Loyalty/Betrayal,790,0.10886075949367097,0.011081407312269519
GPT-4o,Authority/Subversion,790,0.09367088607594937,0.010366490023860772
GPT-4o,Sanctity/Degradation,790,0.02911392405063288,0.005981649520287275
GPT-4o,Liberty/Oppression,790,0.4164556962025315,0.01753911900068668
Grok 4.3,Care/Harm,793,0.3770491803278685,0.017210333560494822
Grok 4.3,Fairness/Cheating,793,0.5044136191677175,0.01775482883593914
Grok 4.3,Loyalty/Betrayal,793,0.10970996216897899,0.01109819102818943
Grok 4.3,Authority/Subversion,793,0.13366960907944525,0.012084300607409245
Grok 4.3,Sanctity/Degradation,793,0.0832282471626734,0.009809105199417724
Grok 4.3,Liberty/Oppression,793,0.4640605296343001,0.017709593529735234
DeepSeek V3.1,Care/Harm,748,0.5026737967914439,0.018281549201060603
DeepSeek V3.1,Fairness/Cheating,748,0.5735294117647057,0.018083046156446417
DeepSeek V3.1,Loyalty/Betrayal,748,0.10695187165775392,0.01130006204177382
DeepSeek V3.1,Authority/Subversion,748,0.11898395721925129,0.011838190212963878
DeepSeek V3.1,Sanctity/Degradation,748,0.06417112299465244,0.008960190473787242
DeepSeek V3.1,Liberty/Oppression,748,0.5280748663101607,0.01825296847448574
Qwen3-Max,Care/Harm,793,0.5182849936948298,0.017743643836660064
Qwen3-Max,Fairness/Cheating,793,0.6179066834804542,0.01725478583721985
Qwen3-Max,Loyalty/Betrayal,793,0.12105926860025233,0.011583564588799104
Qwen3-Max,Authority/Subversion,793,0.13366960907944522,0.012084300607409244
Qwen3-Max,Sanctity/Degradation,793,0.07944514501891545,0.009603331569859203
Qwen3-Max,Liberty/Oppression,793,0.5548549810844895,0.017648341949928738
Mistral Large 2512,Care/Harm,800,0.5687500000000002,0.017509762901735705
Mistral Large 2512,Fairness/Cheating,800,0.65875,0.016762996357304383
Mistral Large 2512,Loyalty/Betrayal,800,0.11249999999999989,0.011171601832324669
Mistral Large 2512,Authority/Subversion,800,0.11124999999999995,0.011117184754918843
Mistral Large 2512,Sanctity/Degradation,800,0.06874999999999996,0.00894590950518727
Mistral Large 2512,Liberty/Oppression,800,0.6074999999999996,0.01726426040987566
