model_f,language_f,foundation_f,n,activation_rate,se
GPT-5.1,English,Care/Harm,152,0.5394736842105263,0.04042877332053182
GPT-5.1,English,Fairness/Cheating,152,0.6447368421052632,0.038819017190557054
GPT-5.1,English,Loyalty/Betrayal,152,0.11842105263157895,0.02620735971927188
GPT-5.1,English,Authority/Subversion,152,0.13157894736842105,0.027418051100871404
GPT-5.1,English,Sanctity/Degradation,152,0.07894736842105261,0.02187203836198581
GPT-5.1,English,Liberty/Oppression,152,0.5723684210526315,0.040128314884743645
GPT-5.1,Chinese,Care/Harm,154,0.45454545454545453,0.040124310432034065
GPT-5.1,Chinese,Fairness/Cheating,154,0.5844155844155845,0.03971276816397082
GPT-5.1,Chinese,Loyalty/Betrayal,154,0.07142857142857138,0.02075311439814201
GPT-5.1,Chinese,Authority/Subversion,154,0.10389610389610388,0.024587731009130604
GPT-5.1,Chinese,Sanctity/Degradation,154,0.08441558441558442,0.022402689066815484
GPT-5.1,Chinese,Liberty/Oppression,154,0.5844155844155845,0.03971276816397082
GPT-5.1,Japanese,Care/Harm,153,0.49673202614379086,0.04042174076471923
GPT-5.1,Japanese,Fairness/Cheating,153,0.5555555555555557,0.040172307003454845
GPT-5.1,Japanese,Loyalty/Betrayal,153,0.07843137254901962,0.0217351695887775
GPT-5.1,Japanese,Authority/Subversion,153,0.13725490196078435,0.027820149965590995
GPT-5.1,Japanese,Sanctity/Degradation,153,0.0980392156862745,0.02404075078948632
GPT-5.1,Japanese,Liberty/Oppression,153,0.5490196078431374,0.04022787038686145
GPT-5.1,Indonesian,Care/Harm,154,0.5259740259740259,0.040236746626143835
GPT-5.1,Indonesian,Fairness/Cheating,154,0.6493506493506491,0.03845172243271378
GPT-5.1,Indonesian,Loyalty/Betrayal,154,0.09090909090909094,0.023165781428982984
GPT-5.1,Indonesian,Authority/Subversion,154,0.13636363636363644,0.027653772556958
GPT-5.1,Indonesian,Sanctity/Degradation,154,0.10389610389610388,0.024587731009130604
GPT-5.1,Indonesian,Liberty/Oppression,154,0.5779220779220781,0.03979885707524138
GPT-5.1,Arabic,Care/Harm,151,0.509933774834437,0.0406813916910112
GPT-5.1,Arabic,Fairness/Cheating,151,0.6622516556291391,0.03848749691581741
GPT-5.1,Arabic,Loyalty/Betrayal,151,0.09271523178807944,0.023602547508502977
GPT-5.1,Arabic,Authority/Subversion,151,0.13907284768211917,0.028158914074451674
GPT-5.1,Arabic,Sanctity/Degradation,151,0.0728476821192053,0.021149248468645562
GPT-5.1,Arabic,Liberty/Oppression,151,0.5562913907284767,0.040430733779793594
Claude Opus 4.5,English,Care/Harm,149,0.4362416107382549,0.04062720249465783
Claude Opus 4.5,English,Fairness/Cheating,149,0.5167785234899329,0.040938526606790385
Claude Opus 4.5,English,Loyalty/Betrayal,149,0.08724832214765102,0.023118610480247024
Claude Opus 4.5,English,Authority/Subversion,149,0.10738255033557048,0.02536333799446498
Claude Opus 4.5,English,Sanctity/Degradation,149,0.04026845637583896,0.01610513024206052
Claude Opus 4.5,English,Liberty/Oppression,149,0.44966442953020136,0.040753501133861496
Claude Opus 4.5,Chinese,Care/Harm,155,0.367741935483871,0.03873048348235638
Claude Opus 4.5,Chinese,Fairness/Cheating,155,0.567741935483871,0.0397906643433258
Claude Opus 4.5,Chinese,Loyalty/Betrayal,155,0.08387096774193543,0.022264774509259507
Claude Opus 4.5,Chinese,Authority/Subversion,155,0.08387096774193542,0.022264774509259507
Claude Opus 4.5,Chinese,Sanctity/Degradation,155,0.0709677419354839,0.02062433913546314
Claude Opus 4.5,Chinese,Liberty/Oppression,155,0.47096774193548396,0.04009320817647019
Claude Opus 4.5,Japanese,Care/Harm,150,0.4666666666666666,0.04073400617738525
Claude Opus 4.5,Japanese,Fairness/Cheating,150,0.5066666666666666,0.04082120001139568
Claude Opus 4.5,Japanese,Loyalty/Betrayal,150,0.06666666666666667,0.02036700308869262
Claude Opus 4.5,Japanese,Authority/Subversion,150,0.09333333333333335,0.02375180305046647
Claude Opus 4.5,Japanese,Sanctity/Degradation,150,0.06666666666666668,0.020367003088692624
Claude Opus 4.5,Japanese,Liberty/Oppression,150,0.4466666666666667,0.04059191672862596
Claude Opus 4.5,Indonesian,Care/Harm,151,0.49006622516556286,0.0406813916910112
Claude Opus 4.5,Indonesian,Fairness/Cheating,151,0.5761589403973509,0.04021464065688765
Claude Opus 4.5,Indonesian,Loyalty/Betrayal,151,0.10596026490066218,0.02504733097872716
Claude Opus 4.5,Indonesian,Authority/Subversion,151,0.09271523178807944,0.023602547508502977
Claude Opus 4.5,Indonesian,Sanctity/Degradation,151,0.03973509933774836,0.01589623247012186
