model_f,language_f,dominant_foundation,n,prop
GPT-5.1,English,authority_subversion,1,0.0078125
GPT-5.1,English,care_harm,30,0.234375
GPT-5.1,English,fairness_cheating,67,0.5234375
GPT-5.1,English,liberty_oppression,16,0.125
GPT-5.1,English,loyalty_betrayal,11,0.0859375
GPT-5.1,English,sanctity_degradation,3,0.0234375
GPT-5.1,Chinese,authority_subversion,3,0.024793388429752067
GPT-5.1,Chinese,care_harm,26,0.21487603305785125
GPT-5.1,Chinese,fairness_cheating,69,0.5702479338842975
GPT-5.1,Chinese,liberty_oppression,13,0.10743801652892562
GPT-5.1,Chinese,loyalty_betrayal,8,0.06611570247933884
GPT-5.1,Chinese,sanctity_degradation,2,0.01652892561983471
GPT-5.1,Japanese,authority_subversion,5,0.04132231404958678
GPT-5.1,Japanese,care_harm,28,0.23140495867768596
GPT-5.1,Japanese,fairness_cheating,66,0.5454545454545454
GPT-5.1,Japanese,liberty_oppression,14,0.11570247933884298
GPT-5.1,Japanese,loyalty_betrayal,7,0.05785123966942149
GPT-5.1,Japanese,sanctity_degradation,1,0.008264462809917356
GPT-5.1,Indonesian,authority_subversion,3,0.022556390977443608
GPT-5.1,Indonesian,care_harm,30,0.22556390977443608
GPT-5.1,Indonesian,fairness_cheating,79,0.5939849624060151
GPT-5.1,Indonesian,liberty_oppression,10,0.07518796992481203
GPT-5.1,Indonesian,loyalty_betrayal,6,0.045112781954887216
GPT-5.1,Indonesian,sanctity_degradation,5,0.03759398496240601
GPT-5.1,Arabic,authority_subversion,3,0.023255813953488372
GPT-5.1,Arabic,care_harm,22,0.17054263565891473
GPT-5.1,Arabic,fairness_cheating,84,0.6511627906976745
GPT-5.1,Arabic,liberty_oppression,10,0.07751937984496124
GPT-5.1,Arabic,loyalty_betrayal,7,0.05426356589147287
GPT-5.1,Arabic,sanctity_degradation,3,0.023255813953488372
Claude Opus 4.5,English,authority_subversion,2,0.015267175572519083
Claude Opus 4.5,English,care_harm,34,0.2595419847328244
Claude Opus 4.5,English,fairness_cheating,66,0.5038167938931297
Claude Opus 4.5,English,liberty_oppression,17,0.1297709923664122
Claude Opus 4.5,English,loyalty_betrayal,11,0.08396946564885496
Claude Opus 4.5,English,sanctity_degradation,1,0.007633587786259542
Claude Opus 4.5,Chinese,authority_subversion,4,0.031496062992125984
Claude Opus 4.5,Chinese,care_harm,30,0.23622047244094488
Claude Opus 4.5,Chinese,fairness_cheating,72,0.5669291338582677
Claude Opus 4.5,Chinese,liberty_oppression,14,0.11023622047244094
