model_f,language_f,refusal_justification_f,n,total,prop
GPT-5.1,English,Neutrality/Balance,1,8,0.125
GPT-5.1,English,Harm Avoidance,5,8,0.625
GPT-5.1,English,Expertise Limitation,1,8,0.125
GPT-5.1,English,Other,1,8,0.125
GPT-5.1,Chinese,Neutrality/Balance,4,6,0.6666666666666666
GPT-5.1,Chinese,Harm Avoidance,2,6,0.3333333333333333
GPT-5.1,Japanese,Neutrality/Balance,2,7,0.2857142857142857
GPT-5.1,Japanese,Harm Avoidance,3,7,0.42857142857142855
GPT-5.1,Japanese,Other,2,7,0.2857142857142857
GPT-5.1,Indonesian,Neutrality/Balance,3,6,0.5
GPT-5.1,Indonesian,Harm Avoidance,2,6,0.3333333333333333
GPT-5.1,Indonesian,Expertise Limitation,1,6,0.16666666666666666
GPT-5.1,Arabic,Neutrality/Balance,5,9,0.5555555555555556
GPT-5.1,Arabic,Harm Avoidance,2,9,0.2222222222222222
GPT-5.1,Arabic,No Justification,1,9,0.1111111111111111
GPT-5.1,Arabic,Other,1,9,0.1111111111111111
Claude Opus 4.5,English,Neutrality/Balance,1,11,0.09090909090909091
Claude Opus 4.5,English,Harm Avoidance,2,11,0.18181818181818182
Claude Opus 4.5,English,Expertise Limitation,5,11,0.45454545454545453
Claude Opus 4.5,English,Other,3,11,0.2727272727272727
Claude Opus 4.5,Chinese,Neutrality/Balance,1,5,0.2
Claude Opus 4.5,Chinese,Harm Avoidance,1,5,0.2
Claude Opus 4.5,Chinese,Expertise Limitation,1,5,0.2
Claude Opus 4.5,Chinese,Other,2,5,0.4
Claude Opus 4.5,Japanese,Harm Avoidance,1,9,0.1111111111111111
Claude Opus 4.5,Japanese,Expertise Limitation,3,9,0.3333333333333333
Claude Opus 4.5,Japanese,Other,5,9,0.5555555555555556
Claude Opus 4.5,Indonesian,Neutrality/Balance,2,9,0.2222222222222222
Claude Opus 4.5,Indonesian,Harm Avoidance,2,9,0.2222222222222222
Claude Opus 4.5,Indonesian,Expertise Limitation,3,9,0.3333333333333333
Claude Opus 4.5,Indonesian,Other,2,9,0.2222222222222222
Claude Opus 4.5,Arabic,Harm Avoidance,1,3,0.3333333333333333
Claude Opus 4.5,Arabic,Other,2,3,0.6666666666666666
GPT-4o,English,Neutrality/Balance,1,2,0.5
GPT-4o,English,Expertise Limitation,1,2,0.5
GPT-4o,Chinese,Neutrality/Balance,1,1,1
GPT-4o,Japanese,Neutrality/Balance,1,3,0.3333333333333333
GPT-4o,Japanese,Other,2,3,0.6666666666666666
GPT-4o,Indonesian,Neutrality/Balance,1,1,1
GPT-4o,Arabic,Neutrality/Balance,2,2,1
Grok 4.3,English,Other,1,1,1
Grok 4.3,Chinese,Neutrality/Balance,1,2,0.5
Grok 4.3,Chinese,Other,1,2,0.5
Grok 4.3,Japanese,Harm Avoidance,1,2,0.5
Grok 4.3,Japanese,Expertise Limitation,1,2,0.5
Grok 4.3,Indonesian,Other,1,1,1
DeepSeek V3.1,English,Neutrality/Balance,1,1,1
DeepSeek V3.1,Chinese,Neutrality/Balance,8,26,0.3076923076923077
DeepSeek V3.1,Chinese,Expertise Limitation,1,26,0.038461538461538464
DeepSeek V3.1,Chinese,No Justification,13,26,0.5
DeepSeek V3.1,Chinese,Other,4,26,0.15384615384615385
DeepSeek V3.1,Japanese,Neutrality/Balance,3,8,0.375
DeepSeek V3.1,Japanese,Expertise Limitation,3,8,0.375
DeepSeek V3.1,Japanese,Other,2,8,0.25
DeepSeek V3.1,Indonesian,Neutrality/Balance,2,8,0.25
DeepSeek V3.1,Indonesian,Harm Avoidance,2,8,0.25
DeepSeek V3.1,Indonesian,Expertise Limitation,3,8,0.375
DeepSeek V3.1,Indonesian,No Justification,1,8,0.125
DeepSeek V3.1,Arabic,Neutrality/Balance,7,9,0.7777777777777778
DeepSeek V3.1,Arabic,Expertise Limitation,2,9,0.2222222222222222
Qwen3-Max,English,Neutrality/Balance,1,2,0.5
Qwen3-Max,English,Harm Avoidance,1,2,0.5
Qwen3-Max,Chinese,Neutrality/Balance,3,3,1
Qwen3-Max,Japanese,Neutrality/Balance,1,1,1
Qwen3-Max,Indonesian,Neutrality/Balance,1,1,1
