model_f,prompt_category,dimension_f,n,mean_score,sd_score,se_score
GPT-5.1,civil_rights_liberties,Economic L-R,158,-0.02531645569620253,0.1575839514852381,0.012536706047327602
GPT-5.1,economic_policy,Economic L-R,20,-0.5,1.1470786693528088,0.2564945880212885
GPT-5.1,environment_energy,Economic L-R,20,0.1,0.6407232755171874,0.14327007988227577
GPT-5.1,governance_democracy,Economic L-R,114,0,0,0
GPT-5.1,migration_nationalism,Economic L-R,78,0.05128205128205128,0.27433205291776463,0.03106198832485248
GPT-5.1,religion_state,Economic L-R,20,0,0,0
GPT-5.1,security_conflict,Economic L-R,245,-0.024489795918367346,0.17940088391518136,0.011461502047368403
GPT-5.1,social_moral,Economic L-R,39,0,0.22941573387056177,0.03673591791853225
GPT-5.1,territorial_sovereignty,Economic L-R,70,0.04285714285714286,0.203997320649802,0.02438234338682052
GPT-5.1,civil_rights_liberties,Social L-R,158,-0.2468354430379747,0.5720307868954015,0.04550832592874114
GPT-5.1,economic_policy,Social L-R,20,0,0.3244428422615251,0.07254762501100116
GPT-5.1,environment_energy,Social L-R,20,0,0,0
GPT-5.1,governance_democracy,Social L-R,114,-0.14912280701754385,0.46529952557657445,0.043579293379071314
GPT-5.1,migration_nationalism,Social L-R,78,-0.3076923076923077,0.7262730392025628,0.08223422828074595
GPT-5.1,religion_state,Social L-R,20,-0.3,0.4701623459816272,0.10513149660756935
GPT-5.1,security_conflict,Social L-R,245,-0.061224489795918366,0.33924719367178846,0.021673708177890154
GPT-5.1,social_moral,Social L-R,39,-0.10256410256410256,0.7179969137476478,0.11497152023616124
GPT-5.1,territorial_sovereignty,Social L-R,70,-0.04285714285714286,0.26570738431341145,0.031758106744279806
GPT-5.1,civil_rights_liberties,Authoritarian-Libertarian,158,-0.2088607594936709,0.49266980283828893,0.03919470503414215
GPT-5.1,economic_policy,Authoritarian-Libertarian,20,-0.1,0.7880689256524122,0.17621756887140214
GPT-5.1,environment_energy,Authoritarian-Libertarian,20,-0.4,0.5026246899500346,0.11239029738980327
GPT-5.1,governance_democracy,Authoritarian-Libertarian,114,-0.23684210526315788,0.42702161722129434,0.039994238792813344
GPT-5.1,migration_nationalism,Authoritarian-Libertarian,78,-0.19230769230769232,0.4281549758167983,0.048479004617209547
GPT-5.1,religion_state,Authoritarian-Libertarian,20,-0.05,0.5104177855340405,0.11413288653790232
GPT-5.1,security_conflict,Authoritarian-Libertarian,245,-0.07755102040816327,0.3105160340904056,0.019838141723708257
GPT-5.1,social_moral,Authoritarian-Libertarian,39,-0.05128205128205128,0.5103516820842348,0.08172167264346927
GPT-5.1,territorial_sovereignty,Authoritarian-Libertarian,70,0.02857142857142857,0.1678015193509294,0.02005611766180097
GPT-5.1,civil_rights_liberties,Populist-Elitist,158,-0.22784810126582278,0.43565214571540367,0.034658623789067595
GPT-5.1,economic_policy,Populist-Elitist,20,-0.25,0.7863975156570492,0.1758438302346117
GPT-5.1,environment_energy,Populist-Elitist,20,-0.15,0.36634754853252327,0.08191780219091253
GPT-5.1,governance_democracy,Populist-Elitist,114,-0.11403508771929824,0.3192572111942807,0.029901177424970365
GPT-5.1,migration_nationalism,Populist-Elitist,78,-0.23076923076923078,0.5326502452043776,0.06031076398764044
GPT-5.1,religion_state,Populist-Elitist,20,0,0,0
GPT-5.1,security_conflict,Populist-Elitist,245,-0.08571428571428572,0.2805147493273102,0.017921429948205114
GPT-5.1,social_moral,Populist-Elitist,39,-0.05128205128205128,0.2234558650309589,0.03578157512432618
GPT-5.1,territorial_sovereignty,Populist-Elitist,70,0,0.29488391230979427,0.035245368842512066
Claude Opus 4.5,civil_rights_liberties,Economic L-R,158,0,0,0
Claude Opus 4.5,economic_policy,Economic L-R,20,-0.2,1.2814465510343749,0.28654015976455155
Claude Opus 4.5,environment_energy,Economic L-R,20,0.1,0.6407232755171874,0.14327007988227577
Claude Opus 4.5,governance_democracy,Economic L-R,110,0.00909090909090909,0.09534625892455918,0.009090909090909087
Claude Opus 4.5,migration_nationalism,Economic L-R,78,0.038461538461538464,0.25186616175374466,0.0285182270631913
Claude Opus 4.5,religion_state,Economic L-R,20,0,0,0
Claude Opus 4.5,security_conflict,Economic L-R,239,-0.02092050209205021,0.14341860763120268,0.009276978527848527
Claude Opus 4.5,social_moral,Economic L-R,39,0.05128205128205128,0.22345586503095896,0.035781575124326184
Claude Opus 4.5,territorial_sovereignty,Economic L-R,77,0.025974025974025976,0.16010078848765158,0.01824517814769534
Claude Opus 4.5,civil_rights_liberties,Social L-R,158,-0.15822784810126583,0.49868811205491387,0.03967349600771294
Claude Opus 4.5,economic_policy,Social L-R,20,0,0,0
Claude Opus 4.5,environment_energy,Social L-R,20,-0.05,0.22360679774997894,0.04999999999999999
Claude Opus 4.5,governance_democracy,Social L-R,110,-0.05454545454545454,0.44590622366171345,0.04251549025732215
Claude Opus 4.5,migration_nationalism,Social L-R,78,-0.11538461538461539,0.7021445670280394,0.07950221678952497
Claude Opus 4.5,religion_state,Social L-R,20,-0.3,0.5712405705774795,0.12773327473170104
Claude Opus 4.5,security_conflict,Social L-R,239,0.012552301255230125,0.2967778156010271,0.01919696103836335
Claude Opus 4.5,social_moral,Social L-R,39,0.02564102564102564,0.6683514473837645,0.10702188336252004
Claude Opus 4.5,territorial_sovereignty,Social L-R,77,-0.03896103896103896,0.2534788707875836,0.028886598235291105
Claude Opus 4.5,civil_rights_liberties,Authoritarian-Libertarian,158,-0.16455696202531644,0.4634509090964269,0.03687017465895265
Claude Opus 4.5,economic_policy,Authoritarian-Libertarian,20,0,0.7254762501100116,0.16222142113076252
Claude Opus 4.5,environment_energy,Authoritarian-Libertarian,20,-0.25,0.5501196042201808,0.12301048307916045
Claude Opus 4.5,governance_democracy,Authoritarian-Libertarian,110,-0.19090909090909092,0.3948162862859096,0.03764425585984924
Claude Opus 4.5,migration_nationalism,Authoritarian-Libertarian,78,-0.14102564102564102,0.41792185233446993,0.047320331546548924
Claude Opus 4.5,religion_state,Authoritarian-Libertarian,20,0.2,0.6958523739384593,0.1555973210430998
Claude Opus 4.5,security_conflict,Authoritarian-Libertarian,239,-0.029288702928870293,0.23186292567034383,0.014997965873292595
Claude Opus 4.5,social_moral,Authoritarian-Libertarian,39,0.1282051282051282,0.5702948073947635,0.09132025463275123
Claude Opus 4.5,territorial_sovereignty,Authoritarian-Libertarian,77,0.012987012987012988,0.11396057645963795,0.012987012987012986
Claude Opus 4.5,civil_rights_liberties,Populist-Elitist,158,-0.1518987341772152,0.3773392464048346,0.030019498608274683
Claude Opus 4.5,economic_policy,Populist-Elitist,20,0.1,0.6407232755171874,0.14327007988227577
Claude Opus 4.5,environment_energy,Populist-Elitist,20,-0.15,0.4893604849295929,0.1094243309804831
Claude Opus 4.5,governance_democracy,Populist-Elitist,110,-0.07272727272727272,0.2939478487444408,0.028026827696704625
Claude Opus 4.5,migration_nationalism,Populist-Elitist,78,-0.1794871794871795,0.47655663578028906,0.053959413416323196
Claude Opus 4.5,religion_state,Populist-Elitist,20,-0.1,0.30779350562554625,0.06882472016116853
Claude Opus 4.5,security_conflict,Populist-Elitist,239,-0.06694560669456066,0.2504522824180948,0.01620041140141305
Claude Opus 4.5,social_moral,Populist-Elitist,39,-0.02564102564102564,0.1601281538050872,0.02564102564102565
Claude Opus 4.5,territorial_sovereignty,Populist-Elitist,77,0,0.22941573387056177,0.026144349280800106
GPT-4o,civil_rights_liberties,Economic L-R,159,-0.006289308176100629,0.07930515857181435,0.006289308176100624
GPT-4o,economic_policy,Economic L-R,19,-0.3684210526315789,1.3000224919331833,0.2982456140350877
GPT-4o,environment_energy,Economic L-R,20,0,0.7254762501100116,0.16222142113076252
GPT-4o,governance_democracy,Economic L-R,117,0,0,0
GPT-4o,migration_nationalism,Economic L-R,80,0.05,0.27095704736911236,0.030293918844998286
GPT-4o,religion_state,Economic L-R,20,0,0,0
GPT-4o,security_conflict,Economic L-R,255,-0.0196078431372549,0.13892105026222457,0.008699573621726601
GPT-4o,social_moral,Economic L-R,40,0.1,0.30382181012509984,0.048038446141526116
GPT-4o,territorial_sovereignty,Economic L-R,80,0.0625,0.2435886759231116,0.02723404189566219
GPT-4o,civil_rights_liberties,Social L-R,159,-0.14465408805031446,0.560701165781855,0.044466494863731214
GPT-4o,economic_policy,Social L-R,19,0,0,0
GPT-4o,environment_energy,Social L-R,20,0,0,0
GPT-4o,governance_democracy,Social L-R,117,0,0.3939192985791677,0.03641785203646149
GPT-4o,migration_nationalism,Social L-R,80,-0.0625,0.6432463157957534,0.07191712441978007
GPT-4o,religion_state,Social L-R,20,-0.05,0.5104177855340405,0.11413288653790232
GPT-4o,security_conflict,Social L-R,255,0,0.39683789506627254,0.024850952951359948
GPT-4o,social_moral,Social L-R,40,0.075,0.6558416006386033,0.10369766211542635
GPT-4o,territorial_sovereignty,Social L-R,80,0.0375,0.3354101966249683,0.03749999999999998
GPT-4o,civil_rights_liberties,Authoritarian-Libertarian,159,-0.1509433962264151,0.4526808925132808,0.03589992996319621
GPT-4o,economic_policy,Authoritarian-Libertarian,19,-0.05263157894736842,0.7050361858740393,0.1617463939875945
GPT-4o,environment_energy,Authoritarian-Libertarian,20,-0.4,0.5982430416161189,0.13377121081198773
GPT-4o,governance_democracy,Authoritarian-Libertarian,117,-0.19658119658119658,0.4402059909530647,0.04069705826019773
GPT-4o,migration_nationalism,Authoritarian-Libertarian,80,-0.1375,0.4131922652969994,0.04619629964906089
GPT-4o,religion_state,Authoritarian-Libertarian,20,0.25,0.4442616583193193,0.09933992677987828
GPT-4o,security_conflict,Authoritarian-Libertarian,255,-0.03529411764705882,0.32411206954798727,0.0202966850984829
GPT-4o,social_moral,Authoritarian-Libertarian,40,0.05,0.6385078759829886,0.10095695960312835
GPT-4o,territorial_sovereignty,Authoritarian-Libertarian,80,0.0125,0.11180339887498945,0.012499999999999995
GPT-4o,civil_rights_liberties,Populist-Elitist,159,-0.15723270440251572,0.3651701735253214,0.028959878517122596
GPT-4o,economic_policy,Populist-Elitist,19,-0.21052631578947367,0.6306035352846115,0.14467037282868983
GPT-4o,environment_energy,Populist-Elitist,20,-0.15,0.5871429486123998,0.13128915456069917
GPT-4o,governance_democracy,Populist-Elitist,117,-0.05128205128205128,0.22152114580133273,0.02047963717400614
GPT-4o,migration_nationalism,Populist-Elitist,80,-0.0875,0.4267554957637418,0.04771271491496751
GPT-4o,religion_state,Populist-Elitist,20,0,0,0
GPT-4o,security_conflict,Populist-Elitist,255,-0.050980392156862744,0.2536136849399536,0.015881905006101493
GPT-4o,social_moral,Populist-Elitist,40,-0.05,0.2207214278631521,0.034899122022605616
GPT-4o,territorial_sovereignty,Populist-Elitist,80,0.0125,0.1944645358316074,0.021741796066620883
Grok 4.3,civil_rights_liberties,Economic L-R,160,-0.01875,0.13606671504595183,0.010757018332057753
