model_f,dimension_f,n_categories,category_mean_sd,overall_mean
Claude Opus 4.5,Economic L-R,9,0.08314326577516537,0.001314060446780552
Grok 4.3,Economic L-R,9,0.10921835581599645,0.0201765447667087
GPT-4o,Economic L-R,9,0.1364236276528896,0
Mistral Large 2512,Economic L-R,9,0.15301760060422642,-0.01375
DeepSeek V3.1,Economic L-R,9,0.15587284823712766,-0.009358288770053475
GPT-5.1,Economic L-R,9,0.17735973537885077,-0.014397905759162303
Qwen3-Max,Economic L-R,9,0.18646136237494365,-0.015132408575031526
GPT-4o,Social L-R,9,0.06328242927075074,-0.02911392405063291
Mistral Large 2512,Social L-R,9,0.09798640247802687,-0.1325
DeepSeek V3.1,Social L-R,9,0.10153442921976893,-0.10427807486631016
Claude Opus 4.5,Social L-R,9,0.1030426466404054,-0.06044678055190539
Qwen3-Max,Social L-R,9,0.12180276179409935,-0.11601513240857503
GPT-5.1,Social L-R,9,0.12307874221747214,-0.14136125654450263
Grok 4.3,Social L-R,9,0.16584878166620395,-0.04287515762925599
DeepSeek V3.1,Authoritarian-Libertarian,9,0.12905243404864303,-0.12566844919786097
GPT-5.1,Authoritarian-Libertarian,9,0.12954466179570417,-0.13743455497382198
Qwen3-Max,Authoritarian-Libertarian,9,0.14187438631547558,-0.1223203026481715
Mistral Large 2512,Authoritarian-Libertarian,9,0.14219733286911357,-0.15
Claude Opus 4.5,Authoritarian-Libertarian,9,0.15099310199698446,-0.07884362680683311
GPT-4o,Authoritarian-Libertarian,9,0.1806378519933098,-0.08607594936708861
Grok 4.3,Authoritarian-Libertarian,9,0.19288222146752987,-0.07440100882723834
GPT-4o,Populist-Elitist,9,0.0753423886524131,-0.07468354430379746
Claude Opus 4.5,Populist-Elitist,9,0.08785523886485318,-0.08672798948751642
GPT-5.1,Populist-Elitist,9,0.09768355171428111,-0.12827225130890052
DeepSeek V3.1,Populist-Elitist,9,0.1013891194004833,-0.1163101604278075
Qwen3-Max,Populist-Elitist,9,0.10509007565475102,-0.13366960907944514
Grok 4.3,Populist-Elitist,9,0.10999770314584398,-0.06431273644388398
Mistral Large 2512,Populist-Elitist,9,0.12085025872944308,-0.14125
