model_f,dataset_type_f,dimension_f,n,mean_score,sd_score,se_score
GPT-5.1,Regular Prompts,Economic L-R,396,-0.012626262626262626,0.13252053757115864,0.00665940757787468
GPT-5.1,Boundary Prompts,Economic L-R,368,-0.016304347826086956,0.38323936186462937,0.019977732745702612
GPT-5.1,Regular Prompts,Social L-R,396,-0.1388888888888889,0.38766131345825683,0.01948071397693015
GPT-5.1,Boundary Prompts,Social L-R,368,-0.14402173913043478,0.5797839676270822,0.030223328572361763
GPT-5.1,Regular Prompts,Authoritarian-Libertarian,396,-0.11616161616161616,0.34368283014742107,0.017270712037673348
GPT-5.1,Boundary Prompts,Authoritarian-Libertarian,368,-0.16032608695652173,0.4939435948050653,0.02574858981200584
GPT-5.1,Regular Prompts,Populist-Elitist,396,-0.12373737373737374,0.3296982459529881,0.016567960240369276
GPT-5.1,Boundary Prompts,Populist-Elitist,368,-0.1331521739130435,0.4255963710582266,0.022185744484005877
Claude Opus 4.5,Regular Prompts,Economic L-R,378,-0.0026455026455026454,0.05143444998736396,0.002645502645502645
Claude Opus 4.5,Boundary Prompts,Economic L-R,383,0.005221932114882507,0.37594403384783925,0.01920984276277968
Claude Opus 4.5,Regular Prompts,Social L-R,378,-0.042328042328042326,0.20160333011353804,0.0103693564000108
Claude Opus 4.5,Boundary Prompts,Social L-R,383,-0.0783289817232376,0.6002838127799275,0.030673069974057682
Claude Opus 4.5,Regular Prompts,Authoritarian-Libertarian,378,-0.03968253968253968,0.23264573256919713,0.011966005296604023
Claude Opus 4.5,Boundary Prompts,Authoritarian-Libertarian,383,-0.1174934725848564,0.5160076142282939,0.026366757392762844
Claude Opus 4.5,Regular Prompts,Populist-Elitist,378,-0.04497354497354497,0.20752073007215666,0.0106737146122376
Claude Opus 4.5,Boundary Prompts,Populist-Elitist,383,-0.1279373368146214,0.4241748086748599,0.021674320231064484
GPT-4o,Regular Prompts,Economic L-R,390,-0.010256410256410256,0.12376873656786315,0.00626727359682414
GPT-4o,Boundary Prompts,Economic L-R,400,0.01,0.38113404189961614,0.019056702094980806
GPT-4o,Regular Prompts,Social L-R,390,-0.03076923076923077,0.26651501851106424,0.013495512558259346
GPT-4o,Boundary Prompts,Social L-R,400,-0.0275,0.6063521314122418,0.03031760657061209
GPT-4o,Regular Prompts,Authoritarian-Libertarian,390,-0.04871794871794872,0.2487726115821779,0.012597090860074284
GPT-4o,Boundary Prompts,Authoritarian-Libertarian,400,-0.1225,0.5368559264032436,0.026842796320162184
GPT-4o,Regular Prompts,Populist-Elitist,390,-0.03076923076923077,0.17291370591567962,0.008755825854456832
GPT-4o,Boundary Prompts,Populist-Elitist,400,-0.1175,0.4050975314971248,0.02025487657485624
Grok 4.3,Regular Prompts,Economic L-R,398,0.02512562814070352,0.18609566429257784,0.009328132770073558
Grok 4.3,Boundary Prompts,Economic L-R,395,0.015189873417721518,0.4389328913922068,0.02208511057772146
Grok 4.3,Regular Prompts,Social L-R,398,-0.07537688442211055,0.41912315049751847,0.021008745204862376
