model_f,dimension_f,Regular Prompts,Boundary Prompts,shift,shift_direction
GPT-4o,Populist-Elitist,-0.03076923076923077,-0.1175,-0.08673076923076922,No shift
Claude Opus 4.5,Populist-Elitist,-0.04497354497354497,-0.1279373368146214,-0.08296379184107644,No shift
Claude Opus 4.5,Authoritarian-Libertarian,-0.03968253968253968,-0.1174934725848564,-0.07781093290231672,No shift
Mistral Large 2512,Authoritarian-Libertarian,-0.1125,-0.1875,-0.075,No shift
GPT-4o,Authoritarian-Libertarian,-0.04871794871794872,-0.1225,-0.07378205128205129,No shift
Mistral Large 2512,Populist-Elitist,-0.105,-0.1775,-0.0725,No shift
Qwen3-Max,Social L-R,-0.1518987341772152,-0.08040201005025126,0.07149672412696394,No shift
Grok 4.3,Social L-R,-0.07537688442211055,-0.010126582278481013,0.06525030214362953,No shift
DeepSeek V3.1,Populist-Elitist,-0.09065934065934066,-0.140625,-0.049965659340659344,No shift
Grok 4.3,Authoritarian-Libertarian,-0.05025125628140704,-0.09873417721518987,-0.048482920933782835,No shift
Grok 4.3,Populist-Elitist,-0.04020100502512563,-0.08860759493670886,-0.04840658991158323,No shift
GPT-5.1,Authoritarian-Libertarian,-0.11616161616161616,-0.16032608695652173,-0.04416447079490557,No shift
Qwen3-Max,Authoritarian-Libertarian,-0.10379746835443038,-0.1407035175879397,-0.03690604923350932,No shift
Claude Opus 4.5,Social L-R,-0.042328042328042326,-0.0783289817232376,-0.036000939395195275,No shift
Qwen3-Max,Populist-Elitist,-0.11645569620253164,-0.1507537688442211,-0.03429807264168945,No shift
DeepSeek V3.1,Authoritarian-Libertarian,-0.11263736263736264,-0.13802083333333334,-0.025383470695970703,No shift
DeepSeek V3.1,Economic L-R,-0.02197802197802198,0.0026041666666666665,0.024582188644688648,No shift
GPT-4o,Economic L-R,-0.010256410256410256,0.01,0.020256410256410257,No shift
Mistral Large 2512,Economic L-R,-0.0225,-0.005,0.017499999999999998,No shift
Qwen3-Max,Economic L-R,-0.02278481012658228,-0.007537688442211055,0.015247121684371224,No shift
DeepSeek V3.1,Social L-R,-0.10989010989010989,-0.09895833333333333,0.01093177655677656,No shift
Mistral Large 2512,Social L-R,-0.1375,-0.1275,0.010000000000000009,No shift
Grok 4.3,Economic L-R,0.02512562814070352,0.015189873417721518,-0.009935754722982,No shift
GPT-5.1,Populist-Elitist,-0.12373737373737374,-0.1331521739130435,-0.009414800175669744,No shift
Claude Opus 4.5,Economic L-R,-0.0026455026455026454,0.005221932114882507,0.007867434760385152,No shift
GPT-5.1,Social L-R,-0.1388888888888889,-0.14402173913043478,-0.005132850241545889,No shift
GPT-5.1,Economic L-R,-0.012626262626262626,-0.016304347826086956,-0.00367808519982433,No shift
GPT-4o,Social L-R,-0.03076923076923077,-0.0275,0.003269230769230771,No shift
