model_f,prompt_category,dataset_type_f,dimension_f,n,mean_score,sd_score
GPT-5.1,civil_rights_liberties,Regular Prompts,Economic L-R,80,0,0
GPT-5.1,civil_rights_liberties,Boundary Prompts,Economic L-R,78,-0.05128205128205128,0.22200011100008343
GPT-5.1,economic_policy,Regular Prompts,Economic L-R,10,-0.5,0.5270462766947299
GPT-5.1,economic_policy,Boundary Prompts,Economic L-R,10,-0.5,1.5811388300841898
GPT-5.1,environment_energy,Regular Prompts,Economic L-R,10,0,0
GPT-5.1,environment_energy,Boundary Prompts,Economic L-R,10,0.2,0.9189365834726815
GPT-5.1,governance_democracy,Regular Prompts,Economic L-R,60,0,0
GPT-5.1,governance_democracy,Boundary Prompts,Economic L-R,54,0,0
GPT-5.1,migration_nationalism,Regular Prompts,Economic L-R,40,0,0
GPT-5.1,migration_nationalism,Boundary Prompts,Economic L-R,38,0.10526315789473684,0.38830704514427367
GPT-5.1,religion_state,Regular Prompts,Economic L-R,10,0,0
GPT-5.1,religion_state,Boundary Prompts,Economic L-R,10,0,0
GPT-5.1,security_conflict,Regular Prompts,Economic L-R,129,0,0
GPT-5.1,security_conflict,Boundary Prompts,Economic L-R,116,-0.05172413793103448,0.25858570478014004
GPT-5.1,social_moral,Regular Prompts,Economic L-R,20,0,0.3244428422615251
GPT-5.1,social_moral,Boundary Prompts,Economic L-R,19,0,0
GPT-5.1,territorial_sovereignty,Regular Prompts,Economic L-R,37,0,0
GPT-5.1,territorial_sovereignty,Boundary Prompts,Economic L-R,33,0.09090909090909091,0.2919371040605711
GPT-5.1,civil_rights_liberties,Regular Prompts,Social L-R,80,-0.2375,0.4282360049661486
GPT-5.1,civil_rights_liberties,Boundary Prompts,Social L-R,78,-0.2564102564102564,0.6919931205253981
GPT-5.1,economic_policy,Regular Prompts,Social L-R,10,0,0
GPT-5.1,economic_policy,Boundary Prompts,Social L-R,10,0,0.4714045207910317
GPT-5.1,environment_energy,Regular Prompts,Social L-R,10,0,0
GPT-5.1,environment_energy,Boundary Prompts,Social L-R,10,0,0
GPT-5.1,governance_democracy,Regular Prompts,Social L-R,60,-0.08333333333333333,0.2787178067853024
GPT-5.1,governance_democracy,Boundary Prompts,Social L-R,54,-0.2222222222222222,0.603970093807497
GPT-5.1,migration_nationalism,Regular Prompts,Social L-R,40,-0.35,0.48304589153964805
GPT-5.1,migration_nationalism,Boundary Prompts,Social L-R,38,-0.2631578947368421,0.9207579288741627
GPT-5.1,religion_state,Regular Prompts,Social L-R,10,-0.1,0.31622776601683794
GPT-5.1,religion_state,Boundary Prompts,Social L-R,10,-0.5,0.5270462766947299
GPT-5.1,security_conflict,Regular Prompts,Social L-R,129,-0.09302325581395349,0.40392334640057903
GPT-5.1,security_conflict,Boundary Prompts,Social L-R,116,-0.02586206896551724,0.2453464948776027
GPT-5.1,social_moral,Regular Prompts,Social L-R,20,-0.15,0.48936048492959283
GPT-5.1,social_moral,Boundary Prompts,Social L-R,19,-0.05263157894736842,0.9112679939102143
GPT-5.1,territorial_sovereignty,Regular Prompts,Social L-R,37,-0.02702702702702703,0.16439898730535726
GPT-5.1,territorial_sovereignty,Boundary Prompts,Social L-R,33,-0.06060606060606061,0.3481553119113957
GPT-5.1,civil_rights_liberties,Regular Prompts,Authoritarian-Libertarian,80,-0.15,0.35932426031459846
GPT-5.1,civil_rights_liberties,Boundary Prompts,Authoritarian-Libertarian,78,-0.2692307692307692,0.5959403117300045
GPT-5.1,economic_policy,Regular Prompts,Authoritarian-Libertarian,10,-0.2,0.42163702135578396
GPT-5.1,economic_policy,Boundary Prompts,Authoritarian-Libertarian,10,0,1.0540925533894598
GPT-5.1,environment_energy,Regular Prompts,Authoritarian-Libertarian,10,-0.5,0.5270462766947299
GPT-5.1,environment_energy,Boundary Prompts,Authoritarian-Libertarian,10,-0.3,0.4830458915396479
GPT-5.1,governance_democracy,Regular Prompts,Authoritarian-Libertarian,60,-0.13333333333333333,0.34280333180088174
GPT-5.1,governance_democracy,Boundary Prompts,Authoritarian-Libertarian,54,-0.35185185185185186,0.48203215297938384
GPT-5.1,migration_nationalism,Regular Prompts,Authoritarian-Libertarian,40,-0.2,0.40509574683346666
GPT-5.1,migration_nationalism,Boundary Prompts,Authoritarian-Libertarian,38,-0.18421052631578946,0.45650038677907506
GPT-5.1,religion_state,Regular Prompts,Authoritarian-Libertarian,10,-0.1,0.31622776601683794
GPT-5.1,religion_state,Boundary Prompts,Authoritarian-Libertarian,10,0,0.6666666666666666
GPT-5.1,security_conflict,Regular Prompts,Authoritarian-Libertarian,129,-0.07751937984496124,0.32143241661290445
GPT-5.1,security_conflict,Boundary Prompts,Authoritarian-Libertarian,116,-0.07758620689655173,0.29929953206621046
GPT-5.1,social_moral,Regular Prompts,Authoritarian-Libertarian,20,-0.05,0.22360679774997885
GPT-5.1,social_moral,Boundary Prompts,Authoritarian-Libertarian,19,-0.05263157894736842,0.7050361858740393
GPT-5.1,territorial_sovereignty,Regular Prompts,Authoritarian-Libertarian,37,0.02702702702702703,0.1643989873053572
GPT-5.1,territorial_sovereignty,Boundary Prompts,Authoritarian-Libertarian,33,0.030303030303030304,0.17407765595569788
GPT-5.1,civil_rights_liberties,Regular Prompts,Populist-Elitist,80,-0.225,0.4202169421632268
GPT-5.1,civil_rights_liberties,Boundary Prompts,Populist-Elitist,78,-0.23076923076923078,0.4536454626624254
GPT-5.1,economic_policy,Regular Prompts,Populist-Elitist,10,-0.5,0.5270462766947299
GPT-5.1,economic_policy,Boundary Prompts,Populist-Elitist,10,0,0.9428090415820634
GPT-5.1,environment_energy,Regular Prompts,Populist-Elitist,10,0,0
GPT-5.1,environment_energy,Boundary Prompts,Populist-Elitist,10,-0.3,0.4830458915396479
GPT-5.1,governance_democracy,Regular Prompts,Populist-Elitist,60,-0.05,0.21978417765108266
GPT-5.1,governance_democracy,Boundary Prompts,Populist-Elitist,54,-0.18518518518518517,0.39209519801278125
GPT-5.1,migration_nationalism,Regular Prompts,Populist-Elitist,40,-0.3,0.46409548089225705
GPT-5.1,migration_nationalism,Boundary Prompts,Populist-Elitist,38,-0.15789473684210525,0.5939476630630323
GPT-5.1,religion_state,Regular Prompts,Populist-Elitist,10,0,0
GPT-5.1,religion_state,Boundary Prompts,Populist-Elitist,10,0,0
GPT-5.1,security_conflict,Regular Prompts,Populist-Elitist,129,-0.06201550387596899,0.24212399923954664
GPT-5.1,security_conflict,Boundary Prompts,Populist-Elitist,116,-0.11206896551724138,0.3168198424873399
GPT-5.1,social_moral,Regular Prompts,Populist-Elitist,20,-0.1,0.30779350562554625
GPT-5.1,social_moral,Boundary Prompts,Populist-Elitist,19,0,0
GPT-5.1,territorial_sovereignty,Regular Prompts,Populist-Elitist,37,-0.02702702702702703,0.16439898730535726
GPT-5.1,territorial_sovereignty,Boundary Prompts,Populist-Elitist,33,0.030303030303030304,0.39408505465575616
Claude Opus 4.5,civil_rights_liberties,Regular Prompts,Economic L-R,80,0,0
Claude Opus 4.5,civil_rights_liberties,Boundary Prompts,Economic L-R,78,0,0
Claude Opus 4.5,economic_policy,Regular Prompts,Economic L-R,10,-0.1,0.31622776601683794
Claude Opus 4.5,economic_policy,Boundary Prompts,Economic L-R,10,-0.3,1.8287822299126937
Claude Opus 4.5,environment_energy,Regular Prompts,Economic L-R,10,0,0
Claude Opus 4.5,environment_energy,Boundary Prompts,Economic L-R,10,0.2,0.9189365834726815
Claude Opus 4.5,governance_democracy,Regular Prompts,Economic L-R,53,0,0
Claude Opus 4.5,governance_democracy,Boundary Prompts,Economic L-R,57,0.017543859649122806,0.13245323570650439
Claude Opus 4.5,migration_nationalism,Regular Prompts,Economic L-R,40,0,0
Claude Opus 4.5,migration_nationalism,Boundary Prompts,Economic L-R,38,0.07894736842105263,0.35879520224642053
Claude Opus 4.5,religion_state,Regular Prompts,Economic L-R,10,0,0
Claude Opus 4.5,religion_state,Boundary Prompts,Economic L-R,10,0,0
Claude Opus 4.5,security_conflict,Regular Prompts,Economic L-R,119,0,0
Claude Opus 4.5,security_conflict,Boundary Prompts,Economic L-R,120,-0.041666666666666664,0.20066416332413967
Claude Opus 4.5,social_moral,Regular Prompts,Economic L-R,19,0,0
Claude Opus 4.5,social_moral,Boundary Prompts,Economic L-R,20,0.1,0.30779350562554625
Claude Opus 4.5,territorial_sovereignty,Regular Prompts,Economic L-R,37,0,0
Claude Opus 4.5,territorial_sovereignty,Boundary Prompts,Economic L-R,40,0.05,0.2207214278631522
Claude Opus 4.5,civil_rights_liberties,Regular Prompts,Social L-R,80,-0.0875,0.2843491346562302
Claude Opus 4.5,civil_rights_liberties,Boundary Prompts,Social L-R,78,-0.23076923076923078,0.6431068446116969
Claude Opus 4.5,economic_policy,Regular Prompts,Social L-R,10,0,0
Claude Opus 4.5,economic_policy,Boundary Prompts,Social L-R,10,0,0
Claude Opus 4.5,environment_energy,Regular Prompts,Social L-R,10,0,0
Claude Opus 4.5,environment_energy,Boundary Prompts,Social L-R,10,-0.1,0.31622776601683794
Claude Opus 4.5,governance_democracy,Regular Prompts,Social L-R,53,-0.03773584905660377,0.19238024756109737
Claude Opus 4.5,governance_democracy,Boundary Prompts,Social L-R,57,-0.07017543859649122,0.59340570086117
Claude Opus 4.5,migration_nationalism,Regular Prompts,Social L-R,40,-0.075,0.2667467828369187
Claude Opus 4.5,migration_nationalism,Boundary Prompts,Social L-R,38,-0.15789473684210525,0.9733285267845753
Claude Opus 4.5,religion_state,Regular Prompts,Social L-R,10,-0.2,0.42163702135578396
Claude Opus 4.5,religion_state,Boundary Prompts,Social L-R,10,-0.4,0.699205898780101
Claude Opus 4.5,security_conflict,Regular Prompts,Social L-R,119,-0.008403361344537815,0.09166984970282119
Claude Opus 4.5,security_conflict,Boundary Prompts,Social L-R,120,0.03333333333333333,0.4085912122298823
Claude Opus 4.5,social_moral,Regular Prompts,Social L-R,19,-0.05263157894736842,0.22941573387056172
Claude Opus 4.5,social_moral,Boundary Prompts,Social L-R,20,0.1,0.9119095061289914
Claude Opus 4.5,territorial_sovereignty,Regular Prompts,Social L-R,37,0,0
Claude Opus 4.5,territorial_sovereignty,Boundary Prompts,Social L-R,40,-0.075,0.3499084129252933
Claude Opus 4.5,civil_rights_liberties,Regular Prompts,Authoritarian-Libertarian,80,-0.0875,0.28434913465623024
Claude Opus 4.5,civil_rights_liberties,Boundary Prompts,Authoritarian-Libertarian,78,-0.24358974358974358,0.5852271716956097
Claude Opus 4.5,economic_policy,Regular Prompts,Authoritarian-Libertarian,10,0,0
Claude Opus 4.5,economic_policy,Boundary Prompts,Authoritarian-Libertarian,10,0,1.0540925533894598
Claude Opus 4.5,environment_energy,Regular Prompts,Authoritarian-Libertarian,10,-0.1,0.31622776601683794
Claude Opus 4.5,environment_energy,Boundary Prompts,Authoritarian-Libertarian,10,-0.4,0.699205898780101
Claude Opus 4.5,governance_democracy,Regular Prompts,Authoritarian-Libertarian,53,-0.09433962264150944,0.2950978288503027
Claude Opus 4.5,governance_democracy,Boundary Prompts,Authoritarian-Libertarian,57,-0.2807017543859649,0.4533362818715845
Claude Opus 4.5,migration_nationalism,Regular Prompts,Authoritarian-Libertarian,40,-0.075,0.2667467828369187
Claude Opus 4.5,migration_nationalism,Boundary Prompts,Authoritarian-Libertarian,38,-0.21052631578947367,0.5280200004832998
Claude Opus 4.5,religion_state,Regular Prompts,Authoritarian-Libertarian,10,0.2,0.42163702135578396
Claude Opus 4.5,religion_state,Boundary Prompts,Authoritarian-Libertarian,10,0.2,0.9189365834726814
Claude Opus 4.5,security_conflict,Regular Prompts,Authoritarian-Libertarian,119,-0.01680672268907563,0.12909025073869218
Claude Opus 4.5,security_conflict,Boundary Prompts,Authoritarian-Libertarian,120,-0.041666666666666664,0.30114161869426775
Claude Opus 4.5,social_moral,Regular Prompts,Authoritarian-Libertarian,19,0.05263157894736842,0.22941573387056172
