language_f,prompt_category,foundation_f,n,activation_rate
English,civil_rights_liberties,Care/Harm,222,0.41441441441441434
English,economic_policy,Care/Harm,27,0.8888888888888888
English,environment_energy,Care/Harm,28,1
English,governance_democracy,Care/Harm,161,0.49068322981366486
English,migration_nationalism,Care/Harm,111,0.36936936936936915
English,religion_state,Care/Harm,28,1
English,security_conflict,Care/Harm,354,0.480225988700565
English,social_moral,Care/Harm,56,0.9107142857142857
English,territorial_sovereignty,Care/Harm,107,0.4579439252336449
Chinese,civil_rights_liberties,Care/Harm,223,0.3452914798206278
Chinese,economic_policy,Care/Harm,28,0.7857142857142857
Chinese,environment_energy,Care/Harm,28,0.9642857142857143
Chinese,governance_democracy,Care/Harm,159,0.43396226415094336
Chinese,migration_nationalism,Care/Harm,112,0.3035714285714284
Chinese,religion_state,Care/Harm,28,1
Chinese,security_conflict,Care/Harm,340,0.40588235294117636
Chinese,social_moral,Care/Harm,55,0.8
Chinese,territorial_sovereignty,Care/Harm,104,0.3557692307692307
Japanese,civil_rights_liberties,Care/Harm,221,0.3619909502262443
Japanese,economic_policy,Care/Harm,28,0.7142857142857142
Japanese,environment_energy,Care/Harm,28,0.9285714285714286
Japanese,governance_democracy,Care/Harm,162,0.37037037037037046
Japanese,migration_nationalism,Care/Harm,111,0.3063063063063066
Japanese,religion_state,Care/Harm,28,0.9642857142857143
Japanese,security_conflict,Care/Harm,348,0.439655172413793
Japanese,social_moral,Care/Harm,55,0.8181818181818181
Japanese,territorial_sovereignty,Care/Harm,107,0.383177570093458
Indonesian,civil_rights_liberties,Care/Harm,223,0.43497757847533636
Indonesian,economic_policy,Care/Harm,28,0.7142857142857142
Indonesian,environment_energy,Care/Harm,28,0.9642857142857143
Indonesian,governance_democracy,Care/Harm,164,0.46951219512195136
Indonesian,migration_nationalism,Care/Harm,111,0.3873873873873875
Indonesian,religion_state,Care/Harm,28,0.9642857142857143
Indonesian,security_conflict,Care/Harm,351,0.4672364672364673
Indonesian,social_moral,Care/Harm,56,0.8928571428571429
Indonesian,territorial_sovereignty,Care/Harm,105,0.4666666666666666
Arabic,civil_rights_liberties,Care/Harm,222,0.4009009009009011
Arabic,economic_policy,Care/Harm,28,0.8214285714285714
Arabic,environment_energy,Care/Harm,28,0.9642857142857143
Arabic,governance_democracy,Care/Harm,162,0.44444444444444425
Arabic,migration_nationalism,Care/Harm,111,0.2882882882882882
Arabic,religion_state,Care/Harm,28,1
Arabic,security_conflict,Care/Harm,351,0.44444444444444436
Arabic,social_moral,Care/Harm,56,0.8571428571428571
Arabic,territorial_sovereignty,Care/Harm,110,0.43636363636363634
English,civil_rights_liberties,Fairness/Cheating,222,0.6486486486486486
English,economic_policy,Fairness/Cheating,27,0.8148148148148148
