model_f,language_f,prompt_category,foundation_f,n,activation_rate
GPT-5.1,English,civil_rights_liberties,Care/Harm,30,0.4
GPT-5.1,English,economic_policy,Care/Harm,4,1
GPT-5.1,English,environment_energy,Care/Harm,4,1
GPT-5.1,English,governance_democracy,Care/Harm,22,0.5
GPT-5.1,English,migration_nationalism,Care/Harm,15,0.4
GPT-5.1,English,religion_state,Care/Harm,4,1
GPT-5.1,English,security_conflict,Care/Harm,52,0.5
GPT-5.1,English,social_moral,Care/Harm,8,1
GPT-5.1,English,territorial_sovereignty,Care/Harm,13,0.5384615384615384
GPT-5.1,Chinese,civil_rights_liberties,Care/Harm,32,0.34375
GPT-5.1,Chinese,economic_policy,Care/Harm,4,1
GPT-5.1,Chinese,environment_energy,Care/Harm,4,1
GPT-5.1,Chinese,governance_democracy,Care/Harm,24,0.5
GPT-5.1,Chinese,migration_nationalism,Care/Harm,16,0.25
GPT-5.1,Chinese,religion_state,Care/Harm,4,1
GPT-5.1,Chinese,security_conflict,Care/Harm,48,0.39583333333333337
GPT-5.1,Chinese,social_moral,Care/Harm,7,1
GPT-5.1,Chinese,territorial_sovereignty,Care/Harm,15,0.33333333333333337
GPT-5.1,Japanese,civil_rights_liberties,Care/Harm,32,0.375
GPT-5.1,Japanese,economic_policy,Care/Harm,4,0.75
GPT-5.1,Japanese,environment_energy,Care/Harm,4,1
GPT-5.1,Japanese,governance_democracy,Care/Harm,22,0.5
GPT-5.1,Japanese,migration_nationalism,Care/Harm,16,0.375
GPT-5.1,Japanese,religion_state,Care/Harm,4,1
GPT-5.1,Japanese,security_conflict,Care/Harm,48,0.47916666666666663
GPT-5.1,Japanese,social_moral,Care/Harm,8,0.875
GPT-5.1,Japanese,territorial_sovereignty,Care/Harm,15,0.39999999999999997
GPT-5.1,Indonesian,civil_rights_liberties,Care/Harm,32,0.40625
GPT-5.1,Indonesian,economic_policy,Care/Harm,4,0.75
GPT-5.1,Indonesian,environment_energy,Care/Harm,4,1
GPT-5.1,Indonesian,governance_democracy,Care/Harm,24,0.5
GPT-5.1,Indonesian,migration_nationalism,Care/Harm,16,0.375
GPT-5.1,Indonesian,religion_state,Care/Harm,4,1
GPT-5.1,Indonesian,security_conflict,Care/Harm,49,0.5306122448979591
GPT-5.1,Indonesian,social_moral,Care/Harm,8,0.875
GPT-5.1,Indonesian,territorial_sovereignty,Care/Harm,13,0.46153846153846156
GPT-5.1,Arabic,civil_rights_liberties,Care/Harm,32,0.4375
GPT-5.1,Arabic,economic_policy,Care/Harm,4,0.75
GPT-5.1,Arabic,environment_energy,Care/Harm,4,1
GPT-5.1,Arabic,governance_democracy,Care/Harm,22,0.5454545454545454
GPT-5.1,Arabic,migration_nationalism,Care/Harm,15,0.4
GPT-5.1,Arabic,religion_state,Care/Harm,4,1
GPT-5.1,Arabic,security_conflict,Care/Harm,48,0.4375
GPT-5.1,Arabic,social_moral,Care/Harm,8,0.875
GPT-5.1,Arabic,territorial_sovereignty,Care/Harm,14,0.42857142857142855
GPT-5.1,English,civil_rights_liberties,Fairness/Cheating,30,0.7
GPT-5.1,English,economic_policy,Fairness/Cheating,4,1
GPT-5.1,English,environment_energy,Fairness/Cheating,4,0.75
GPT-5.1,English,governance_democracy,Fairness/Cheating,22,0.7727272727272727
GPT-5.1,English,migration_nationalism,Fairness/Cheating,15,0.6666666666666666
GPT-5.1,English,religion_state,Fairness/Cheating,4,0.75
GPT-5.1,English,security_conflict,Fairness/Cheating,52,0.4230769230769231
GPT-5.1,English,social_moral,Fairness/Cheating,8,0.875
GPT-5.1,English,territorial_sovereignty,Fairness/Cheating,13,0.8461538461538461
GPT-5.1,Chinese,civil_rights_liberties,Fairness/Cheating,32,0.59375
GPT-5.1,Chinese,economic_policy,Fairness/Cheating,4,1
GPT-5.1,Chinese,environment_energy,Fairness/Cheating,4,0.25
GPT-5.1,Chinese,governance_democracy,Fairness/Cheating,24,0.6666666666666666
GPT-5.1,Chinese,migration_nationalism,Fairness/Cheating,16,0.625
GPT-5.1,Chinese,religion_state,Fairness/Cheating,4,0.75
GPT-5.1,Chinese,security_conflict,Fairness/Cheating,48,0.35416666666666663
GPT-5.1,Chinese,social_moral,Fairness/Cheating,7,1
GPT-5.1,Chinese,territorial_sovereignty,Fairness/Cheating,15,0.8666666666666667
GPT-5.1,Japanese,civil_rights_liberties,Fairness/Cheating,32,0.59375
GPT-5.1,Japanese,economic_policy,Fairness/Cheating,4,0.75
GPT-5.1,Japanese,environment_energy,Fairness/Cheating,4,0.5
GPT-5.1,Japanese,governance_democracy,Fairness/Cheating,22,0.6818181818181819
GPT-5.1,Japanese,migration_nationalism,Fairness/Cheating,16,0.5625
GPT-5.1,Japanese,religion_state,Fairness/Cheating,4,0.5
GPT-5.1,Japanese,security_conflict,Fairness/Cheating,48,0.3125
GPT-5.1,Japanese,social_moral,Fairness/Cheating,8,0.875
GPT-5.1,Japanese,territorial_sovereignty,Fairness/Cheating,15,0.8666666666666667
GPT-5.1,Indonesian,civil_rights_liberties,Fairness/Cheating,32,0.8125
GPT-5.1,Indonesian,economic_policy,Fairness/Cheating,4,1
GPT-5.1,Indonesian,environment_energy,Fairness/Cheating,4,0.5
GPT-5.1,Indonesian,governance_democracy,Fairness/Cheating,24,0.6666666666666667
GPT-5.1,Indonesian,migration_nationalism,Fairness/Cheating,16,0.625
GPT-5.1,Indonesian,religion_state,Fairness/Cheating,4,0.75
GPT-5.1,Indonesian,security_conflict,Fairness/Cheating,49,0.40816326530612246
GPT-5.1,Indonesian,social_moral,Fairness/Cheating,8,1
GPT-5.1,Indonesian,territorial_sovereignty,Fairness/Cheating,13,0.8461538461538461
GPT-5.1,Arabic,civil_rights_liberties,Fairness/Cheating,32,0.75
GPT-5.1,Arabic,economic_policy,Fairness/Cheating,4,1
GPT-5.1,Arabic,environment_energy,Fairness/Cheating,4,0.75
GPT-5.1,Arabic,governance_democracy,Fairness/Cheating,22,0.7727272727272727
GPT-5.1,Arabic,migration_nationalism,Fairness/Cheating,15,0.6666666666666666
GPT-5.1,Arabic,religion_state,Fairness/Cheating,4,0.5
GPT-5.1,Arabic,security_conflict,Fairness/Cheating,48,0.3958333333333333
GPT-5.1,Arabic,social_moral,Fairness/Cheating,8,0.875
GPT-5.1,Arabic,territorial_sovereignty,Fairness/Cheating,14,1
GPT-5.1,English,civil_rights_liberties,Loyalty/Betrayal,30,0.06666666666666668
GPT-5.1,English,economic_policy,Loyalty/Betrayal,4,0
GPT-5.1,English,environment_energy,Loyalty/Betrayal,4,0
GPT-5.1,English,governance_democracy,Loyalty/Betrayal,22,0.0909090909090909
GPT-5.1,English,migration_nationalism,Loyalty/Betrayal,15,0.2
GPT-5.1,English,religion_state,Loyalty/Betrayal,4,0
GPT-5.1,English,security_conflict,Loyalty/Betrayal,52,0.19230769230769232
GPT-5.1,English,social_moral,Loyalty/Betrayal,8,0.125
GPT-5.1,English,territorial_sovereignty,Loyalty/Betrayal,13,0
GPT-5.1,Chinese,civil_rights_liberties,Loyalty/Betrayal,32,0
GPT-5.1,Chinese,economic_policy,Loyalty/Betrayal,4,0
GPT-5.1,Chinese,environment_energy,Loyalty/Betrayal,4,0
GPT-5.1,Chinese,governance_democracy,Loyalty/Betrayal,24,0.04166666666666667
GPT-5.1,Chinese,migration_nationalism,Loyalty/Betrayal,16,0.0625
