foundation1,foundation2,both_present,either_present,co_occurrence_rate,conditional_prob
fairness_cheating,liberty_oppression,2226,3726,0.4085153239126445,0.7075651621106167
care_harm,fairness_cheating,1841,3906,0.33786015782712425,0.7078046905036525
care_harm,liberty_oppression,1534,3873,0.2815195448706185,0.5897731641676278
authority_subversion,liberty_oppression,508,2933,0.09322811525050467,0.8
authority_subversion,fairness_cheating,442,3339,0.08111580106441549,0.6960629921259842
care_harm,sanctity_degradation,223,2741,0.04092494035602863,0.0857362552864283
authority_subversion,care_harm,216,3020,0.039640300972655536,0.3401574803149606
fairness_cheating,sanctity_degradation,212,3297,0.038906221325013764,0.06738715829624921
care_harm,loyalty_betrayal,207,2966,0.037988621765461555,0.07958477508650519
fairness_cheating,loyalty_betrayal,199,3519,0.03652046247017801,0.06325492689129053
liberty_oppression,loyalty_betrayal,183,3195,0.033584143879610937,0.06521739130434782
liberty_oppression,sanctity_degradation,167,3002,0.030647825289043862,0.05951532430506058
loyalty_betrayal,sanctity_degradation,77,858,0.014131033217104056,0.1346153846153846
authority_subversion,sanctity_degradation,52,946,0.009543035419342998,0.08188976377952756
authority_subversion,loyalty_betrayal,51,1156,0.009359515507432557,0.08031496062992126
