model_f,total_foundations,n,total,pct
GPT-5.1,0,132,764,0.17277486910994763
GPT-5.1,1,131,764,0.17146596858638743
GPT-5.1,2,191,764,0.25
GPT-5.1,3,238,764,0.31151832460732987
GPT-5.1,4,61,764,0.07984293193717278
GPT-5.1,5,9,764,0.011780104712041885
GPT-5.1,6,2,764,0.002617801047120419
Claude Opus 4.5,0,111,761,0.14586070959264127
Claude Opus 4.5,1,215,761,0.28252299605781866
Claude Opus 4.5,2,248,761,0.32588699080157685
Claude Opus 4.5,3,156,761,0.2049934296977661
Claude Opus 4.5,4,30,761,0.03942181340341656
Claude Opus 4.5,5,1,761,0.001314060446780552
GPT-4o,0,137,790,0.17341772151898735
GPT-4o,1,251,790,0.31772151898734174
GPT-4o,2,234,790,0.29620253164556964
GPT-4o,3,151,790,0.1911392405063291
GPT-4o,4,17,790,0.021518987341772152
Grok 4.3,0,138,793,0.17402269861286254
Grok 4.3,1,226,793,0.2849936948297604
Grok 4.3,2,227,793,0.2862547288776797
Grok 4.3,3,163,793,0.2055485498108449
Grok 4.3,4,38,793,0.04791929382093316
Grok 4.3,5,1,793,0.0012610340479192938
DeepSeek V3.1,0,108,748,0.1443850267379679
DeepSeek V3.1,1,184,748,0.24598930481283424
DeepSeek V3.1,2,194,748,0.25935828877005346
DeepSeek V3.1,3,209,748,0.27941176470588236
DeepSeek V3.1,4,47,748,0.06283422459893048
DeepSeek V3.1,5,6,748,0.008021390374331552
Qwen3-Max,0,92,793,0.11601513240857503
Qwen3-Max,1,177,793,0.223203026481715
Qwen3-Max,2,218,793,0.27490542244640603
Qwen3-Max,3,237,793,0.2988650693568726
Qwen3-Max,4,63,793,0.07944514501891552
Qwen3-Max,5,6,793,0.007566204287515763
Mistral Large 2512,0,107,800,0.13375
Mistral Large 2512,1,143,800,0.17875
Mistral Large 2512,2,182,800,0.2275
Mistral Large 2512,3,286,800,0.3575
Mistral Large 2512,4,73,800,0.09125
Mistral Large 2512,5,9,800,0.01125
