prompt_category,model_f,n,mean_foundations,sd_foundations
social_moral,GPT-5.1,39,2.7948717948717947,0.5221154933480351
social_moral,Qwen3-Max,40,2.75,0.6304251719561152
social_moral,Mistral Large 2512,40,2.75,0.5883484054145521
territorial_sovereignty,Mistral Large 2512,80,2.625,0.801501755014385
economic_policy,GPT-5.1,20,2.6,0.5982430416161189
religion_state,GPT-5.1,20,2.6,0.5982430416161189
religion_state,Qwen3-Max,20,2.6,0.8207826816681233
social_moral,DeepSeek V3.1,40,2.575,0.7807787039970957
economic_policy,DeepSeek V3.1,20,2.55,0.6048053188292994
economic_policy,Qwen3-Max,20,2.5,0.6882472016116853
economic_policy,Mistral Large 2512,20,2.5,0.8885233166386386
religion_state,Claude Opus 4.5,20,2.5,0.6069769786668839
territorial_sovereignty,GPT-5.1,70,2.5,0.8469895538599198
religion_state,Mistral Large 2512,20,2.45,0.6863327411532597
territorial_sovereignty,Qwen3-Max,79,2.392405063291139,0.979504342459548
migration_nationalism,Qwen3-Max,80,2.3625,1.2852005704671605
territorial_sovereignty,Grok 4.3,79,2.3544303797468356,0.7850849159288977
civil_rights_liberties,Mistral Large 2512,160,2.325,1.4646784694491561
social_moral,Claude Opus 4.5,39,2.3076923076923075,0.7661883152417266
economic_policy,Claude Opus 4.5,20,2.3,0.9233805168766387
territorial_sovereignty,DeepSeek V3.1,68,2.2941176470588234,1.0658725460673302
governance_democracy,Mistral Large 2512,120,2.2916666666666665,1.183896382399111
migration_nationalism,Mistral Large 2512,80,2.2625,1.122201159791762
migration_nationalism,GPT-5.1,78,2.2435897435897436,1.301207206074495
governance_democracy,GPT-5.1,114,2.210526315789474,1.2862353946505254
migration_nationalism,DeepSeek V3.1,80,2.2,1.0602125413856378
religion_state,Grok 4.3,20,2.2,0.6155870112510924
religion_state,DeepSeek V3.1,20,2.2,0.7677718959499146
civil_rights_liberties,Qwen3-Max,159,2.188679245283019,1.3176975091344645
governance_democracy,Qwen3-Max,118,2.152542372881356,1.0751832969874566
social_moral,Grok 4.3,40,2.15,0.8929926637077696
civil_rights_liberties,GPT-5.1,158,2.069620253164557,1.4590682333773464
economic_policy,Grok 4.3,20,2.05,0.6048053188292997
governance_democracy,DeepSeek V3.1,110,2.036363636363636,1.2260720658232782
territorial_sovereignty,Claude Opus 4.5,77,2.0259740259740258,0.8579968404742766
social_moral,GPT-4o,40,2.025,0.8911962574151494
civil_rights_liberties,DeepSeek V3.1,157,2.0063694267515926,1.3982443904659654
economic_policy,GPT-4o,19,2,0.5773502691896257
territorial_sovereignty,GPT-4o,80,2,0.9413160730419345
governance_democracy,Claude Opus 4.5,110,1.9727272727272727,1.1530501306693175
migration_nationalism,Grok 4.3,80,1.9625,1.0243089674309673
governance_democracy,Grok 4.3,119,1.9075630252100841,1.2002231193608959
migration_nationalism,Claude Opus 4.5,78,1.858974358974359,0.9632784788966413
religion_state,GPT-4o,20,1.8,0.6155870112510924
migration_nationalism,GPT-4o,80,1.7875,1.098834249948899
environment_energy,Mistral Large 2512,20,1.75,0.9665456669582609
governance_democracy,GPT-4o,117,1.7264957264957266,1.1568680342582185
civil_rights_liberties,GPT-4o,159,1.7044025157232705,1.0765242894688518
environment_energy,GPT-5.1,20,1.7,0.7326950970650465
civil_rights_liberties,Claude Opus 4.5,158,1.6835443037974684,1.2823575402679235
civil_rights_liberties,Grok 4.3,160,1.65625,1.3081595646330308
security_conflict,Mistral Large 2512,260,1.6153846153846154,1.2137221564762994
environment_energy,Qwen3-Max,20,1.6,0.7539370349250518
environment_energy,Claude Opus 4.5,20,1.55,0.6863327411532597
security_conflict,Qwen3-Max,257,1.4863813229571985,1.061032690189046
security_conflict,GPT-5.1,245,1.436734693877551,1.235189949809773
security_conflict,DeepSeek V3.1,233,1.3776824034334765,1.043791060513544
environment_energy,DeepSeek V3.1,20,1.35,0.7451598203705949
security_conflict,Claude Opus 4.5,239,1.2677824267782427,0.9140865962282627
environment_energy,Grok 4.3,20,1.2,0.5231483637805969
security_conflict,Grok 4.3,255,1.1607843137254903,1.0008025188031549
security_conflict,GPT-4o,255,1.1372549019607843,0.9436820131038813
environment_energy,GPT-4o,20,0.95,0.5104177855340405
