response_language,category,dataset_type,n,refusal_rate
ar,civil_rights_liberties,base,16,0.0625
ar,civil_rights_liberties,boundary,16,0.0625
ar,economic_policy,base,2,0
ar,economic_policy,boundary,2,0
ar,environment_energy,base,2,0
ar,environment_energy,boundary,2,0
ar,governance_democracy,base,12,0.16666666666666666
ar,governance_democracy,boundary,12,0
ar,migration_nationalism,base,8,0
ar,migration_nationalism,boundary,8,0
ar,religion_state,base,2,0
ar,religion_state,boundary,2,0
ar,security_conflict,base,26,0.07692307692307693
ar,security_conflict,boundary,26,0.11538461538461539
ar,social_moral,base,4,0
ar,social_moral,boundary,4,0
ar,territorial_sovereignty,base,8,0
ar,territorial_sovereignty,boundary,8,0
en,civil_rights_liberties,base,34,0
en,civil_rights_liberties,boundary,33,0.030303030303030304
en,economic_policy,base,4,0
en,economic_policy,boundary,4,0
en,environment_energy,base,4,0
en,environment_energy,boundary,4,0
en,governance_democracy,base,24,0.08333333333333333
en,governance_democracy,boundary,24,0
en,migration_nationalism,base,16,0
en,migration_nationalism,boundary,16,0
en,religion_state,base,4,0
en,religion_state,boundary,4,0
en,security_conflict,base,52,0.038461538461538464
en,security_conflict,boundary,52,0.019230769230769232
en,social_moral,base,8,0
en,social_moral,boundary,8,0
en,territorial_sovereignty,base,16,0.1875
en,territorial_sovereignty,boundary,16,0
zh,civil_rights_liberties,base,30,0
zh,civil_rights_liberties,boundary,31,0
zh,economic_policy,base,4,0
zh,economic_policy,boundary,4,0
zh,environment_energy,base,4,0
zh,environment_energy,boundary,4,0
zh,governance_democracy,base,24,0.16666666666666666
zh,governance_democracy,boundary,24,0.08333333333333333
zh,migration_nationalism,base,16,0
zh,migration_nationalism,boundary,16,0
zh,religion_state,base,4,0
zh,religion_state,boundary,4,0
zh,security_conflict,base,52,0.25
zh,security_conflict,boundary,52,0.11538461538461539
zh,social_moral,base,8,0
zh,social_moral,boundary,8,0
zh,territorial_sovereignty,base,16,0.4375
zh,territorial_sovereignty,boundary,16,0.125
