model,prompt_language,refusal_rate,n,model_label,language
claude-opus-4.5,en,0.0875,80,Claude Opus 4.5,English
claude-opus-4.5,zh,0.0375,80,Claude Opus 4.5,Chinese
deepseek-chat-v3.1,en,0.0125,80,DeepSeek V3.1,English
deepseek-chat-v3.1,zh,0.2125,80,DeepSeek V3.1,Chinese
gpt-4o,en,0.02531645569620253,79,GPT-4o,English
gpt-4o,zh,0.0125,80,GPT-4o,Chinese
gpt-5.1,en,0.0125,80,GPT-5.1,English
gpt-5.1,zh,0,80,GPT-5.1,Chinese
grok-4.3,en,0,80,Grok 4.3,English
grok-4.3,zh,0.0125,80,Grok 4.3,Chinese
mistral-large-2512,en,0,80,Mistral Large 2512,English
mistral-large-2512,zh,0,80,Mistral Large 2512,Chinese
qwen3-max,en,0.0125,80,Qwen3-Max,English
qwen3-max,zh,0.0375,80,Qwen3-Max,Chinese
