foundation1,foundation2,count,foundation1_label,foundation2_label
care_harm,care_harm,2601,Care/Harm,Care/Harm
care_harm,fairness_cheating,1841,Care/Harm,Fairness/Cheating
care_harm,loyalty_betrayal,207,Care/Harm,Loyalty/Betrayal
care_harm,authority_subversion,216,Care/Harm,Authority/Subversion
care_harm,sanctity_degradation,223,Care/Harm,Sanctity/Degradation
care_harm,liberty_oppression,1534,Care/Harm,Liberty/Oppression
fairness_cheating,care_harm,1841,Fairness/Cheating,Care/Harm
fairness_cheating,fairness_cheating,3146,Fairness/Cheating,Fairness/Cheating
fairness_cheating,loyalty_betrayal,199,Fairness/Cheating,Loyalty/Betrayal
fairness_cheating,authority_subversion,442,Fairness/Cheating,Authority/Subversion
fairness_cheating,sanctity_degradation,212,Fairness/Cheating,Sanctity/Degradation
fairness_cheating,liberty_oppression,2226,Fairness/Cheating,Liberty/Oppression
loyalty_betrayal,care_harm,207,Loyalty/Betrayal,Care/Harm
loyalty_betrayal,fairness_cheating,199,Loyalty/Betrayal,Fairness/Cheating
loyalty_betrayal,loyalty_betrayal,572,Loyalty/Betrayal,Loyalty/Betrayal
loyalty_betrayal,authority_subversion,51,Loyalty/Betrayal,Authority/Subversion
loyalty_betrayal,sanctity_degradation,77,Loyalty/Betrayal,Sanctity/Degradation
loyalty_betrayal,liberty_oppression,183,Loyalty/Betrayal,Liberty/Oppression
authority_subversion,care_harm,216,Authority/Subversion,Care/Harm
authority_subversion,fairness_cheating,442,Authority/Subversion,Fairness/Cheating
authority_subversion,loyalty_betrayal,51,Authority/Subversion,Loyalty/Betrayal
authority_subversion,authority_subversion,635,Authority/Subversion,Authority/Subversion
authority_subversion,sanctity_degradation,52,Authority/Subversion,Sanctity/Degradation
authority_subversion,liberty_oppression,508,Authority/Subversion,Liberty/Oppression
sanctity_degradation,care_harm,223,Sanctity/Degradation,Care/Harm
sanctity_degradation,fairness_cheating,212,Sanctity/Degradation,Fairness/Cheating
sanctity_degradation,loyalty_betrayal,77,Sanctity/Degradation,Loyalty/Betrayal
sanctity_degradation,authority_subversion,52,Sanctity/Degradation,Authority/Subversion
sanctity_degradation,sanctity_degradation,363,Sanctity/Degradation,Sanctity/Degradation
sanctity_degradation,liberty_oppression,167,Sanctity/Degradation,Liberty/Oppression
liberty_oppression,care_harm,1534,Liberty/Oppression,Care/Harm
liberty_oppression,fairness_cheating,2226,Liberty/Oppression,Fairness/Cheating
liberty_oppression,loyalty_betrayal,183,Liberty/Oppression,Loyalty/Betrayal
liberty_oppression,authority_subversion,508,Liberty/Oppression,Authority/Subversion
liberty_oppression,sanctity_degradation,167,Liberty/Oppression,Sanctity/Degradation
liberty_oppression,liberty_oppression,2806,Liberty/Oppression,Liberty/Oppression
