path,sha256,bytes,status,replacement,rationale,git_tracked
docs/RESPONSE_VALIDITY_V11_PILOT.md,649e0611d274dac38ee92baf95c92e6c68cdf5e35d576390138fdd5b08af99d2,11287,completed_provenance,docs/RESPONSE_VALIDITY_DSL_RUN.md,Historical pilot specification,False
docs/RESPONSE_VALIDITY_V11_RESULTS.md,7955ecfe8d1cff18780ef726df77b239cbd6cff8391eb777e037e4f84d0a6e7e,6417,completed_provenance,docs/RESPONSE_VALIDITY_DSL_RUN.md,Historical pilot results,False
docs/archive/RESPONSE_VALIDITY_RESULTS_DUAL_JUDGE.md,f4e7e653dd3639dfaec1eaabe76a5eef9491a0e0d058789ac35c37998fac511d,45293,completed_provenance,docs/RESPONSE_VALIDITY_RESULTS.md,Historical dual-machine result report,False
docs/fig_pilot_refusal.png,3df234f849c7439685263e2280e608d92208e8a84dfc216f0a65eda27d709735,168642,superseded_generated,git history,Old generated pilot figure does not belong in current documentation,True
docs/pilot_v1_annotations_tidy.csv,78f66c31d986f1e109c21bf37e68e539c21b81fcb0a85ac1ee7171d27ac9f429,849909,superseded_generated,git history,Old generated pilot table does not belong in current documentation,True
docs/pilot_v1_combined.csv,6a12a5d4cd7c48bbce722141a8e97614f47b1b6fa557d0a7db35636d7240b173,861573,superseded_generated,git history,Old generated pilot table does not belong in current documentation,True
pipeline/archive/precanonical_appendix/40_appendix_engagement.R,a348081ff8f579681e63c49d0e0bfb13d5e4b8b4282c1a17a62bd0f89a21eb49,11437,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_appendix/41_appendix_justifications.R,5053f25f6e539de6c8eaa6ac8d01d538bb5030d61395ae46b6a2784bbf1dc83d,6319,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_appendix/42_appendix_deepseek_language.R,ae7f67a95eec786e3d07b565c60a371ee96b7f9f2637426f2cc6334f9eda3876,6399,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_appendix/43_appendix_deepseek_chinese.R,0660bc7aa113d76521d506a224b773eede45bf6bc24eae068aacdd449c53dd31,13485,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
pipeline/archive/precanonical_appendix/44_appendix_deepseek_stats.R,f49b7e77955aa56ead9fcc7f11e5a24152179661fecf24a516316c244395588d,5689,tracked_legacy,git history,Precanonical or retired R implementations must not remain executable in the active tree,True
