prompt_id,prompt_language,model,issue_id,region_focus,jurisdiction,topic_domain,tier,battery,engagement_code,code,code_label,reason_group,n_chars,neighbour_purity,neighbour_purity_group,neighbour_purity_group_projection,umap_x,umap_y,seed,n_neighbors,min_dist,metric,representation,encoder,max_chars,purity_k,purity_space,purity_observed,purity_baseline,purity_group_observed,purity_group_baseline,purity_group_projection,st_revision,truncation_sensitivity
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,en,allam-7b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,G,G other,other,7380,0.4,0.4,0.2,-2.149187,-2.012742,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.5059,0.3531,0.5064,0.3531,0.444,main,400:0.5046;800:0.5064;1600:0.5061
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,en,allam-7b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,2022,0.26666666666666666,0.26666666666666666,0.4666666666666667,2.15291,-5.254837,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.5059,0.3531,0.5064,0.3531,0.444,main,400:0.5046;800:0.5064;1600:0.5061
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,en,falcon3-10b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,691,0.5333333333333333,0.5333333333333333,0.4666666666666667,-2.2612612,-2.1358147,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.5059,0.3531,0.5064,0.3531,0.444,main,400:0.5046;800:0.5064;1600:0.5061
issue_gaza_genocide_Q124086054__reg1,en,gpt-4o,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2536,0.7333333333333333,0.7333333333333333,0.5333333333333333,2.1161897,-2.3175023,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.5059,0.3531,0.5064,0.3531,0.444,main,400:0.5046;800:0.5064;1600:0.5061
issue_gaza_genocide_Q124086054__reg2,en,allam-7b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2477,0.8666666666666667,0.8666666666666667,0.4666666666666667,2.2395926,-2.6397412,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.5059,0.3531,0.5064,0.3531,0.444,main,400:0.5046;800:0.5064;1600:0.5061
issue_gaza_genocide_Q124086054__reg1,en,falcon3-10b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,384,0.7333333333333333,0.7333333333333333,0.7333333333333333,1.8895258,-2.0414348,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.5059,0.3531,0.5064,0.3531,0.444,main,400:0.5046;800:0.5064;1600:0.5061
issue_gaza_genocide_Q124086054__reg2,en,falcon3-10b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1040,0.7333333333333333,0.7333333333333333,0.3333333333333333,2.1355698,-2.6015115,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.5059,0.3531,0.5064,0.3531,0.444,main,400:0.5046;800:0.5064;1600:0.5061
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,en,allam-7b,issue_human_rights_in_the_kurdistan_region_Q16958133,Arab,MENA,civil_rights_liberties,regular,rebalanced,4,G,G other,other,1834,0.4666666666666667,0.4666666666666667,0.4666666666666667,2.311411,-1.4863209,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.5059,0.3531,0.5064,0.3531,0.444,main,400:0.5046;800:0.5064;1600:0.5061
issue_nato_Q7184__reg2,en,allam-7b,issue_nato_Q7184,Europe,EU,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1545,0.6,0.6,0.8,2.4054496,-5.070881,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.5059,0.3531,0.5064,0.3531,0.444,main,400:0.5046;800:0.5064;1600:0.5061
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,en,falcon3-10b,issue_human_rights_in_the_kurdistan_region_Q16958133,Arab,MENA,civil_rights_liberties,regular,rebalanced,4,A,A neutrality,neutrality,1420,0.4,0.4,0.3333333333333333,2.3929234,-1.5488564,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.5059,0.3531,0.5064,0.3531,0.444,main,400:0.5046;800:0.5064;1600:0.5061
