model_f,n,genuine_refusal_n,genuine_refusal_rate,capability_failure_n,capability_failure_rate,original_nonengagement_n,original_nonengagement_observed_n,original_nonengagement_rate
kimi-k2.5,12479,1328,0.10641878355637471,1318,0.10561743729465502,0,0,NA
deepseek-chat-v3.1,12478,942,0.0754928674467062,1953,0.15651546722231127,1194,12478,0.09568841160442379
claude-opus-4.5,12480,726,0.058173076923076925,1748,0.14006410256410257,491,12480,0.03934294871794872
hunyuan-a13b,12480,539,0.04318910256410256,2229,0.17860576923076923,0,0,NA
gpt-5.1,12480,458,0.03669871794871795,1810,0.1450320512820513,360,12480,0.028846153846153848
llama-4-scout,12480,371,0.0297275641025641,1149,0.0920673076923077,0,0,NA
allam-7b,12479,311,0.02492186873948233,9751,0.7813927398028688,5318,12479,0.42615594198253065
qwen3-max,12479,296,0.023719849346902796,2426,0.19440660309319657,457,12479,0.036621524160589794
jais-8b,12479,220,0.01762961775783316,6128,0.49106498918182545,871,12479,0.06979725939578492
sarvam-30b,12401,216,0.01741795016530925,8172,0.6589791145875332,445,12401,0.03588420288686396
grok-4.3,12480,205,0.016426282051282052,2413,0.19334935897435898,180,12480,0.014423076923076924
falcon3-10b,12472,158,0.012668377164849262,5071,0.406590763309814,1948,12472,0.15618986529826812
glm-4.7-flash,12480,132,0.010576923076923078,1249,0.10008012820512821,0,0,NA
nova-lite,12480,90,0.007211538461538462,1367,0.10953525641025641,0,0,NA
gemini-2.5-flash-lite,12479,69,0.0055292892058658545,1020,0.08173731869540829,0,0,NA
gpt-4o,12479,56,0.004487539065630259,1969,0.1577850789326068,211,12479,0.01690840612228544
ministral-14b,12480,7,5.608974358974359e-4,914,0.07323717948717949,0,0,NA
mistral-large-2512,12479,3,2.4040387851590673e-4,1876,0.15033255869861367,0,12479,0
