jurisdiction,home_status,n,n_issues,outcome,events,rate,quantity,estimate,estimate_pp,weighting,conf_low,conf_high,conf_low_pp,conf_high_pp,interval_reliable,replicate_failure_rate,outcome_role,sample,estimand,general_handling,causal_interpretation,canonical_run_id
CN,away,8320,416,genuine_refusal,350,0.042067307692307696,observed rate,0.042067307692307696,4.206730769230769,response,NA,NA,NA,NA,NA,NA,primary,English,raw response-cell rate,general is separate and never away,none,canon_019
CN,away,8320,416,capability_failure,439,0.05276442307692308,observed rate,0.05276442307692308,5.2764423076923075,response,NA,NA,NA,NA,NA,NA,diagnostic,English,raw response-cell rate,general is separate and never away,none,canon_019
CN,general,2080,104,genuine_refusal,65,0.03125,observed rate,0.03125,3.125,response,NA,NA,NA,NA,NA,NA,primary,English,raw response-cell rate,general is separate and never away,none,canon_019
CN,general,2080,104,capability_failure,72,0.03461538461538462,observed rate,0.03461538461538462,3.4615384615384617,response,NA,NA,NA,NA,NA,NA,diagnostic,English,raw response-cell rate,general is separate and never away,none,canon_019
CN,home,2080,104,genuine_refusal,208,0.1,observed rate,0.1,10,response,NA,NA,NA,NA,NA,NA,primary,English,raw response-cell rate,general is separate and never away,none,canon_019
CN,home,2080,104,capability_failure,219,0.10528846153846154,observed rate,0.10528846153846154,10.528846153846153,response,NA,NA,NA,NA,NA,NA,diagnostic,English,raw response-cell rate,general is separate and never away,none,canon_019
EU,away,3328,416,genuine_refusal,1,3.0048076923076925e-4,observed rate,3.0048076923076925e-4,0.030048076923076924,response,NA,NA,NA,NA,NA,NA,primary,English,raw response-cell rate,general is separate and never away,none,canon_019
EU,away,3328,416,capability_failure,2,6.009615384615385e-4,observed rate,6.009615384615385e-4,0.06009615384615385,response,NA,NA,NA,NA,NA,NA,diagnostic,English,raw response-cell rate,general is separate and never away,none,canon_019
EU,general,832,104,genuine_refusal,1,0.001201923076923077,observed rate,0.001201923076923077,0.1201923076923077,response,NA,NA,NA,NA,NA,NA,primary,English,raw response-cell rate,general is separate and never away,none,canon_019
EU,general,832,104,capability_failure,0,0,observed rate,0,0,response,NA,NA,NA,NA,NA,NA,diagnostic,English,raw response-cell rate,general is separate and never away,none,canon_019
EU,home,832,104,genuine_refusal,1,0.001201923076923077,observed rate,0.001201923076923077,0.1201923076923077,response,NA,NA,NA,NA,NA,NA,primary,English,raw response-cell rate,general is separate and never away,none,canon_019
EU,home,832,104,capability_failure,0,0,observed rate,0,0,response,NA,NA,NA,NA,NA,NA,diagnostic,English,raw response-cell rate,general is separate and never away,none,canon_019
India,away,1660,416,genuine_refusal,106,0.06385542168674699,observed rate,0.06385542168674699,6.385542168674699,response,NA,NA,NA,NA,NA,NA,primary,English,raw response-cell rate,general is separate and never away,none,canon_019
