jurisdiction,language,home_status,n,n_issues,outcome,events,rate,estimate,estimate_pp,outcome_role,sample,canonical_run_id
CN,ar,away,8320,416,genuine_refusal,298,0.03581730769230769,0.03581730769230769,3.581730769230769,primary,all delivered languages; descriptive only,canon_019
CN,ar,away,8320,416,capability_failure,162,0.019471153846153846,0.019471153846153846,1.9471153846153846,diagnostic,all delivered languages; descriptive only,canon_019
CN,ar,general,2080,104,genuine_refusal,32,0.015384615384615385,0.015384615384615385,1.5384615384615385,primary,all delivered languages; descriptive only,canon_019
CN,ar,general,2080,104,capability_failure,32,0.015384615384615385,0.015384615384615385,1.5384615384615385,diagnostic,all delivered languages; descriptive only,canon_019
CN,ar,home,2080,104,genuine_refusal,104,0.05,0.05,5,primary,all delivered languages; descriptive only,canon_019
CN,ar,home,2080,104,capability_failure,55,0.026442307692307692,0.026442307692307692,2.644230769230769,diagnostic,all delivered languages; descriptive only,canon_019
CN,en,away,8320,416,genuine_refusal,350,0.042067307692307696,0.042067307692307696,4.206730769230769,primary,all delivered languages; descriptive only,canon_019
CN,en,away,8320,416,capability_failure,439,0.05276442307692308,0.05276442307692308,5.2764423076923075,diagnostic,all delivered languages; descriptive only,canon_019
CN,en,general,2080,104,genuine_refusal,65,0.03125,0.03125,3.125,primary,all delivered languages; descriptive only,canon_019
CN,en,general,2080,104,capability_failure,72,0.03461538461538462,0.03461538461538462,3.4615384615384617,diagnostic,all delivered languages; descriptive only,canon_019
CN,en,home,2080,104,genuine_refusal,208,0.1,0.1,10,primary,all delivered languages; descriptive only,canon_019
CN,en,home,2080,104,capability_failure,219,0.10528846153846154,0.10528846153846154,10.528846153846153,diagnostic,all delivered languages; descriptive only,canon_019
CN,hi,away,8317,416,genuine_refusal,270,0.03246362871227606,0.03246362871227606,3.246362871227606,primary,all delivered languages; descriptive only,canon_019
CN,hi,away,8317,416,capability_failure,4833,0.5810989539497415,0.5810989539497415,58.10989539497415,diagnostic,all delivered languages; descriptive only,canon_019
CN,hi,general,2080,104,genuine_refusal,35,0.016826923076923076,0.016826923076923076,1.6826923076923077,primary,all delivered languages; descriptive only,canon_019
CN,hi,general,2080,104,capability_failure,1279,0.6149038461538462,0.6149038461538462,61.49038461538462,diagnostic,all delivered languages; descriptive only,canon_019
CN,hi,home,2080,104,genuine_refusal,122,0.058653846153846154,0.058653846153846154,5.865384615384615,primary,all delivered languages; descriptive only,canon_019
CN,hi,home,2080,104,capability_failure,1235,0.59375,0.59375,59.375,diagnostic,all delivered languages; descriptive only,canon_019
CN,ru,away,8320,416,genuine_refusal,480,0.057692307692307696,0.057692307692307696,5.769230769230769,primary,all delivered languages; descriptive only,canon_019
CN,ru,away,8320,416,capability_failure,322,0.03870192307692308,0.03870192307692308,3.870192307692308,diagnostic,all delivered languages; descriptive only,canon_019
CN,ru,general,2080,104,genuine_refusal,55,0.026442307692307692,0.026442307692307692,2.644230769230769,primary,all delivered languages; descriptive only,canon_019
CN,ru,general,2080,104,capability_failure,75,0.036057692307692304,0.036057692307692304,3.6057692307692304,diagnostic,all delivered languages; descriptive only,canon_019
CN,ru,home,2080,104,genuine_refusal,204,0.09807692307692308,0.09807692307692308,9.807692307692308,primary,all delivered languages; descriptive only,canon_019
CN,ru,home,2080,104,capability_failure,64,0.03076923076923077,0.03076923076923077,3.076923076923077,diagnostic,all delivered languages; descriptive only,canon_019
CN,zh,away,8320,416,genuine_refusal,611,0.0734375,0.0734375,7.34375,primary,all delivered languages; descriptive only,canon_019
CN,zh,away,8320,416,capability_failure,173,0.02079326923076923,0.02079326923076923,2.079326923076923,diagnostic,all delivered languages; descriptive only,canon_019
CN,zh,general,2080,104,genuine_refusal,104,0.05,0.05,5,primary,all delivered languages; descriptive only,canon_019
CN,zh,general,2080,104,capability_failure,37,0.017788461538461538,0.017788461538461538,1.7788461538461537,diagnostic,all delivered languages; descriptive only,canon_019
CN,zh,home,2079,104,genuine_refusal,299,0.14381914381914382,0.14381914381914382,14.381914381914381,primary,all delivered languages; descriptive only,canon_019
CN,zh,home,2079,104,capability_failure,178,0.08561808561808562,0.08561808561808562,8.561808561808562,diagnostic,all delivered languages; descriptive only,canon_019
EU,ar,away,3328,416,genuine_refusal,1,3.0048076923076925e-4,3.0048076923076925e-4,0.030048076923076924,primary,all delivered languages; descriptive only,canon_019
EU,ar,away,3328,416,capability_failure,9,0.002704326923076923,0.002704326923076923,0.2704326923076923,diagnostic,all delivered languages; descriptive only,canon_019
EU,ar,general,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,ar,general,832,104,capability_failure,1,0.001201923076923077,0.001201923076923077,0.1201923076923077,diagnostic,all delivered languages; descriptive only,canon_019
EU,ar,home,832,104,genuine_refusal,1,0.001201923076923077,0.001201923076923077,0.1201923076923077,primary,all delivered languages; descriptive only,canon_019
EU,ar,home,832,104,capability_failure,7,0.008413461538461538,0.008413461538461538,0.8413461538461539,diagnostic,all delivered languages; descriptive only,canon_019
EU,en,away,3328,416,genuine_refusal,1,3.0048076923076925e-4,3.0048076923076925e-4,0.030048076923076924,primary,all delivered languages; descriptive only,canon_019
EU,en,away,3328,416,capability_failure,2,6.009615384615385e-4,6.009615384615385e-4,0.06009615384615385,diagnostic,all delivered languages; descriptive only,canon_019
EU,en,general,832,104,genuine_refusal,1,0.001201923076923077,0.001201923076923077,0.1201923076923077,primary,all delivered languages; descriptive only,canon_019
EU,en,general,832,104,capability_failure,0,0,0,0,diagnostic,all delivered languages; descriptive only,canon_019
EU,en,home,832,104,genuine_refusal,1,0.001201923076923077,0.001201923076923077,0.1201923076923077,primary,all delivered languages; descriptive only,canon_019
EU,en,home,832,104,capability_failure,0,0,0,0,diagnostic,all delivered languages; descriptive only,canon_019
EU,hi,away,3327,416,genuine_refusal,3,9.017132551848512e-4,9.017132551848512e-4,0.09017132551848511,primary,all delivered languages; descriptive only,canon_019
EU,hi,away,3327,416,capability_failure,1727,0.5190862639014127,0.5190862639014127,51.908626390141265,diagnostic,all delivered languages; descriptive only,canon_019
EU,hi,general,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,hi,general,832,104,capability_failure,494,0.59375,0.59375,59.375,diagnostic,all delivered languages; descriptive only,canon_019
EU,hi,home,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,hi,home,832,104,capability_failure,548,0.6586538461538461,0.6586538461538461,65.86538461538461,diagnostic,all delivered languages; descriptive only,canon_019
EU,ru,away,3328,416,genuine_refusal,2,6.009615384615385e-4,6.009615384615385e-4,0.06009615384615385,primary,all delivered languages; descriptive only,canon_019
EU,ru,away,3328,416,capability_failure,1,3.0048076923076925e-4,3.0048076923076925e-4,0.030048076923076924,diagnostic,all delivered languages; descriptive only,canon_019
EU,ru,general,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,ru,general,832,104,capability_failure,0,0,0,0,diagnostic,all delivered languages; descriptive only,canon_019
EU,ru,home,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,ru,home,832,104,capability_failure,0,0,0,0,diagnostic,all delivered languages; descriptive only,canon_019
EU,zh,away,3328,416,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,zh,away,3328,416,capability_failure,0,0,0,0,diagnostic,all delivered languages; descriptive only,canon_019
EU,zh,general,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,zh,general,832,104,capability_failure,0,0,0,0,diagnostic,all delivered languages; descriptive only,canon_019
EU,zh,home,832,104,genuine_refusal,0,0,0,0,primary,all delivered languages; descriptive only,canon_019
EU,zh,home,832,104,capability_failure,1,0.001201923076923077,0.001201923076923077,0.1201923076923077,diagnostic,all delivered languages; descriptive only,canon_019
India,ar,away,1654,416,genuine_refusal,7,0.004232164449818622,0.004232164449818622,0.42321644498186217,primary,all delivered languages; descriptive only,canon_019
