jurisdiction,outcome,outcome_role,weighting,support,n,n_issues,n_models,events_home,events_away,standardized_home_risk,standardized_away_risk,standardized_home_risk_pp,standardized_away_risk_pp,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,estimable,interval_reliable,replicate_failure_rate,glm_warnings,note,sensitivity,changed,estimand,causal_interpretation,canonical_run_id
CN,genuine_refusal,primary,response,full target,10400,520,5,208,350,0.1175049745325056,0.04032111177491581,11.75049745325056,4.032111177491581,0.07718386275758979,0.04057593816590782,0.11769789589759161,7.718386275758979,4.057593816590782,11.76978958975916,TRUE,TRUE,0,,,response weighting,standardization target weights,standardized home-minus-away predictive contrast,none,canon_019
CN,genuine_refusal,primary,nested,common support,4300,215,5,208,69,0.09597533790390096,0.03234908001080842,9.597533790390097,3.234908001080842,0.06362625789309254,0.03918077715953464,0.0917663344186809,6.362625789309254,3.9180777159534643,9.17663344186809,TRUE,TRUE,0,,,common support,target population restricted to jointly observed cells,standardized home-minus-away predictive contrast,none,canon_019
CN,original_nonengagement,NA,nested,full target,4160,520,2,163,119,0.1999383387585938,0.03514333841191862,19.99383387585938,3.514333841191862,0.16479500034667516,0.10206684068076893,0.24932149675694276,16.479500034667517,10.206684068076893,24.932149675694276,TRUE,TRUE,0,,,original Gemini outcome,outcome definition and roster; original eleven models only because expansion has no Gemini labels,standardized home-minus-away predictive contrast,none,canon_019
MENA,genuine_refusal,primary,response,full target,6240,520,3,87,175,0.05574400000868505,0.03747937582180413,5.574400000868505,3.7479375821804126,0.01826462418688092,0.002737693581633169,0.035920091214701765,1.826462418688092,0.2737693581633169,3.5920091214701766,TRUE,TRUE,0,,,response weighting,standardization target weights,standardized home-minus-away predictive contrast,none,canon_019
MENA,genuine_refusal,primary,nested,common support,4812,401,3,87,128,0.0578881346799796,0.03877923947223822,5.78881346799796,3.877923947223822,0.01910889520774138,0.0046730101891330955,0.03695012466689396,1.910889520774138,0.46730101891330955,3.6950124666893958,TRUE,TRUE,0,,,common support,target population restricted to jointly observed cells,standardized home-minus-away predictive contrast,none,canon_019
MENA,original_nonengagement,NA,nested,full target,6240,520,3,170,387,0.11835517038529131,0.08079704275905339,11.835517038529131,8.079704275905339,0.03755812762623792,0.014965716780981093,0.061992463113874074,3.755812762623792,1.4965716780981093,6.199246311387407,TRUE,TRUE,0,,,original Gemini outcome,outcome definition and roster; original eleven models only because expansion has no Gemini labels,standardized home-minus-away predictive contrast,none,canon_019
India,genuine_refusal,primary,response,full target,2076,520,1,33,106,0.048643156036538654,0.07469653290937434,4.864315603653865,7.469653290937433,-0.026053376872835682,-0.050656400976259175,0.0011545789585419792,-2.6053376872835683,-5.065640097625917,0.11545789585419791,TRUE,TRUE,0,,,response weighting,standardization target weights,standardized home-minus-away predictive contrast,none,canon_019
India,genuine_refusal,primary,nested,common support,1443,361,1,33,71,0.05401124887975458,0.0836452059521346,5.401124887975458,8.36452059521346,-0.029633957072380014,-0.06187376439206987,0.0065823582397582635,-2.9633957072380013,-6.187376439206987,0.6582358239758264,TRUE,TRUE,0,,,common support,target population restricted to jointly observed cells,standardized home-minus-away predictive contrast,none,canon_019
India,original_nonengagement,NA,nested,full target,2076,520,1,31,108,0.04541535858975063,0.07609713991829048,4.541535858975063,7.609713991829048,-0.030681781328539846,-0.05881080583553905,-0.0010746122171327887,-3.0681781328539848,-5.881080583553905,-0.10746122171327888,TRUE,TRUE,0,,,original Gemini outcome,outcome definition and roster; original eleven models only because expansion has no Gemini labels,standardized home-minus-away predictive contrast,none,canon_019
US,genuine_refusal,primary,response,full target,14559,520,7,36,269,0.017828148411441817,0.02145977241910281,1.7828148411441818,2.145977241910281,-0.0036316240076609933,-0.011850157221723091,0.003968862736860113,-0.36316240076609935,-1.1850157221723092,0.3968862736860113,TRUE,TRUE,0,,,response weighting,standardization target weights,standardized home-minus-away predictive contrast,none,canon_019
