sensitivity,change_class,target_changed,jurisdiction,level,estimate_pp,conf_low_pp,conf_high_pp,primary_pp,difference_from_primary_pp,n,n_issues,n_models,events_home,events_away,estimable,plottable,interval_reliable,replicate_failure_rate,glm_warnings,separation_detected,canonical_run_id,weighting,estimate,conf_low,conf_high,note.x,outcome,estimator,separation_blocking,separation_reason,observed_fit_extreme_weight,counterfactual_extreme_weight,estimand,causal_interpretation,sample,note.y,primary_estimable,estimable_flag_note,difference_note
functional_form,"A. estimator, same target",FALSE,CN,home x domain,NA,NA,NA,16.47950003466695,NA,4160,520,2,NA,NA,FALSE,FALSE,NA,NA,NA,NA,canon_012,nested,NA,NA,NA,interaction not estimable: a level lacks one arm,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English,alternative adjustment terms for the same standardized contrast,TRUE,`estimable` means a fit was attempted; `plottable` means a point AND an interval exist. Five functional-form rows are estimable = TRUE with no estimate.,"difference_from_primary_pp is a DIFFERENCE OF POINT ESTIMATES. No interval is given for it: subtracting marginal endpoints is not a paired contrast, and the paired issue bootstrap that would be required is not run for these rows."
functional_form,"A. estimator, same target",FALSE,CN,home x route_f,NA,NA,NA,16.47950003466695,NA,4160,520,2,NA,NA,FALSE,FALSE,NA,NA,NA,NA,canon_012,nested,NA,NA,NA,interaction not estimable: a level lacks one arm,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English,alternative adjustment terms for the same standardized contrast,TRUE,`estimable` means a fit was attempted; `plottable` means a point AND an interval exist. Five functional-form rows are estimable = TRUE with no estimate.,"difference_from_primary_pp is a DIFFERENCE OF POINT ESTIMATES. No interval is given for it: subtracting marginal endpoints is not a paired contrast, and the paired issue bootstrap that would be required is not run for these rows."
functional_form,"A. estimator, same target",FALSE,MENA,home x domain,NA,NA,NA,3.755812762623567,NA,6240,520,3,NA,NA,TRUE,FALSE,NA,NA,NA,NA,canon_012,nested,0.02868367595933313,0.00786198140615397,0.04727299740910819,UNRELIABLE: 47.2% of draws undefined,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English,alternative adjustment terms for the same standardized contrast,TRUE,`estimable` means a fit was attempted; `plottable` means a point AND an interval exist. Five functional-form rows are estimable = TRUE with no estimate.,"difference_from_primary_pp is a DIFFERENCE OF POINT ESTIMATES. No interval is given for it: subtracting marginal endpoints is not a paired contrast, and the paired issue bootstrap that would be required is not run for these rows."
functional_form,"A. estimator, same target",FALSE,MENA,home x route_f,NA,NA,NA,3.755812762623567,NA,6240,520,3,NA,NA,TRUE,FALSE,NA,NA,NA,NA,canon_012,nested,0.029322396096457322,0.004306596260554565,0.057806530650583415,,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English,alternative adjustment terms for the same standardized contrast,TRUE,`estimable` means a fit was attempted; `plottable` means a point AND an interval exist. Five functional-form rows are estimable = TRUE with no estimate.,"difference_from_primary_pp is a DIFFERENCE OF POINT ESTIMATES. No interval is given for it: subtracting marginal endpoints is not a paired contrast, and the paired issue bootstrap that would be required is not run for these rows."
functional_form,"A. estimator, same target",FALSE,India,home x domain,NA,NA,NA,-3.0681781328540083,NA,2076,520,1,NA,NA,FALSE,FALSE,NA,NA,NA,NA,canon_012,nested,NA,NA,NA,interaction not estimable: a level lacks one arm,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English,alternative adjustment terms for the same standardized contrast,TRUE,`estimable` means a fit was attempted; `plottable` means a point AND an interval exist. Five functional-form rows are estimable = TRUE with no estimate.,"difference_from_primary_pp is a DIFFERENCE OF POINT ESTIMATES. No interval is given for it: subtracting marginal endpoints is not a paired contrast, and the paired issue bootstrap that would be required is not run for these rows."
functional_form,"A. estimator, same target",FALSE,India,home x route_f,NA,NA,NA,-3.0681781328540083,NA,2076,520,1,NA,NA,TRUE,FALSE,NA,NA,NA,NA,canon_012,nested,-0.003935538550085393,-0.054521166481368524,0.06802547505753995,,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English,alternative adjustment terms for the same standardized contrast,TRUE,`estimable` means a fit was attempted; `plottable` means a point AND an interval exist. Five functional-form rows are estimable = TRUE with no estimate.,"difference_from_primary_pp is a DIFFERENCE OF POINT ESTIMATES. No interval is given for it: subtracting marginal endpoints is not a paired contrast, and the paired issue bootstrap that would be required is not run for these rows."
functional_form,"A. estimator, same target",FALSE,US,home x domain,NA,NA,NA,1.879257372329217,NA,8319,520,4,NA,NA,TRUE,FALSE,NA,NA,NA,NA,canon_012,nested,0.015598720041774788,-0.013254825086627668,0.04462974288520956,UNRELIABLE: 16.8% of draws undefined,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English,alternative adjustment terms for the same standardized contrast,TRUE,`estimable` means a fit was attempted; `plottable` means a point AND an interval exist. Five functional-form rows are estimable = TRUE with no estimate.,"difference_from_primary_pp is a DIFFERENCE OF POINT ESTIMATES. No interval is given for it: subtracting marginal endpoints is not a paired contrast, and the paired issue bootstrap that would be required is not run for these rows."
functional_form,"A. estimator, same target",FALSE,US,home x route_f,NA,NA,NA,1.879257372329217,NA,8319,520,4,NA,NA,TRUE,FALSE,NA,NA,NA,NA,canon_012,nested,0.02620784760337601,-0.0018905404728396017,0.05779863964689197,,NA,NA,NA,NA,NA,NA,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English,alternative adjustment terms for the same standardized contrast,TRUE,`estimable` means a fit was attempted; `plottable` means a point AND an interval exist. Five functional-form rows are estimable = TRUE with no estimate.,"difference_from_primary_pp is a DIFFERENCE OF POINT ESTIMATES. No interval is given for it: subtracting marginal endpoints is not a paired contrast, and the paired issue bootstrap that would be required is not run for these rows."
leave_one_model_out,D. model roster,TRUE,CN,drop_deepseek-chat-v3.1,17.556831595647864,9.40250620611211,28.067052023133076,16.47950003466695,1.077331560980916,2080,520,1,91,76,TRUE,TRUE,TRUE,0,,TRUE,canon_012,nested,0.17556831595647865,0.09402506206112109,0.28067052023133077,,refused_strict,maximum likelihood,FALSE,SE > 25; 64 fitted probabilities at 0 or 1,0.030769230769230715,0.030769230769230715,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English,"drops a model, so the equal-model target is over a different roster",TRUE,`estimable` means a fit was attempted; `plottable` means a point AND an interval exist. Five functional-form rows are estimable = TRUE with no estimate.,"difference_from_primary_pp is a DIFFERENCE OF POINT ESTIMATES. No interval is given for it: subtracting marginal endpoints is not a paired contrast, and the paired issue bootstrap that would be required is not run for these rows."
leave_one_model_out,D. model roster,TRUE,CN,drop_qwen3-max,14.659278722540408,8.12218816554803,23.64977849978958,16.47950003466695,-1.8202213121265398,2080,520,1,72,43,TRUE,TRUE,TRUE,0,,TRUE,canon_012,nested,0.1465927872254041,0.08122188165548029,0.2364977849978958,,refused_strict,maximum likelihood,FALSE,|coef| > 15; SE > 25; 140 fitted probabilities at 0 or 1,0.06730769230769212,0.06730769230769212,covariate-standardized home-region refusal contrast (sensitivity),"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",English,"drops a model, so the equal-model target is over a different roster",TRUE,`estimable` means a fit was attempted; `plottable` means a point AND an interval exist. Five functional-form rows are estimable = TRUE with no estimate.,"difference_from_primary_pp is a DIFFERENCE OF POINT ESTIMATES. No interval is given for it: subtracting marginal endpoints is not a paired contrast, and the paired issue bootstrap that would be required is not run for these rows."
