judge_model,jurisdiction,comparison,n,n_issues,events_home,events_away,estimate,conf_low,conf_high,estimable,interval_reliable,note,interval_type,n_judges,canonical,canonical_low,canonical_high,point_envelope_low,point_envelope_high,union_low,union_high,point_sign_stable,point_envelope_excludes_zero,union_excludes_zero,estimate_pp,conf_low_pp,conf_high_pp,union_low_pp,union_high_pp,point_envelope_low_pp,point_envelope_high_pp,quantity,sample,spec,canonical_run_id
google/gemini-2.5-flash-lite,CN,all-judge intersection,4157,520,163,119,0.16508076593347,0.1000928412653748,0.249372432878864,TRUE,TRUE,,"95% issue-cluster bootstrap, instrument held fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.508076593347,10.00928412653748,24.9372432878864,NA,NA,NA,NA,standardized home - away refusal contrast,all-judge common support (see c17c),refused_strict ~ home * model + tier + domain + route; nested weights; g-computation,canon_009
google/gemini-2.5-flash-lite,MENA,all-judge intersection,6233,520,169,387,0.037111863589184564,0.013516305386780683,0.06149930952760025,TRUE,TRUE,,"95% issue-cluster bootstrap, instrument held fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7111863589184564,1.3516305386780683,6.149930952760025,NA,NA,NA,NA,standardized home - away refusal contrast,all-judge common support (see c17c),refused_strict ~ home * model + tier + domain + route; nested weights; g-computation,canon_009
google/gemini-2.5-flash-lite,India,all-judge intersection,2075,520,31,108,-0.030701891237528672,-0.05883530305124097,-8.66147913298017e-4,TRUE,TRUE,,"95% issue-cluster bootstrap, instrument held fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.070189123752867,-5.883530305124097,-0.0866147913298017,NA,NA,NA,NA,standardized home - away refusal contrast,all-judge common support (see c17c),refused_strict ~ home * model + tier + domain + route; nested weights; g-computation,canon_009
google/gemini-2.5-flash-lite,US,all-judge intersection,8313,520,43,231,0.018969495045840428,-0.008083607352694871,0.04620454425502048,TRUE,TRUE,,"95% issue-cluster bootstrap, instrument held fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8969495045840428,-0.8083607352694872,4.620454425502047,NA,NA,NA,NA,standardized home - away refusal contrast,all-judge common support (see c17c),refused_strict ~ home * model + tier + domain + route; nested weights; g-computation,canon_009
google/gemini-2.5-flash-lite,EU,all-judge intersection,2080,520,0,0,NA,NA,NA,FALSE,FALSE,0 observed events on refused_strict (complete separation),"95% issue-cluster bootstrap, instrument held fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,standardized home - away refusal contrast,all-judge common support (see c17c),refused_strict ~ home * model + tier + domain + route; nested weights; g-computation,canon_009
google/gemma-4-31b-it,CN,all-judge intersection,4157,520,86,57,0.11351579973313813,0.054318312935915464,0.21596368419300446,TRUE,TRUE,,"95% issue-cluster bootstrap, instrument held fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.351579973313813,5.4318312935915465,21.596368419300447,NA,NA,NA,NA,standardized home - away refusal contrast,all-judge common support (see c17c),refused_strict ~ home * model + tier + domain + route; nested weights; g-computation,canon_009
google/gemma-4-31b-it,MENA,all-judge intersection,6233,520,114,238,0.021730358255519024,0.004016027915779471,0.0404037319375083,TRUE,TRUE,,"95% issue-cluster bootstrap, instrument held fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1730358255519024,0.40160279157794704,4.04037319375083,NA,NA,NA,NA,standardized home - away refusal contrast,all-judge common support (see c17c),refused_strict ~ home * model + tier + domain + route; nested weights; g-computation,canon_009
google/gemma-4-31b-it,India,all-judge intersection,2075,520,28,93,-0.03017034910766675,-0.05723436026264888,-0.0030664741988403535,TRUE,TRUE,,"95% issue-cluster bootstrap, instrument held fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.017034910766675,-5.723436026264888,-0.3066474198840353,NA,NA,NA,NA,standardized home - away refusal contrast,all-judge common support (see c17c),refused_strict ~ home * model + tier + domain + route; nested weights; g-computation,canon_009
google/gemma-4-31b-it,US,all-judge intersection,8313,520,30,182,0.012270092778208723,-0.009812578177787495,0.034838582300638,TRUE,TRUE,,"95% issue-cluster bootstrap, instrument held fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2270092778208723,-0.9812578177787495,3.4838582300638,NA,NA,NA,NA,standardized home - away refusal contrast,all-judge common support (see c17c),refused_strict ~ home * model + tier + domain + route; nested weights; g-computation,canon_009
google/gemma-4-31b-it,EU,all-judge intersection,2080,520,0,0,NA,NA,NA,FALSE,FALSE,0 observed events on refused_strict (complete separation),"95% issue-cluster bootstrap, instrument held fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,standardized home - away refusal contrast,all-judge common support (see c17c),refused_strict ~ home * model + tier + domain + route; nested weights; g-computation,canon_009
