fraction,percentage,n_issues,family,level,outcome,planned_draws,successful_draws,estimability_rate,median_pp,p05_pp,p95_pp,full_estimate_pp,median_deviation_pp,p05_deviation_pp,p95_deviation_pp,median_absolute_deviation_pp,interval_type,sampling_unit,canonical_run_id
0.25,25,156,paired framing,boundary minus regular,capability_failure,100,100,1,1.3086450586450589,0.90809017754382,1.6758899234389435,1.3397773575244405,-0.031132298879381626,-0.43168717998062045,0.3361125659145031,0.17806267806267773,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,paired framing,boundary minus regular,genuine_refusal,100,100,1,2.7800179211469533,1.9562902748386617,3.3585858585858586,2.8541966328319543,-0.07417871168500079,-0.8979063579932925,0.5043892257539042,0.3155302190722804,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,paired language,ar,capability_failure,100,100,1,9.547714735821533,9.170893866618893,9.940751729422972,9.527063772678943,0.020650963142589518,-0.35616990606005,0.41368795674402914,0.1843470741532407,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,paired language,ar,genuine_refusal,100,100,1,-0.5311135624322867,-0.8205785709664231,-0.22251411004942495,-0.549867346946675,0.018753784514388416,-0.27071122401974795,0.3273532368972501,0.12577168268484784,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,paired language,hi,capability_failure,100,100,1,62.402771047265304,60.407598135517226,64.02631565798748,62.361151732011024,0.041619315254276756,-1.9535535964937967,1.6651639259764512,0.7914337354503012,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,paired language,hi,genuine_refusal,100,100,1,-1.1060785902874657,-1.4175490353347293,-0.7766860175433109,-1.1718437097359538,0.06576511944848817,-0.2457053255987757,0.3951576921926428,0.16031504345554293,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,paired language,ru,capability_failure,100,100,1,14.589358278683664,14.264597188941417,15.015396102561827,14.592158135580851,-0.002799856897187425,-0.3275609466394347,0.4232379669809741,0.16813463716845956,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,paired language,ru,genuine_refusal,100,100,1,-0.4743841663503529,-0.7422589389324414,-0.2435959483670181,-0.5263154589250123,0.05193129257465939,-0.2159434800074292,0.28271951055799427,0.12412323450951285,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,paired language,zh,capability_failure,100,100,1,9.788726894806931,9.318796010126247,10.104410592423623,9.75406894979338,0.03465794501355024,-0.435272939667133,0.350341642630243,0.16462766245747762,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,paired language,zh,genuine_refusal,100,100,1,0.025055026088974523,-0.21525836181987132,0.3287881396846223,-0.025828044824232177,0.0508830709132067,-0.18943031699563914,0.3546161845088544,0.11096471928033627,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,standardized home,CN,capability_failure,100,100,1,-0.6858725784874385,-1.6514150704353014,0.8371282948793963,-0.6832816993741174,-0.0025908791133211206,-0.9681333710611841,1.5204099942535136,0.4890416538204501,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,standardized home,CN,genuine_refusal,100,100,1,3.616802137611588,1.4268143385573855,6.406915482077471,3.5830703319363875,0.03373180567520073,-2.1562559933790024,2.8238451501410826,0.9488643871500799,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,standardized home,EU,capability_failure,100,100,1,-0.6858725784874385,-1.6514150704353014,0.8371282948793963,-0.6832816993741174,-0.0025908791133211206,-0.9681333710611841,1.5204099942535136,0.4890416538204501,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,standardized home,EU,genuine_refusal,100,100,1,3.616802137611588,1.4268143385573855,6.406915482077471,3.5830703319363875,0.03373180567520073,-2.1562559933790024,2.8238451501410826,0.9488643871500799,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,standardized home,India,capability_failure,100,100,1,-0.6858725784874385,-1.6514150704353014,0.8371282948793963,-0.6832816993741174,-0.0025908791133211206,-0.9681333710611841,1.5204099942535136,0.4890416538204501,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,standardized home,India,genuine_refusal,100,100,1,3.616802137611588,1.4268143385573855,6.406915482077471,3.5830703319363875,0.03373180567520073,-2.1562559933790024,2.8238451501410826,0.9488643871500799,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,standardized home,MENA,capability_failure,100,100,1,-0.6858725784874385,-1.6514150704353014,0.8371282948793963,-0.6832816993741174,-0.0025908791133211206,-0.9681333710611841,1.5204099942535136,0.4890416538204501,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,standardized home,MENA,genuine_refusal,100,100,1,3.616802137611588,1.4268143385573855,6.406915482077471,3.5830703319363875,0.03373180567520073,-2.1562559933790024,2.8238451501410826,0.9488643871500799,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,standardized home,US,capability_failure,100,100,1,-0.6858725784874385,-1.6514150704353014,0.8371282948793963,-0.6832816993741174,-0.0025908791133211206,-0.9681333710611841,1.5204099942535136,0.4890416538204501,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.25,25,156,standardized home,US,genuine_refusal,100,100,1,3.616802137611588,1.4268143385573855,6.406915482077471,3.5830703319363875,0.03373180567520073,-2.1562559933790024,2.8238451501410826,0.9488643871500799,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.5,50,312,paired framing,boundary minus regular,capability_failure,100,100,1,1.3220286666810563,1.1040444274969994,1.602943129152806,1.3397773575244405,-0.01774869084338415,-0.23573293002744103,0.2631657716283655,0.07570521966589538,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.5,50,312,paired framing,boundary minus regular,genuine_refusal,100,100,1,2.843294277176913,2.395098300719476,3.2821359914806525,2.8541966328319543,-0.010902355655041163,-0.4590983321124784,0.4279393586486979,0.23184339474901972,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.5,50,312,paired language,ar,capability_failure,100,100,1,9.511845576891368,9.302676453159913,9.779432050818874,9.527063772678943,-0.015218195787576327,-0.22438731951902957,0.25236827813993046,0.09223192755938925,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.5,50,312,paired language,ar,genuine_refusal,100,100,1,-0.5695773027700878,-0.7108120192998302,-0.389258252844771,-0.549867346946675,-0.019709955823412728,-0.16094467235315515,0.16060909410190402,0.07602698245775008,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.5,50,312,paired language,hi,capability_failure,100,100,1,62.36555369853308,61.24615200974757,63.09897748289082,62.361151732011024,0.004401966522053158,-1.1149997222634556,0.7378257508797886,0.4921213010534231,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.5,50,312,paired language,hi,genuine_refusal,100,100,1,-1.177601693815249,-1.3651205256148986,-0.9428770474401112,-1.1718437097359538,-0.005757984079295286,-0.19327681587894474,0.22896666229584248,0.08463289856975098,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.5,50,312,paired language,ru,capability_failure,100,100,1,14.614292010667302,14.394768503441819,14.752416331783042,14.592158135580851,0.022133875086451482,-0.19738963213903063,0.1602581962021917,0.08139450567856699,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
0.5,50,312,paired language,ru,genuine_refusal,100,100,1,-0.5413876918826057,-0.7028125664021305,-0.40155188567545097,-0.5263154589250123,-0.015072232957593468,-0.17649710747711822,0.12476357324956133,0.07537195456887888,empirical 5th-95th percentile stability range; NOT a confidence interval,issue_id without replacement; all rows for an issue retained,canon_019
