n,outcome,events,rate,scope,rate_pp,model,language,jurisdiction,tier,domain,region_focus,measurement,uncertainty,canonical_run_id
224544,genuine_refusal,6127,0.02728641157189682,overall,2.7286411571896823,NA,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
224544,capability_failure,52563,0.23408775117571612,overall,23.40877511757161,NA,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
224544,substantive_pivot,4411,0.01964425680490238,overall,1.964425680490238,NA,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,genuine_refusal,311,0.02492186873948233,model,2.492186873948233,allam-7b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,capability_failure,9751,0.7813927398028688,model,78.13927398028689,allam-7b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,substantive_pivot,362,0.029008734674252745,model,2.9008734674252743,allam-7b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,genuine_refusal,726,0.058173076923076925,model,5.8173076923076925,claude-opus-4.5,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,capability_failure,1748,0.14006410256410257,model,14.006410256410257,claude-opus-4.5,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,substantive_pivot,227,0.018189102564102565,model,1.8189102564102566,claude-opus-4.5,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12478,genuine_refusal,942,0.0754928674467062,model,7.549286744670621,deepseek-chat-v3.1,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12478,capability_failure,1953,0.15651546722231127,model,15.651546722231128,deepseek-chat-v3.1,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12478,substantive_pivot,363,0.029091200512902708,model,2.909120051290271,deepseek-chat-v3.1,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12472,genuine_refusal,158,0.012668377164849262,model,1.2668377164849263,falcon3-10b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12472,capability_failure,5071,0.406590763309814,model,40.6590763309814,falcon3-10b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12472,substantive_pivot,106,0.00849903784477229,model,0.8499037844772289,falcon3-10b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,genuine_refusal,69,0.0055292892058658545,model,0.5529289205865855,gemini-2.5-flash-lite,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,capability_failure,1020,0.08173731869540829,model,8.173731869540829,gemini-2.5-flash-lite,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
