field,share,value,n,canonical_run_id
rv_task_behavior,0.01964425680490238,coherent_pivot,4411,canon_019
rv_task_behavior,0.7897783953256378,complete,177340,canon_019
rv_task_behavior,0.03641602536696594,functionally_complete,8177,canon_019
rv_task_behavior,0.03371722245974063,no_substantive_output,7571,canon_019
rv_task_behavior,0.025469395753170872,opposite_position,5719,canon_019
rv_task_behavior,0.0942799629471284,partial,21170,canon_019
rv_task_behavior,6.947413424540402e-4,unassessable,156,canon_019
rv_substantive_refusal,0.020624020236568334,explicit,4631,canon_019
rv_substantive_refusal,0.006662391335328488,implicit,1496,canon_019
rv_substantive_refusal,0.9708119566766424,none,217990,canon_019
rv_substantive_refusal,0.0019016317514607382,unassessable,427,canon_019
rv_language_fidelity,0.029624483397463302,mixed,6652,canon_019
rv_language_fidelity,0.8216741484965084,target,184502,canon_019
rv_language_fidelity,8.461593273478695e-5,unassessable,19,canon_019
rv_language_fidelity,0.14861675217329343,wrong_language,33371,canon_019
rv_output_quality,0.7744629115006413,coherent,173901,canon_019
rv_output_quality,0.08260741769987175,incoherent_garbled,18549,canon_019
rv_output_quality,0.14283169445632035,partly_coherent,32072,canon_019
rv_output_quality,9.797634316659541e-5,unassessable,22,canon_019
rv_technical_failure,5.7895111871170016e-5,empty,13,canon_019
rv_technical_failure,0.04368408864186975,encoding_corruption,9809,canon_019
rv_technical_failure,0.9295683696736498,none,208729,canon_019
rv_technical_failure,0.0145717543109591,other,3272,canon_019
rv_technical_failure,0.004751852643579878,repetition_loop,1067,canon_019
rv_technical_failure,5.344164172723386e-5,template_echo,12,canon_019
rv_technical_failure,0.007312597976343167,truncated,1642,canon_019
rv_confidence,0.9999554652985606,high,224534,canon_019
rv_confidence,4.453470143936155e-5,medium,10,canon_019
rv_annotation_source,0.38904624483397465,Luna v2.4 expansion census,87358,canon_019
rv_annotation_source,0.005330803762291577,reused_external_v24,1197,canon_019
rv_annotation_source,0.005326350292147642,reused_fresh_v24,1196,canon_019
rv_annotation_source,0.5997221034630184,wall_to_wall_v24,134664,canon_019
rv_annotation_source,5.74497648567764e-4,wall_to_wall_v24_schema_repair,129,canon_019
