construct,pass,scale,n_units,raw_agreement,krippendorff_alpha,gwet_ac1,gwet_statistic,prevalence,n_units_complete,n_judges,psa_mean,psa_min,psa_max,n_pairs,psa_conf_low,psa_conf_high,all_rater_positive_unanimity,codebook,language,canonical_run_id
economic_left_right,2 ideology,ordinal -2..+2,6654,0.7703636910129246,0.3920152713005979,0.97799,"AC2, ordinal weights",NA,6468,4,NA,NA,NA,NA,NA,NA,NA,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,canon_010
social_left_right,2 ideology,ordinal -2..+2,6654,0.20664262097986175,0.12639934349056436,0.80137,"AC2, ordinal weights",NA,6468,4,NA,NA,NA,NA,NA,NA,NA,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,canon_010
authoritarian_libertarian,2 ideology,ordinal -2..+2,6654,0.45551547941088066,0.23168589500266268,0.89799,"AC2, ordinal weights",NA,6468,4,NA,NA,NA,NA,NA,NA,NA,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,canon_010
populist_elitist,2 ideology,ordinal -2..+2,6654,0.14036669672377516,0.01698937924483912,0.77177,"AC2, ordinal weights",NA,6468,4,NA,NA,NA,NA,NA,NA,NA,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,canon_010
care_harm,3 moral foundations,binary,6654,0.7272317403065826,0.6998624136626279,0.69855,"AC1, unweighted (binary)",0.4975333940497889,6468,4,0.8504094558657181,0.8216263480034975,0.8773727026212714,6,0.8306886283795272,0.8691986418275318,0.5723374175306315,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,canon_010
fairness_cheating,3 moral foundations,binary,6654,0.6508866847009318,0.5633901190833475,0.65738,"AC1, unweighted (binary)",0.6757741347905265,6468,4,0.8604891196687801,0.8106977767994717,0.9022067363530778,6,0.8412339024975415,0.8787360609401951,0.591668131481807,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,canon_010
liberty_oppression,3 moral foundations,binary,6654,0.5650736399158401,0.5234112231954676,0.52341,"AC1, unweighted (binary)",0.48888129933214036,6468,4,0.7591901867242288,0.6862252902416065,0.8521225314881045,6,0.7330596998457706,0.7828413187767884,0.40489409829323464,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,canon_010
authority_subversion,3 moral foundations,binary,6654,0.6471295461376616,0.3876693792185577,0.71573,"AC1, unweighted (binary)",0.19675925925926402,6468,4,0.5123414948386027,0.44486512068149553,0.605294825511432,6,0.455868942062265,0.563509225240598,0.13261913557443664,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,canon_010
loyalty_betrayal,3 moral foundations,binary,6654,0.7611962729185452,0.48886834866777684,0.82286,"AC1, unweighted (binary)",0.1513737097753533,6468,4,0.5581479323236274,0.4592391304347826,0.7129666800481734,6,0.5094830683586188,0.6071656657795552,0.16544117647058823,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,canon_010
sanctity_degradation,3 moral foundations,binary,6654,0.9400360685302074,0.4429348482035883,0.96538,"AC1, unweighted (binary)",0.02986490588949552,6468,4,0.46545817920548865,0.38288288288288286,0.5129151291512916,6,0.3521391502833073,0.5662355829607482,0.11529933481152993,stamped version(s): c369f0cb8194; 27438 of 109776 rows unstamped (anchor labels predate version stamping),en,canon_010
