cell,a,b,n,events,rate,zero_events
jurisdiction x region,CN,Arab,832,56,0.0673076923076923,FALSE
jurisdiction x region,CN,China,832,163,0.19591346153846154,FALSE
jurisdiction x region,CN,Europe,832,16,0.019230769230769232,FALSE
jurisdiction x region,CN,General,832,26,0.03125,FALSE
jurisdiction x region,CN,India,832,21,0.025240384615384616,FALSE
jurisdiction x region,CN,US,832,26,0.03125,FALSE
jurisdiction x region,EU,Arab,416,0,0,TRUE
jurisdiction x region,EU,China,416,0,0,TRUE
jurisdiction x region,EU,Europe,416,0,0,TRUE
jurisdiction x region,EU,General,416,0,0,TRUE
jurisdiction x region,EU,India,416,0,0,TRUE
jurisdiction x region,EU,US,416,0,0,TRUE
jurisdiction x region,India,Arab,416,52,0.125,FALSE
jurisdiction x region,India,China,415,15,0.03614457831325301,FALSE
jurisdiction x region,India,Europe,415,20,0.04819277108433735,FALSE
jurisdiction x region,India,General,414,13,0.03140096618357488,FALSE
jurisdiction x region,India,India,416,31,0.07451923076923077,FALSE
jurisdiction x region,India,US,414,21,0.050724637681159424,FALSE
jurisdiction x region,MENA,Arab,1248,170,0.1362179487179487,FALSE
jurisdiction x region,MENA,China,1248,95,0.07612179487179487,FALSE
jurisdiction x region,MENA,Europe,1248,101,0.08092948717948718,FALSE
jurisdiction x region,MENA,General,1248,84,0.0673076923076923,FALSE
jurisdiction x region,MENA,India,1248,79,0.06330128205128205,FALSE
jurisdiction x region,MENA,US,1248,112,0.08974358974358974,FALSE
jurisdiction x region,US,Arab,1664,108,0.06490384615384616,FALSE
jurisdiction x region,US,China,1663,54,0.032471437161755864,FALSE
jurisdiction x region,US,Europe,1664,31,0.018629807692307692,FALSE
jurisdiction x region,US,General,1664,36,0.021634615384615384,FALSE
jurisdiction x region,US,India,1664,38,0.02283653846153846,FALSE
jurisdiction x region,US,US,1664,43,0.025841346153846152,FALSE
model x tier,allam-7b,base,1248,219,0.17548076923076922,FALSE
model x tier,allam-7b,boundary,1248,207,0.1658653846153846,FALSE
model x tier,claude-opus-4.5,base,1248,68,0.05448717948717949,FALSE
model x tier,claude-opus-4.5,boundary,1248,32,0.02564102564102564,FALSE
model x tier,deepseek-chat-v3.1,base,1248,87,0.06971153846153846,FALSE
model x tier,deepseek-chat-v3.1,boundary,1248,37,0.029647435897435896,FALSE
model x tier,falcon3-10b,base,1248,113,0.09054487179487179,FALSE
model x tier,falcon3-10b,boundary,1248,43,0.03445512820512821,FALSE
model x tier,gpt-4o,base,1247,54,0.04330392943063352,FALSE
model x tier,gpt-4o,boundary,1248,1,8.012820512820513e-4,FALSE
model x tier,gpt-5.1,base,1248,19,0.015224358974358974,FALSE
model x tier,gpt-5.1,boundary,1248,85,0.06810897435897435,FALSE
model x tier,grok-4.3,base,1248,22,0.017628205128205128,FALSE
model x tier,grok-4.3,boundary,1248,29,0.023237179487179488,FALSE
model x tier,jais-8b,base,1248,4,0.003205128205128205,FALSE
model x tier,jais-8b,boundary,1248,55,0.044070512820512824,FALSE
model x tier,mistral-large-2512,base,1248,0,0,TRUE
model x tier,mistral-large-2512,boundary,1248,0,0,TRUE
model x tier,qwen3-max,base,1248,89,0.07131410256410256,FALSE
model x tier,qwen3-max,boundary,1248,95,0.07612179487179487,FALSE
model x tier,sarvam-30b,base,1242,25,0.020128824476650563,FALSE
model x tier,sarvam-30b,boundary,1248,127,0.10176282051282051,FALSE
domain x tier,civil_rights_liberties,base,1760,86,0.048863636363636366,FALSE
domain x tier,civil_rights_liberties,boundary,1760,126,0.0715909090909091,FALSE
domain x tier,economic_policy,base,1758,33,0.01877133105802048,FALSE
domain x tier,economic_policy,boundary,1760,11,0.00625,FALSE
domain x tier,environment_energy,base,966,15,0.015527950310559006,FALSE
domain x tier,environment_energy,boundary,968,10,0.010330578512396695,FALSE
domain x tier,governance_democracy,base,1758,131,0.0745164960182025,FALSE
domain x tier,governance_democracy,boundary,1760,70,0.03977272727272727,FALSE
domain x tier,migration_nationalism,base,1760,34,0.019318181818181818,FALSE
domain x tier,migration_nationalism,boundary,1760,49,0.02784090909090909,FALSE
domain x tier,religion_state,base,1407,57,0.04051172707889126,FALSE
domain x tier,religion_state,boundary,1408,105,0.07457386363636363,FALSE
domain x tier,security_conflict,base,1760,209,0.11875,FALSE
domain x tier,security_conflict,boundary,1760,163,0.09261363636363637,FALSE
domain x tier,social_moral,base,792,28,0.03535353535353535,FALSE
domain x tier,social_moral,boundary,792,57,0.07196969696969698,FALSE
domain x tier,territorial_sovereignty,base,1760,107,0.06079545454545455,FALSE
domain x tier,territorial_sovereignty,boundary,1760,120,0.06818181818181818,FALSE
