spec,issue_sd,singular,max_se,max_abs_b,optimizer,warnings
primary,1.172751954334787,FALSE,0.28538902768681845,3.9715367306508673,bobyqa,none
plus_topic_domain,0.9835288085353882,FALSE,0.5046403097867297,3.717000726386463,bobyqa,none
regular_prompts_only,1.3849553689292924,FALSE,0.7963236951662531,4.126222948328227,bobyqa,none
boundary_prompts_only,1.295578500898403,FALSE,0.4152811936591924,4.20428751320444,bobyqa,none
exclude_backtranslated,1.2508297331656817,FALSE,0.3300200489615744,4.0300080959635824,Nelder_Mead,"Model failed to converge with max|grad| = 0.0206908 (tol = 0.002, component 1)"
drop_qwen3-max,1.1370635219263188,FALSE,0.327542041033706,4.28795929824433,bobyqa,none
drop_deepseek-chat-v3.1,1.1986396431609794,FALSE,0.30866624701182604,3.7597152058239782,bobyqa,none
drop_falcon3-10b,1.1446403994614467,FALSE,0.28723464865359033,4.012983034009311,bobyqa,none
drop_jais-8b,1.19656227776766,FALSE,0.28768548723775156,3.955280443420929,bobyqa,none
drop_allam-7b,1.3854951466153629,FALSE,0.30324558222150555,4.231463055613332,bobyqa,none
drop_gpt-4o,1.1473386620054085,FALSE,0.285240081969221,3.98888534422547,bobyqa,none
drop_grok-4.3,1.162147825194946,FALSE,0.28581053440571536,3.9501067204928066,bobyqa,none
drop_claude-opus-4.5,1.1534516938543702,FALSE,0.2861551324789693,3.9768246935839087,bobyqa,none
drop_gpt-5.1,1.1407503101192158,FALSE,0.28674174230722016,3.888375833512629,bobyqa,none
