juris,region,n,events,rate,conf_low,conf_high,expected,excess,home,estimable
CN,China,832,163,0.19591346153846154,0.17036703323762567,0.22425510569396132,0.08856861514707912,0.10734484639138242,TRUE,TRUE
CN,Arab,832,56,0.06730769230769225,0.05219418828822384,0.0863985785709514,0.1045616395431294,-0.03725394723543715,FALSE,TRUE
CN,India,832,21,0.025240384615384522,0.01656699797174556,0.038277843443182816,0.04570016617023565,-0.02045978155485113,FALSE,TRUE
CN,US,832,26,0.03125,0.021413550842912073,0.04539527992119442,0.05467043570463468,-0.02342043570463468,FALSE,TRUE
CN,Europe,832,16,0.01923076923076927,0.011871250558169441,0.031009601507580815,0.04544145112722857,-0.0262106818964593,FALSE,TRUE
MENA,China,1248,95,0.07612179487179496,0.0626743731853173,0.09217077655247699,0.11613565216945126,-0.0400138572976563,FALSE,TRUE
MENA,Arab,1248,170,0.13621794871794857,0.11829948572568692,0.1563691304954068,0.13636176721608353,-1.4381849813496772e-4,TRUE,TRUE
MENA,India,1248,79,0.063301282051282,0.05108575600709672,0.07819705421426035,0.060814663275298386,0.0024866187759836206,FALSE,TRUE
MENA,US,1248,112,0.08974358974359,0.07511952809860874,0.10688560737540011,0.07252621452076645,0.017217375222823544,FALSE,TRUE
MENA,Europe,1248,101,0.08092948717948714,0.06705280080791587,0.0973782262485424,0.06047580538250273,0.02045368179698441,FALSE,TRUE
India,China,415,15,0.036144578313253024,0.022024204561039557,0.058773882352963255,0.08747754163719328,-0.05133296332394025,FALSE,TRUE
India,Arab,416,52,0.125,0.0966104221934162,0.16025216598269593,0.10329587727123835,0.021704122728761654,FALSE,TRUE
India,India,416,31,0.07451923076923125,0.05299186611671039,0.10383299354464762,0.045111049594001244,0.02940818117523001,TRUE,TRUE
India,US,414,21,0.050724637681159576,0.03341312891783202,0.07629734509911602,0.05397222417109339,-0.0032475864899338125,FALSE,TRUE
India,Europe,415,20,0.04819277108433748,0.031410850220159645,0.07326261105971324,0.04485551286215032,0.0033372582221871602,FALSE,TRUE
US,China,1664,54,0.03245192307692289,0.024956694313114012,0.042100992699849335,0.04331156160499971,-0.010859638528076816,FALSE,TRUE
US,Arab,1664,108,0.06490384615384621,0.05404023168941237,0.07777180609643013,0.05159503934471677,0.013308806809129443,FALSE,TRUE
US,India,1664,38,0.022836538461538564,0.016682540122502594,0.03118867258738544,0.021823657059908047,0.0010128814016305172,FALSE,TRUE
US,US,1664,43,0.02584134615384602,0.019240900229336534,0.034626085700262536,0.026236166445309322,-3.94820291463302e-4,TRUE,TRUE
US,Europe,1664,31,0.018629807692307526,0.013155204568904056,0.026321925633388536,0.021697037083527642,-0.0030672293912201165,FALSE,TRUE
EU,China,416,0,0,0,0.009150117568149511,NA,NA,FALSE,FALSE
EU,Arab,416,0,0,0,0.009150117568149511,NA,NA,FALSE,FALSE
EU,India,416,0,0,0,0.009150117568149511,NA,NA,FALSE,FALSE
EU,US,416,0,0,0,0.009150117568149511,NA,NA,FALSE,FALSE
EU,Europe,416,0,0,0,0.009150117568149511,NA,NA,TRUE,FALSE
