model,juris,n,events,n_issues,regular,boundary,shift,conf_low,conf_high,estimable,note,spec,sample,scale,contrast
allam-7b,MENA,2496,418,624,0.15277994689093186,0.14492656678022264,-0.00785338011070931,-0.03541500956510717,0.018791357047553567,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
claude-opus-4.5,US,2496,98,624,0.046559444175982095,0.020374497276598128,-0.026184946899384075,-0.039231776484186395,-0.012699829977156834,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
deepseek-chat-v3.1,CN,2496,124,624,0.059953510606044175,0.022872561496615484,-0.03708094910942777,-0.05405941924296656,-0.019346643275718403,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
falcon3-10b,MENA,2496,153,624,0.06391601444008697,0.023569810142022685,-0.04034620429806429,-0.060483484217771236,-0.024959026074425857,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
gpt-4o,US,2496,55,624,0.03912799790645223,2.0250117732305197e-4,-0.03892549672912923,-0.058009835636711415,-0.019808635516726653,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
gpt-5.1,US,2496,104,624,0.010286552112594181,0.05669791419594789,0.04641136208335378,0.022965214029469064,0.07004454557710618,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
grok-4.3,US,2496,50,624,0.014473783309286356,0.019194114464657113,0.004720331155370728,-0.003809770219463307,0.014721199228930629,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
jais-8b,MENA,2496,59,624,0.0032051277744746393,0.04407051336621545,0.04086538559174081,0.029653304395244294,0.05286409952996313,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
mistral-large-2512,EU,2496,0,624,0,0,0,NA,NA,FALSE,0 observed refusals; contrast not estimable,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
qwen3-max,CN,2496,184,624,0.05496121929012423,0.05883649260949664,0.003875273319372263,-0.010164531402110493,0.01969123537748524,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
sarvam-30b,India,2490,152,624,0.013594667063250902,0.08196368076558587,0.06836901370233503,0.024295840433324754,0.11349031106663157,TRUE,,"refused ~ tier + (1|issue_id), per model","English, all regions",probability,"P(refuse|boundary) - P(refuse|regular), within issue"
