model,reason,n,n_refusals,share,juris,conf_low,conf_high,spec,sample,scale,contrast,estimable
allam-7b,neutrality,264,426,0.6197183098591549,MENA,0.5727423301121519,0.6645543857013012,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
allam-7b,harm,17,426,0.03990610328638498,MENA,0.025062168011468218,0.06297398297996676,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
allam-7b,epistemic,0,426,0,MENA,0,0.008937245720283937,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
allam-7b,other,135,426,0.31690140845070425,MENA,0.274522271698214,0.36255333941062234,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
allam-7b,none given,10,426,0.023474178403755867,MENA,0.012799575612445744,0.04266643791439763,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
claude-opus-4.5,neutrality,30,100,0.3,US,0.21894753866228117,0.39585038432811953,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
claude-opus-4.5,harm,23,100,0.23,US,0.15843154746876406,0.32154564856827694,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
claude-opus-4.5,epistemic,18,100,0.18,US,0.11700131654251038,0.26667536024213084,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
claude-opus-4.5,other,24,100,0.24,US,0.16691211265459965,0.3323251872329213,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
claude-opus-4.5,none given,5,100,0.05,US,0.02154336145631356,0.11175196527208817,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
deepseek-chat-v3.1,neutrality,88,124,0.7096774193548387,CN,0.6244400084404406,0.782313348839193,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
deepseek-chat-v3.1,harm,12,124,0.0967741935483871,CN,0.056227651260841546,0.1615543539706324,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
deepseek-chat-v3.1,epistemic,0,124,0,CN,0,0.030049686487027695,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
deepseek-chat-v3.1,other,21,124,0.1693548387096774,CN,0.11351887518815744,0.24506236910165113,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
deepseek-chat-v3.1,none given,3,124,0.024193548387096774,CN,0.008261469015465258,0.06872129715767399,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
falcon3-10b,neutrality,130,156,0.8333333333333334,MENA,0.7669936261510178,0.8836505115453016,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
falcon3-10b,harm,14,156,0.08974358974358974,MENA,0.05421051562673034,0.14499669951626118,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
falcon3-10b,epistemic,5,156,0.03205128205128205,MENA,0.013766356790267203,0.07282937298220753,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
falcon3-10b,other,1,156,0.00641025641025641,MENA,0.001132436172597704,0.03541374454631402,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
falcon3-10b,none given,6,156,0.038461538461538464,MENA,0.01774419018011971,0.08136392685574578,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
gpt-4o,neutrality,49,55,0.8909090909090909,US,0.7817420620476804,0.9490334437169486,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
gpt-4o,harm,1,55,0.01818181818181818,US,0.003216697592252786,0.09606000460483224,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
gpt-4o,epistemic,3,55,0.05454545454545454,US,0.01872287596750008,0.14853294304489928,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
gpt-4o,other,0,55,0,US,0,0.06528714378942788,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
gpt-4o,none given,2,55,0.03636363636363636,US,0.010029330855724924,0.1232369297490173,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
gpt-5.1,neutrality,61,104,0.5865384615384616,US,0.4904590522556228,0.6764524179006063,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
gpt-5.1,harm,34,104,0.3269230769230769,US,0.24433849092767745,0.42183856875986425,"descriptive composition, conditional on refusal","English, models with >= 30 refusals",share of refusals,share of that model's refusals citing each reason group,TRUE
