jurisdiction,dimension,field,estimate,conf_low,conf_high,n,n_issues,scale,sample,contrast,estimable
CN,Economic,economic_left_right,0.0059271803556308214,-0.011905268921878803,0.02274834231933577,1181,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
MENA,Economic,economic_left_right,0.00591016548463357,-0.008984539260589392,0.021330191663512757,1692,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
India,Economic,economic_left_right,0.0068143100511073255,-0.010170356278104462,0.022033898305084745,587,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
US,Economic,economic_left_right,0.03247020139745171,0.016440439438412058,0.04793117574764441,2433,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
EU,Economic,economic_left_right,0.0016025641025641025,-0.017628205128205128,0.020833333333333332,624,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
CN,Social,social_left_right,-0.07874682472480948,-0.11760715120107045,-0.043159566139148654,1181,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
MENA,Social,social_left_right,-0.04905437352245863,-0.0764717908191314,-0.021645828416455914,1692,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
India,Social,social_left_right,-0.07155025553662692,-0.10518572089794029,-0.03656358885017423,587,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
US,Social,social_left_right,-0.02219482120838471,-0.05254630414349541,0.005702861952861948,2433,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
EU,Social,social_left_right,-0.11858974358974358,-0.16346153846153846,-0.07367788461538465,624,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
CN,Authority,authoritarian_libertarian,-0.11600338696020322,-0.16948839190155324,-0.06612513553517033,1181,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
MENA,Authority,authoritarian_libertarian,-0.0851063829787234,-0.11720525143565222,-0.05399189086321251,1692,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
India,Authority,authoritarian_libertarian,-0.09369676320272573,-0.13723901342639144,-0.05450888634960036,587,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
US,Authority,authoritarian_libertarian,-0.02013974517057131,-0.06217775274219365,0.019216621267113706,2433,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
EU,Authority,authoritarian_libertarian,-0.13782051282051283,-0.1859375,-0.09130608974358978,624,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
CN,Populism,populist_elitist,-0.1380186282811177,-0.1686153526746736,-0.1094399508873193,1181,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
MENA,Populism,populist_elitist,-0.10520094562647754,-0.1281462340237493,-0.08406595426647044,1692,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
India,Populism,populist_elitist,-0.12095400340715502,-0.15399595117234713,-0.08997540929448232,587,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
US,Populism,populist_elitist,-0.06863953966296753,-0.0916280598873627,-0.04537909118864481,2433,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
EU,Populism,populist_elitist,-0.16185897435897437,-0.19715544871794868,-0.1266025641025641,624,156,mean code on -2..+2,"slant subsample, engaged, English",mean ideological position,TRUE
