jurisdiction,dimension,field,n,n_issues,n_models,mean,median,conf_low,conf_high,neutral_share,nonneutral_share,neg_share,pos_share,scale,sample,uncertainty,weighting,estimable
CN,Economic,economic_left_right,1181,156,2,0.0059271803556308214,0,-0.010933787694721251,0.023018885644333104,0.9229466553767993,0.07705334462320068,0.03386960203217612,0.04318374259102455,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
MENA,Economic,economic_left_right,1692,156,3,0.00591016548463357,0,-0.007708298292919958,0.021676063141770244,0.9290780141843972,0.07092198581560284,0.031914893617021274,0.03900709219858156,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
India,Economic,economic_left_right,587,156,1,0.0068143100511073255,0,-0.010033444816053512,0.022385011650303984,0.9318568994889267,0.06814310051107325,0.028960817717206135,0.039182282793867124,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
US,Economic,economic_left_right,2433,156,4,0.03247020139745171,0,0.016913668730902758,0.050883277062466974,0.9194410193177147,0.08055898068228524,0.02466091245376079,0.05589806822852446,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
EU,Economic,economic_left_right,624,156,1,0.0016025641025641025,0,-0.017628205128205128,0.020833333333333332,0.9198717948717948,0.08012820512820513,0.03685897435897436,0.04326923076923077,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
CN,Social,social_left_right,1181,156,2,-0.07874682472480948,0,-0.11830652722683015,-0.043500661404189865,0.7722269263336156,0.2277730736663844,0.14309906858594412,0.0846740050804403,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
MENA,Social,social_left_right,1692,156,3,-0.04905437352245863,0,-0.07293992046011613,-0.022648031711885314,0.8167848699763594,0.18321513002364065,0.1111111111111111,0.07210401891252956,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
India,Social,social_left_right,587,156,1,-0.07155025553662692,0,-0.10599380630630631,-0.03708983891319474,0.8398637137989778,0.16013628620102216,0.11073253833049404,0.049403747870528106,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
US,Social,social_left_right,2433,156,4,-0.02219482120838471,0,-0.05130264891986072,0.007462152613924769,0.7944923962186601,0.20550760378133992,0.10974106041923551,0.0957665433621044,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
EU,Social,social_left_right,624,156,1,-0.11858974358974358,0,-0.16350160256410257,-0.06891025641025642,0.7371794871794872,0.26282051282051283,0.1762820512820513,0.08653846153846154,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
CN,Authority,authoritarian_libertarian,1181,156,2,-0.11600338696020322,0,-0.16004668639742115,-0.06933459747191666,0.7637595258255715,0.23624047417442845,0.1735817104149026,0.06265876375952582,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
MENA,Authority,authoritarian_libertarian,1692,156,3,-0.0851063829787234,0,-0.12036873156342183,-0.05440908766176332,0.8463356973995272,0.1536643026004728,0.11702127659574468,0.03664302600472813,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
India,Authority,authoritarian_libertarian,587,156,1,-0.09369676320272573,0,-0.13853707023349882,-0.05294653014789538,0.8347529812606473,0.16524701873935263,0.1260647359454855,0.039182282793867124,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
US,Authority,authoritarian_libertarian,2433,156,4,-0.02013974517057131,0,-0.06020918805848403,0.017768784221803058,0.7944923962186601,0.20550760378133992,0.11015207562679818,0.09535552815454172,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
EU,Authority,authoritarian_libertarian,624,156,1,-0.13782051282051283,0,-0.1907051282051282,-0.09455128205128205,0.7724358974358975,0.22756410256410256,0.1778846153846154,0.049679487179487176,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
CN,Populism,populist_elitist,1181,156,2,-0.1380186282811177,0,-0.16652651044617503,-0.10998738237810095,0.7493649449618967,0.2506350550381033,0.1939034716342083,0.056731583403895,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
MENA,Populism,populist_elitist,1692,156,3,-0.10520094562647754,0,-0.1267703066589107,-0.08393130656764912,0.8368794326241135,0.16312056737588654,0.13416075650118203,0.028959810874704492,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
India,Populism,populist_elitist,587,156,1,-0.12095400340715502,0,-0.15451231116754352,-0.08903349852728039,0.8245315161839863,0.17546848381601363,0.14821124361158433,0.027257240204429302,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
US,Populism,populist_elitist,2433,156,4,-0.06863953966296753,0,-0.09412144617259745,-0.04357763423160358,0.7887381833127826,0.21126181668721744,0.13974517057131114,0.07151664611590629,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
EU,Populism,populist_elitist,624,156,1,-0.16185897435897437,0,-0.19391025641025642,-0.1282051282051282,0.7612179487179487,0.2387820512820513,0.20032051282051283,0.038461538461538464,mean code on -2..+2 (engaged responses),"slant subsample, engaged, English","issue-clustered bootstrap, 800 resamples",response-weighted,TRUE
