juris,model,model_mean,n,juris_mean_equal_model,between_model_sd,n_models,dimension,field,sample
CN,deepseek-chat-v3.1,0.0033500837520938024,597,0.00595586379385512,0.0036851294756199853,2,Economic,economic_left_right,"slant subsample, engaged, English"
CN,qwen3-max,0.008561643835616438,584,0.00595586379385512,0.0036851294756199853,2,Economic,economic_left_right,"slant subsample, engaged, English"
MENA,allam-7b,0.005870841487279843,511,0.005920897686203623,9.635127660053128e-4,3,Economic,economic_left_right,"slant subsample, engaged, English"
MENA,falcon3-10b,0.0069084628670120895,579,0.005920897686203623,9.635127660053128e-4,3,Economic,economic_left_right,"slant subsample, engaged, English"
MENA,jais-8b,0.0049833887043189366,602,0.005920897686203623,9.635127660053128e-4,3,Economic,economic_left_right,"slant subsample, engaged, English"
India,sarvam-30b,0.0068143100511073255,587,0.0068143100511073255,NA,1,Economic,economic_left_right,"slant subsample, engaged, English"
US,claude-opus-4.5,0.02145214521452145,606,0.03240934897031701,0.029811991185274368,4,Economic,economic_left_right,"slant subsample, engaged, English"
US,gpt-4o,0.014705882352941176,612,0.03240934897031701,0.029811991185274368,4,Economic,economic_left_right,"slant subsample, engaged, English"
US,gpt-5.1,0.016556291390728478,604,0.03240934897031701,0.029811991185274368,4,Economic,economic_left_right,"slant subsample, engaged, English"
US,grok-4.3,0.07692307692307693,611,0.03240934897031701,0.029811991185274368,4,Economic,economic_left_right,"slant subsample, engaged, English"
EU,mistral-large-2512,0.0016025641025641025,624,0.0016025641025641025,NA,1,Economic,economic_left_right,"slant subsample, engaged, English"
CN,deepseek-chat-v3.1,-0.06197654941373534,597,-0.07893348018631972,0.023980721474810514,2,Social,social_left_right,"slant subsample, engaged, English"
CN,qwen3-max,-0.0958904109589041,584,-0.07893348018631972,0.023980721474810514,2,Social,social_left_right,"slant subsample, engaged, English"
MENA,allam-7b,-0.025440313111545987,511,-0.04794364654522752,0.01988029513345477,3,Social,social_left_right,"slant subsample, engaged, English"
MENA,falcon3-10b,-0.055267702936096716,579,-0.04794364654522752,0.01988029513345477,3,Social,social_left_right,"slant subsample, engaged, English"
MENA,jais-8b,-0.06312292358803986,602,-0.04794364654522752,0.01988029513345477,3,Social,social_left_right,"slant subsample, engaged, English"
India,sarvam-30b,-0.07155025553662692,587,-0.07155025553662692,NA,1,Social,social_left_right,"slant subsample, engaged, English"
US,claude-opus-4.5,-0.034653465346534656,606,-0.022434232562762675,0.06941163937126776,4,Social,social_left_right,"slant subsample, engaged, English"
US,gpt-4o,-0.027777777777777776,612,-0.022434232562762675,0.06941163937126776,4,Social,social_left_right,"slant subsample, engaged, English"
US,gpt-5.1,-0.09768211920529801,604,-0.022434232562762675,0.06941163937126776,4,Social,social_left_right,"slant subsample, engaged, English"
US,grok-4.3,0.07037643207855974,611,-0.022434232562762675,0.06941163937126776,4,Social,social_left_right,"slant subsample, engaged, English"
EU,mistral-large-2512,-0.11858974358974358,624,-0.11858974358974358,NA,1,Social,social_left_right,"slant subsample, engaged, English"
CN,deepseek-chat-v3.1,-0.12562814070351758,597,-0.1158962621325807,0.013762954662387021,2,Authority,authoritarian_libertarian,"slant subsample, engaged, English"
CN,qwen3-max,-0.10616438356164383,584,-0.1158962621325807,0.013762954662387021,2,Authority,authoritarian_libertarian,"slant subsample, engaged, English"
MENA,allam-7b,-0.0958904109589041,511,-0.08546771734117296,0.01306427838473391,3,Authority,authoritarian_libertarian,"slant subsample, engaged, English"
MENA,falcon3-10b,-0.07081174438687392,579,-0.08546771734117296,0.01306427838473391,3,Authority,authoritarian_libertarian,"slant subsample, engaged, English"
