juris,equal_model,n_models,foundation,field
CN,0.5325801381335904,2,Care / harm,care_harm
MENA,0.5218969866220649,3,Care / harm,care_harm
India,0.504258943781942,1,Care / harm,care_harm
US,0.4387301420036466,4,Care / harm,care_harm
EU,0.5961538461538461,1,Care / harm,care_harm
CN,0.634387691884078,2,Fairness / cheating,fairness_cheating
MENA,0.5843629831880603,3,Fairness / cheating,fairness_cheating
India,0.5826235093696763,1,Fairness / cheating,fairness_cheating
US,0.5916783514475563,4,Fairness / cheating,fairness_cheating
EU,0.7051282051282052,1,Fairness / cheating,fairness_cheating
CN,0.4920621945343154,2,Liberty / oppression,liberty_oppression
MENA,0.4277352896150011,3,Liberty / oppression,liberty_oppression
India,0.514480408858603,1,Liberty / oppression,liberty_oppression
US,0.4478003821081378,4,Liberty / oppression,liberty_oppression
EU,0.6121794871794872,1,Liberty / oppression,liberty_oppression
CN,0.1641383286294486,2,Authority / subversion,authority_subversion
MENA,0.11102633915004442,3,Authority / subversion,authority_subversion
India,0.1465076660988075,1,Authority / subversion,authority_subversion
US,0.13972625392438626,4,Authority / subversion,authority_subversion
EU,0.16826923076923078,1,Authority / subversion,authority_subversion
CN,0.12862686721277622,2,Loyalty / betrayal,loyalty_betrayal
MENA,0.0684453215348999,3,Loyalty / betrayal,loyalty_betrayal
India,0.09028960817717206,1,Loyalty / betrayal,loyalty_betrayal
US,0.07148731821743066,4,Loyalty / betrayal,loyalty_betrayal
EU,0.08974358974358974,1,Loyalty / betrayal,loyalty_betrayal
CN,0.03210544732796402,2,Sanctity / degradation,sanctity_degradation
MENA,0.037552131611986984,3,Sanctity / degradation,sanctity_degradation
India,0.030664395229982964,1,Sanctity / degradation,sanctity_degradation
US,0.02831446443680287,4,Sanctity / degradation,sanctity_degradation
EU,0.02403846153846154,1,Sanctity / degradation,sanctity_degradation
