prompt_language,foundation,field,estimate,conf_low,conf_high,n,n_issues,n_models,scale,sample,contrast,estimable
en,Care / harm,care_harm,0.4977750498695719,0.44127054738689614,0.5521485182372531,6517,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Care / harm,care_harm,0.4276947285601888,0.37151978017639925,0.4830726549647826,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Care / harm,care_harm,0.44328531213777117,0.39105254522826505,0.4982815974518432,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
en,Fairness / cheating,fairness_cheating,0.6070277735154213,0.561737773031456,0.6474810567694242,6517,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Fairness / cheating,fairness_cheating,0.5697875688434304,0.5268212286728745,0.6095301471373071,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Fairness / cheating,fairness_cheating,0.5959595959595959,0.5548478018716811,0.6361388594975966,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
en,Liberty / oppression,liberty_oppression,0.47261009667024706,0.4279101712075694,0.5142117311816293,6517,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Liberty / oppression,liberty_oppression,0.43147128245476,0.3873112462686296,0.47781894473707703,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Liberty / oppression,liberty_oppression,0.4194403046862063,0.37863174939366634,0.46575744156509,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
en,Authority / subversion,authority_subversion,0.14009513579868038,0.11232292224545709,0.1720043143057317,6517,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Authority / subversion,authority_subversion,0.10967741935483871,0.08345144976566315,0.1344342697772891,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Authority / subversion,authority_subversion,0.11409173704255672,0.0900061671954396,0.1430533882758446,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
en,Loyalty / betrayal,loyalty_betrayal,0.08439466011968698,0.06436457553761173,0.10591130321837929,6517,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Loyalty / betrayal,loyalty_betrayal,0.06970889063729346,0.05209723098758417,0.09031011730630407,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Loyalty / betrayal,loyalty_betrayal,0.07550919026328863,0.0548898198656217,0.09530818166231637,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
en,Sanctity / degradation,sanctity_degradation,0.030995856989412308,0.02121492023865323,0.043593215611416894,6517,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
zh,Sanctity / degradation,sanctity_degradation,0.026593233674272226,0.017085063995839745,0.03786424243647305,6355,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
ar,Sanctity / degradation,sanctity_degradation,0.02848153667825799,0.018939618088513247,0.040139992801046666,6039,156,11,share invoking,"slant subsample, engaged, en/zh/ar (11-model roster)","share invoking, by prompt language",TRUE
