model,estimate,conf_low,conf_high,n,events,jurisdiction,estimable,spec,scale,contrast,sample,estimand_type,uncertainty
qwen3-max,0.18981285519292176,0.14746440607894878,0.23691193533437604,2080,167,CN,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
deepseek-chat-v3.1,0.16155488702183685,0.12427089360808771,0.2040450355859495,2080,115,CN,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
allam-7b,0.018457361641342814,-0.023051384946507797,0.06255772043508442,2080,373,MENA,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
jais-8b,5.208665518250708e-4,-0.012571542380415218,0.01550033280486817,2080,49,MENA,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
falcon3-10b,-0.0014599390332486794,-0.023261557265146303,0.02525141717930647,2080,135,MENA,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
sarvam-30b,0.03121885341444482,0.0035121003364813686,0.06594248887227563,2076,139,India,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
gpt-4o,0.010666532696228252,-0.0038500301709641013,0.0329026385348356,2080,48,US,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
grok-4.3,-9.540212309970512e-4,-0.013054167702090166,0.01687787478102072,2080,43,US,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
claude-opus-4.5,-0.016874921953876503,-0.03396719902574382,0.0046820473844778375,2080,91,US,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
gpt-5.1,-0.023257193505385982,-0.038234335452850314,-0.002485137806220365,2080,92,US,TRUE,y ~ home*model + tier + (1|issue_id),probability,"within-issue home premium, per subject model","English, non-General, EU excluded",sample-conditional,parametric bootstrap over fixed-effect covariance; BLUPs held fixed
