construct,pass,scale,n_units,raw_agreement,krippendorff_alpha,gwet_ac1,prevalence,n_units_complete,n_judges,psa_mean,psa_min,psa_max,n_pairs,psa_conf_low,psa_conf_high,all_rater_positive_unanimity,codebook,language
economic_left_right,2 ideology,ordinal -2..+2,6645,0.7738148984198645,0.35947312922294405,0.85131,NA,3855,4,NA,NA,NA,NA,NA,NA,NA,stamped version(s): c369f0cb8194; 27438 of 98925 rows unstamped (anchor labels predate version stamping),en
social_left_right,2 ideology,ordinal -2..+2,6645,0.21504890895410084,0.13330544876980088,0.37223,NA,3855,4,NA,NA,NA,NA,NA,NA,NA,stamped version(s): c369f0cb8194; 27438 of 98925 rows unstamped (anchor labels predate version stamping),en
authoritarian_libertarian,2 ideology,ordinal -2..+2,6645,0.4668171557562077,0.1991894556611331,0.59709,NA,3855,4,NA,NA,NA,NA,NA,NA,NA,stamped version(s): c369f0cb8194; 27438 of 98925 rows unstamped (anchor labels predate version stamping),en
populist_elitist,2 ideology,ordinal -2..+2,6645,0.1435665914221219,-0.035166218485080725,0.25701,NA,3855,4,NA,NA,NA,NA,NA,NA,NA,stamped version(s): c369f0cb8194; 27438 of 98925 rows unstamped (anchor labels predate version stamping),en
care_harm,3 moral foundations,binary,6645,0.7376975169300226,0.6878918119710162,0.68809,0.508867494299468,3855,4,0.850882215579271,0.821506629753752,0.8785750125439037,6,0.8300256228956935,0.8699277121296454,0.5874556213017752,stamped version(s): c369f0cb8194; 27438 of 98925 rows unstamped (anchor labels predate version stamping),en
fairness_cheating,3 moral foundations,binary,6645,0.6612490594431903,0.5444788720466142,0.63774,0.6770120766827126,3855,4,0.864400475479851,0.8106977767994717,0.9083880943177426,6,0.8449103746632871,0.882328383668205,0.6018747789175805,stamped version(s): c369f0cb8194; 27438 of 98925 rows unstamped (anchor labels predate version stamping),en
liberty_oppression,3 moral foundations,binary,6645,0.5927765237020316,0.5178060532911757,0.51804,0.5073473524195592,3855,4,0.763975113546794,0.6958041958041958,0.8521225314881045,6,0.7353001654108338,0.7904802738031985,0.4426364572605561,stamped version(s): c369f0cb8194; 27438 of 98925 rows unstamped (anchor labels predate version stamping),en
authority_subversion,3 moral foundations,binary,6645,0.6594431903686983,0.38290178611781955,0.69279,0.20336120260113166,3855,4,0.5133593875022121,0.4524421593830334,0.6152099886492622,6,0.447733617648149,0.571302574523173,0.15998515219005197,stamped version(s): c369f0cb8194; 27438 of 98925 rows unstamped (anchor labels predate version stamping),en
loyalty_betrayal,3 moral foundations,binary,6645,0.7718585402558314,0.4605178104255979,0.81713,0.14470906173465078,3855,4,0.5597089346042575,0.4592391304347826,0.686408504176158,6,0.4903712498628463,0.6139465283647401,0.17384196185286105,stamped version(s): c369f0cb8194; 27438 of 98925 rows unstamped (anchor labels predate version stamping),en
sanctity_degradation,3 moral foundations,binary,6645,0.9417607223476298,0.4438823141316627,0.96293,0.03154294400810742,3855,4,0.4665637185293897,0.3895131086142322,0.5129151291512916,6,0.3190766018316983,0.5777188962481243,0.1342281879194631,stamped version(s): c369f0cb8194; 27438 of 98925 rows unstamped (anchor labels predate version stamping),en
