juris,home,n,disagree_rate,any_flagged,pos_specific_agreement,cell,disagree_ratio_home_vs_away
CN,0,3328,0.027644230769230768,138,0.3333333333333333,elsewhere,4.695652173913044
CN,1,832,0.12980769230769232,178,0.39325842696629215,home region,4.695652173913044
EU,0,1664,0,0,NA,elsewhere,NA
EU,1,416,0,0,NA,home region,NA
India,0,1660,0.02891566265060241,120,0.6,elsewhere,0.7481971153846153
India,1,416,0.021634615384615384,32,0.71875,home region,0.7481971153846153
MENA,0,4992,0.06630608974358974,445,0.25617977528089886,elsewhere,1.5468277945619335
MENA,1,1248,0.10256410256410256,186,0.3118279569892473,home region,1.5468277945619335
US,0,6656,0.01953125,268,0.5149253731343284,elsewhere,0.9846153846153847
US,1,1664,0.019230769230769232,50,0.36,home region,0.9846153846153847
