jurisdiction,language,estimate,conf_low,conf_high,n,events,estimable,note,language_label,spec,scale,contrast,estimand_type
CN,en,0.18329481981615928,0.14050622235395854,0.23336746534333563,4160,282,TRUE,,English,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
CN,zh,0.2032590048941014,0.15136945822616718,0.2617673997671306,4160,525,TRUE,,Chinese,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
CN,ar,0.1010872798173457,0.0682867458474623,0.1450837289080158,4160,273,TRUE,,Arabic,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
CN,ru,0.11249149634584732,0.07647107252510557,0.15356878306304478,4160,249,TRUE,,Russian,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
CN,hi,0.09557217572971383,0.06543467344568321,0.1341957712336977,4157,202,TRUE,,Hindi,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
MENA,en,0.05742491772702199,0.03463818519042447,0.07967849199930946,6240,557,TRUE,,English,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
MENA,zh,0.0520910677634031,0.028207500558813558,0.07923760988099542,6237,854,TRUE,,Chinese,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
MENA,ar,0.04165215469008427,0.016400455545832502,0.06794906961578413,6240,1092,TRUE,,Arabic,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
MENA,ru,0.013506275997947263,-0.014536574399690173,0.0438707069935065,6240,1708,TRUE,,Russian,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
MENA,hi,0.07086342300764395,0.037077695504171795,0.1066228764459778,6238,2739,TRUE,,Hindi,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
India,en,0.009225596036500078,-0.01570649046299122,0.04154041275927925,2076,139,TRUE,,English,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
India,zh,0.0017118476045418793,-0.005676650935621584,0.016473391635116085,2078,17,TRUE,,Chinese,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
India,ar,-0.007297810536993624,-0.03603161524880113,0.028859746855687474,2068,208,TRUE,,Arabic,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
India,ru,0.0010839307106387166,-0.0026279630501757807,0.01383351343827751,2063,3,TRUE,,Russian,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
India,hi,0.0022320923014939324,-0.00567180722101916,0.017279534997319664,2043,16,TRUE,,Hindi,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
US,en,-0.015139423893011476,-0.026687284525386525,-0.00198472265950828,8319,274,TRUE,,English,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
US,zh,-0.012571067302062297,-0.020897882332979165,-0.0028182183882019957,8320,185,TRUE,,Chinese,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
US,ar,-0.01590904799403387,-0.025153882953580054,-0.005214563461164484,8320,224,TRUE,,Arabic,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
US,ru,-0.012905703723306523,-0.020572576411636626,-0.00363982468981066,8320,179,TRUE,,Russian,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
US,hi,-0.01716233493083215,-0.027669083692312784,-0.004668943144206332,8320,262,TRUE,,Hindi,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
EU,en,NA,NA,NA,NA,0,FALSE,0 observed refusals; not estimable,English,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
EU,zh,NA,NA,NA,NA,0,FALSE,0 observed refusals; not estimable,Chinese,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
EU,ar,NA,NA,NA,NA,0,FALSE,0 observed refusals; not estimable,Arabic,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
EU,ru,NA,NA,NA,NA,0,FALSE,0 observed refusals; not estimable,Russian,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
EU,hi,NA,NA,NA,NA,0,FALSE,0 observed refusals; not estimable,Hindi,"refused ~ home*language + tier + (1|issue_id), per jurisdiction",probability,WITHIN-JURISDICTION home premium by prompt language (not the primary DiD),sample-conditional
