label,bootstrap_unit,seed,replicates_requested,replicates_attempted,replicates_successful,replicates_failed,failure_rate,interval_method,n_rows,n_issues
A|overall|US|rebalanced|response,issue_id,20260806,2000,2000,2000,0,0,percentile,41599,520
A|overall|US|rebalanced|equal_model,issue_id,20260806,2000,2000,2000,0,0,percentile,41599,520
A|overall|CN|rebalanced|response,issue_id,20260806,2000,2000,2000,0,0,percentile,20797,520
A|overall|CN|rebalanced|equal_model,issue_id,20260806,2000,2000,2000,0,0,percentile,20797,520
A|overall|EU|rebalanced|response,issue_id,20260806,2000,2000,2000,0,0,percentile,10399,520
A|overall|EU|rebalanced|equal_model,issue_id,20260806,2000,2000,2000,0,0,percentile,10399,520
A|overall|MENA|rebalanced|response,issue_id,20260806,2000,2000,2000,0,0,percentile,31195,520
A|overall|MENA|rebalanced|equal_model,issue_id,20260806,2000,2000,2000,0,0,percentile,31195,520
A|overall|India|rebalanced|response,issue_id,20260806,2000,2000,2000,0,0,percentile,10328,520
A|overall|India|rebalanced|equal_model,issue_id,20260806,2000,2000,2000,0,0,percentile,10328,520
A|model|US|gpt-4o|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
A|model|US|gpt-4o|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
A|model|CN|qwen3-max|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
A|model|CN|qwen3-max|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
A|model|CN|deepseek-chat-v3.1|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10398,520
A|model|CN|deepseek-chat-v3.1|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10398,520
A|model|US|grok-4.3|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10400,520
A|model|US|grok-4.3|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10400,520
A|model|US|claude-opus-4.5|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10400,520
A|model|US|claude-opus-4.5|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10400,520
A|model|US|gpt-5.1|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10400,520
A|model|US|gpt-5.1|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10400,520
A|model|EU|mistral-large-2512|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
A|model|EU|mistral-large-2512|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
A|model|MENA|falcon3-10b|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10396,520
A|model|MENA|falcon3-10b|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10396,520
A|model|MENA|jais-8b|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10400,520
A|model|MENA|jais-8b|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10400,520
A|model|MENA|allam-7b|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
A|model|MENA|allam-7b|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
A|model|India|sarvam-30b|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10328,520
A|model|India|sarvam-30b|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10328,520
A|language|US|en|response,issue_id,20260806,1000,1000,1000,0,0,percentile,8319,520
A|language|US|en|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,8319,520
A|language|CN|en|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4160,520
A|language|CN|en|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4160,520
A|language|EU|en|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2080,520
A|language|EU|en|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2080,520
A|language|MENA|en|response,issue_id,20260806,1000,1000,1000,0,0,percentile,6240,520
A|language|MENA|en|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,6240,520
A|language|India|en|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2076,520
A|language|India|en|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2076,520
A|language|CN|zh|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4160,520
A|language|CN|zh|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4160,520
A|language|US|zh|response,issue_id,20260806,1000,1000,1000,0,0,percentile,8320,520
A|language|US|zh|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,8320,520
A|language|EU|zh|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2080,520
A|language|EU|zh|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2080,520
A|language|MENA|zh|response,issue_id,20260806,1000,1000,1000,0,0,percentile,6237,520
A|language|MENA|zh|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,6237,520
A|language|India|zh|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2078,520
A|language|India|zh|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2078,520
A|language|CN|ar|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4160,520
A|language|CN|ar|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4160,520
A|language|US|ar|response,issue_id,20260806,1000,1000,1000,0,0,percentile,8320,520
A|language|US|ar|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,8320,520
A|language|EU|ar|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2080,520
A|language|EU|ar|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2080,520
A|language|MENA|ar|response,issue_id,20260806,1000,1000,1000,0,0,percentile,6240,520
A|language|MENA|ar|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,6240,520
A|language|India|ar|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2068,520
A|language|India|ar|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2068,520
A|language|US|ru|response,issue_id,20260806,1000,1000,1000,0,0,percentile,8320,520
A|language|US|ru|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,8320,520
A|language|CN|ru|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4160,520
A|language|CN|ru|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4160,520
B|language|US|hi,issue_id,20260806,500,500,500,0,0,percentile,8320,520
A|language|EU|ru|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2080,520
A|language|EU|ru|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2080,520
A|language|MENA|ru|response,issue_id,20260806,1000,1000,1000,0,0,percentile,6240,520
A|language|MENA|ru|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,6240,520
A|language|India|ru|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2063,520
A|language|India|ru|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2063,520
A|language|US|hi|response,issue_id,20260806,1000,1000,1000,0,0,percentile,8320,520
A|language|US|hi|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,8320,520
A|language|CN|hi|response,issue_id,20260806,1000,1000,1000,0,0,percentile,4157,520
A|language|CN|hi|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,4157,520
A|language|EU|hi|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2079,520
A|language|EU|hi|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2079,520
A|language|India|hi|response,issue_id,20260806,1000,1000,1000,0,0,percentile,2043,520
A|language|India|hi|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,2043,520
A|language|MENA|hi|response,issue_id,20260806,1000,1000,1000,0,0,percentile,6238,520
A|language|MENA|hi|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,6238,520
A|dataset_type|US|regular|response,issue_id,20260806,1000,1000,1000,0,0,percentile,20799,520
A|dataset_type|US|regular|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,20799,520
A|dataset_type|CN|regular|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10398,520
A|dataset_type|CN|regular|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10398,520
A|dataset_type|EU|regular|response,issue_id,20260806,1000,1000,1000,0,0,percentile,5199,520
A|dataset_type|EU|regular|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,5199,520
A|dataset_type|MENA|regular|response,issue_id,20260806,1000,1000,1000,0,0,percentile,15597,520
A|dataset_type|MENA|regular|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,15597,520
A|dataset_type|India|regular|response,issue_id,20260806,1000,1000,1000,0,0,percentile,5129,520
A|dataset_type|India|regular|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,5129,520
A|dataset_type|US|boundary|response,issue_id,20260806,1000,1000,1000,0,0,percentile,20800,520
A|dataset_type|US|boundary|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,20800,520
A|dataset_type|CN|boundary|response,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
A|dataset_type|CN|boundary|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,10399,520
A|dataset_type|India|boundary|response,issue_id,20260806,1000,1000,1000,0,0,percentile,5199,520
A|dataset_type|India|boundary|equal_model,issue_id,20260806,1000,1000,1000,0,0,percentile,5199,520
A|dataset_type|EU|boundary|response,issue_id,20260806,1000,1000,1000,0,0,percentile,5200,520
